Data;Godzina;Krajowe zapotrzebowanie na moc;Sumaryczna generacja JWCD;Generacja PI;Generacja IRZ;Sumaryczna generacja nJWCD;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej
2019-04-01;1;15162,738;8248,938;-11,900;0,000;6272,913;310,350;350,313
2019-04-01;2;14675,575;8463,350;-258,125;0,000;6028,275;226,975;220,100
2019-04-01;3;14593,075;8861,425;-597,175;0,713;5899,225;199,888;235,175
2019-04-01;4;14671,838;9250,538;-775,838;12,288;5777,063;194,650;231,738
2019-04-01;5;15037,125;9638,375;-774,975;40,888;5724,663;190,713;264,325
2019-04-01;6;16135,800;10100,500;-664,025;68,550;5682,288;391,713;636,425
2019-04-01;7;18633,688;11558,588;-106,875;69,588;5720,625;469,713;994,738
2019-04-01;8;20908,313;13375,788;-5,350;73,113;5799,025;430,863;1309,975
2019-04-01;9;21880,388;14298,613;-2,150;97,900;5622,500;625,963;1337,538
2019-04-01;10;22064,850;14496,288;35,013;99,538;5539,550;702,513;1340,963
2019-04-01;11;21754,088;14121,875;136,163;99,550;5691,725;620,138;1337,275
2019-04-01;12;21920,800;14057,575;320,038;95,175;5834,025;702,000;1333,900
2019-04-01;13;21860,463;13767,038;304,438;98,563;5913,425;864,950;1330,375
2019-04-01;14;21675,663;13627,850;212,888;99,650;5954,675;782,025;1328,825
2019-04-01;15;21315,163;13219,950;-0,513;99,400;6002,338;777,663;1334,550
2019-04-01;16;21151,688;12873,725;55,538;99,488;6126,913;825,450;1341,825
2019-04-01;17;20830,475;12409,075;201,750;99,513;6250,275;846,938;1339,275
2019-04-01;18;20743,988;12194,788;89,438;99,575;6410,175;810,613;1341,188
2019-04-01;19;20786,525;12047,088;266,713;99,600;6575,563;832,250;1342,738
2019-04-01;20;22042,850;13059,038;708,813;99,613;6902,913;744,275;1340,688
2019-04-01;21;22650,563;12967,650;664,813;98,250;7573,438;810,875;1317,675
2019-04-01;22;21226,613;10980,175;727,175;73,625;8100,000;822,350;1342,175
2019-04-01;23;19628,038;9102,638;382,688;69,513;8409,275;803,550;1330,050
2019-04-01;24;18332,338;8613,600;-1,475;69,650;8602,863;224,275;920,813
2019-04-02;1;17391,663;8337,275;-151,613;69,588;8719,500;66,325;423,538
2019-04-02;2;16733,813;8285,963;-413,388;69,638;8607,750;-0,700;262,950
2019-04-02;3;16460,163;8214,450;-666,800;69,588;8674,713;-8,363;262,838
2019-04-02;4;16551,163;8250,763;-820,738;69,738;8807,688;66,038;261,075
2019-04-02;5;16874,350;8533,625;-849,575;69,588;8889,225;53,538;258,288
2019-04-02;6;17588,300;8681,950;-518,363;69,688;9075,738;90,600;270,800
2019-04-02;7;19495,288;9480,075;-44,463;69,600;9182,763;182,713;704,438
2019-04-02;8;21437,438;11015,138;28,275;69,638;8918,375;394,725;1114,988
2019-04-02;9;21975,075;11965,638;239,113;69,675;8376,863;404,563;1233,300
2019-04-02;10;21852,025;11725,738;49,863;69,550;8688,688;359,375;1089,875
2019-04-02;11;21604,725;10678,475;10,013;69,788;9487,013;523,238;1025,250
2019-04-02;12;21677,113;10678,863;396,563;69,513;9500,425;435,163;1075,175
2019-04-02;13;21704,825;10823,625;371,600;69,550;9428,300;514,063;957,013
2019-04-02;14;21549,988;10621,488;361,825;69,588;9451,238;464,013;1023,600
