Data;Godzina;CRO;CROs;CROz;Stan zakontraktowania;Niezbilansowanie
20190201;1;201,92;201,92;201,92;538,45;538,45
20190201;2;220,89;220,89;220,89;417,88;417,88
20190201;3;217,34;217,34;217,34;486,52;486,52
20190201;4;214,10;214,10;214,10;542,13;542,13
20190201;5;226,60;226,60;226,60;443,50;443,50
20190201;6;206,91;206,91;206,91;686,46;686,46
20190201;7;248,89;248,89;248,89;360,66;360,66
20190201;8;250,85;250,85;250,85;434,54;434,54
20190201;9;282,55;282,55;282,55;435,23;503,23
20190201;10;282,55;282,55;282,55;342,06;442,06
20190201;11;282,55;282,55;282,55;197,64;217,64
20190201;12;282,55;282,55;282,55;203,48;203,48
20190201;13;282,55;282,55;282,55;286,42;286,42
20190201;14;282,55;282,55;282,55;329,20;329,20
20190201;15;236,91;236,91;236,91;504,81;504,81
20190201;16;226,91;226,91;226,91;576,51;576,51
20190201;17;282,55;282,55;282,55;376,94;396,94
20190201;18;282,55;282,55;282,55;188,74;228,74
20190201;19;282,55;282,55;282,55;247,04;267,04
20190201;20;282,55;282,55;282,55;396,30;396,30
20190201;21;271,53;271,53;271,53;490,14;490,14
20190201;22;226,60;226,60;226,60;671,44;671,44
20190201;23;222,89;222,89;222,89;730,54;730,54
20190201;24;217,58;217,58;217,58;650,46;650,46
20190202;1;202,20;202,20;202,20;526,23;526,23
20190202;2;201,70;201,70;201,70;535,14;535,14
20190202;3;186,91;186,91;186,91;693,28;693,28
20190202;4;176,91;176,91;176,91;758,74;758,74
20190202;5;175,91;175,91;175,91;887,33;887,33
20190202;6;175,91;175,91;175,91;959,79;959,79
20190202;7;190,91;190,91;190,91;750,32;750,32
20190202;8;201,79;201,79;201,79;503,39;503,39
20190202;9;240,89;240,89;240,89;554,82;554,82
20190202;10;250,89;250,89;250,89;310,33;338,62
20190202;11;250,67;250,67;250,67;394,60;442,89
20190202;12;250,67;250,67;250,67;372,73;421,02
20190202;13;200,91;200,91;200,91;551,41;559,69
20190202;14;200,91;200,91;200,91;486,00;494,28
20190202;15;210,91;210,91;210,91;552,34;560,62
20190202;16;200,91;200,91;200,91;499,81;508,10
20190202;17;175,91;175,91;175,91;764,21;764,21
20190202;18;175,91;175,91;175,91;583,82;663,82
20190202;19;85,74;85,74;85,74;768,10;808,10
20190202;20;77,78;77,78;77,78;930,72;950,72
20190202;21;175,91;175,91;175,91;728,30;728,30
20190202;22;77,78;77,78;77,78;929,04;929,04
20190202;23;77,45;77,45;77,45;1162,51;1162,51
20190202;24;109,54;109,54;109,54;1543,69;1543,69
20190203;1;129,85;129,85;129,85;1259,41;1259,41
20190203;2;75,00;75,00;75,00;1400,05;1400,05
20190203;3;73,24;73,24;73,24;1413,68;1413,68
20190203;4;73,74;73,74;73,74;1203,83;1203,83
20190203;5;75,24;75,24;75,24;957,97;957,97
