Latitude (decimal degrees):	52.787
Longitude (decimal degrees):	23.815
Elevation (m):	163
Radiation database:	PVGIS-SARAH2


Slope: 38 deg. (optimum)
Azimuth: -4 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0011,0.0,0.0,-1.04,3.45,0.0
20190101:0111,0.0,0.0,-0.92,3.31,0.0
20190101:0211,0.0,0.0,-0.71,3.79,0.0
20190101:0311,0.0,0.0,-0.31,4.28,0.0
20190101:0411,0.0,0.0,-0.13,4.83,0.0
20190101:0511,0.0,0.0,-0.1,5.17,0.0
20190101:0611,0.0,0.0,-0.1,5.38,0.0
20190101:0711,2.75,2.97,0.28,5.45,0.0
20190101:0811,12.82,8.55,0.57,5.66,0.0
20190101:0911,30.23,12.37,0.98,5.79,0.0
20190101:1011,17.4,14.11,1.55,6.07,0.0
20190101:1111,51.3,13.63,2.45,6.41,0.0
20190101:1211,50.38,10.97,3.47,6.76,0.0
20190101:1311,182.41,6.35,4.13,7.17,0.0
20190101:1411,0.0,0.0,4.42,6.9,0.0
20190101:1511,0.0,0.0,4.58,6.69,0.0
20190101:1611,0.0,0.0,4.67,7.17,0.0
20190101:1711,0.0,0.0,4.18,6.21,0.0
20190101:1811,0.0,0.0,3.55,5.52,0.0
20190101:1911,0.0,0.0,3.11,5.79,0.0
20190101:2011,0.0,0.0,2.86,5.66,0.0
20190101:2111,0.0,0.0,2.59,5.52,0.0
20190101:2211,0.0,0.0,2.2,5.31,0.0
20190101:2311,0.0,0.0,1.59,4.97,0.0
20190102:0011,0.0,0.0,1.52,4.9,0.0
20190102:0111,0.0,0.0,1.07,4.69,0.0
20190102:0211,0.0,0.0,0.65,4.55,0.0
20190102:0311,0.0,0.0,0.5,4.34,0.0
20190102:0411,0.0,0.0,0.07,3.86,0.0
20190102:0511,0.0,0.0,0.02,3.59,0.0
20190102:0611,0.0,0.0,-0.08,3.38,0.0
20190102:0711,2.75,3.0,-0.16,2.55,0.0
20190102:0811,30.23,8.59,0.2,2.97,0.0
20190102:0911,408.09,12.43,0.62,3.66,0.0
20190102:1011,173.05,14.19,0.82,4.14,0.0
20190102:1111,25.65,13.73,0.93,4.97,0.0
20190102:1211,32.06,11.08,0.9,5.24,0.0
20190102:1311,106.33,6.47,0.67,5.31,0.0
20190102:1411,0.0,0.0,0.39,4.83,0.0
20190102:1511,0.0,0.0,0.19,4.97,0.0
20190102:1611,0.0,0.0,-0.04,5.38,0.0
20190102:1711,0.0,0.0,-0.35,5.79,0.0
20190102:1811,0.0,0.0,-0.73,6.0,0.0
