Latitude (decimal degrees):	50.818
Longitude (decimal degrees):	19.186
Elevation (m):	251
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -3 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,-0.13,3.59,0.0
20190101:0110,0.0,0.0,0.0,4.0,0.0
20190101:0210,0.0,0.0,0.43,4.48,0.0
20190101:0310,0.0,0.0,0.67,4.97,0.0
20190101:0410,0.0,0.0,1.21,5.31,0.0
20190101:0510,0.0,0.0,1.8,5.52,0.0
20190101:0610,0.0,0.0,2.32,5.66,0.0
20190101:0710,0.0,0.0,2.84,5.79,0.0
20190101:0810,101.99,8.59,3.38,6.14,0.0
20190101:0910,305.67,13.21,4.0,6.41,0.0
20190101:1010,288.85,15.75,4.84,6.97,0.0
20190101:1110,251.2,15.98,5.17,7.24,0.0
20190101:1210,81.84,13.87,5.24,7.31,0.0
20190101:1310,29.89,9.62,5.19,7.03,0.0
20190101:1410,7.25,3.58,5.22,7.03,0.0
20190101:1510,0.0,0.0,5.06,7.17,0.0
20190101:1610,0.0,0.0,4.76,8.0,0.0
20190101:1710,0.0,0.0,4.14,7.59,0.0
20190101:1810,0.0,0.0,3.59,7.86,0.0
20190101:1910,0.0,0.0,3.36,6.83,0.0
20190101:2010,0.0,0.0,3.05,7.03,0.0
20190101:2110,0.0,0.0,2.62,8.0,0.0
20190101:2210,0.0,0.0,1.48,8.14,0.0
20190101:2310,0.0,0.0,0.87,7.66,0.0
20190102:0010,0.0,0.0,0.66,7.79,0.0
20190102:0110,0.0,0.0,0.59,7.86,0.0
20190102:0210,0.0,0.0,0.31,8.07,0.0
20190102:0310,0.0,0.0,0.31,8.07,0.0
20190102:0410,0.0,0.0,0.49,8.69,0.0
20190102:0510,0.0,0.0,0.63,8.21,0.0
20190102:0610,0.0,0.0,0.61,7.66,0.0
20190102:0710,0.0,0.0,0.53,7.79,0.0
20190102:0810,79.27,8.63,0.45,7.52,0.0
20190102:0910,70.08,13.27,0.37,6.83,0.0
20190102:1010,184.4,15.83,0.54,5.79,0.0
20190102:1110,31.7,16.07,0.61,6.97,0.0
20190102:1210,91.1,13.98,0.37,7.52,0.0
20190102:1310,81.1,9.74,-0.14,7.66,0.0
20190102:1410,6.34,3.71,-0.71,7.45,0.0
20190102:1510,0.0,0.0,-1.27,6.97,0.0
20190102:1610,0.0,0.0,-1.53,7.1,0.0
20190102:1710,0.0,0.0,-1.74,7.45,0.0
20190102:1810,0.0,0.0,-1.9,7.59,0.0
20190102:1910,0.0,0.0,-2.66,6.9,0.0
20190102:2010,0.0,0.0,-3.07,7.03,0.0
20190102:2110,0.0,0.0,-3.29,7.1,0.0
20190102:2210,0.0,0.0,-3.39,6.97,0.0
20190102:2310,0.0,0.0,-3.4,7.03,0.0
20190103:0010,0.0,0.0,-3.39,7.03,0.0
20190103:0110,0.0,0.0,-3.29,7.03,0.0
20190103:0210,0.0,0.0,-3.24,7.1,0.0
20190103:0310,0.0,0.0,-3.38,6.97,0.0
20190103:0410,0.0,0.0,-3.41,6.83,0.0
