Latitude (decimal degrees):	53.573
Longitude (decimal degrees):	14.831
Elevation (m):	17
Radiation database:	PVGIS-SARAH2


Slope: 38 deg. (optimum)
Azimuth: 1 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0011,0.0,0.0,6.45,5.52,0.0
20190101:0111,0.0,0.0,6.36,5.93,0.0
20190101:0211,0.0,0.0,6.22,6.41,0.0
20190101:0311,0.0,0.0,6.05,6.76,0.0
20190101:0411,0.0,0.0,6.03,7.03,0.0
20190101:0511,0.0,0.0,6.1,7.24,0.0
20190101:0611,0.0,0.0,6.24,7.59,0.0
20190101:0711,0.0,0.0,6.67,7.86,0.0
20190101:0811,10.99,4.79,6.69,7.86,0.0
20190101:0911,304.27,9.61,6.8,7.93,0.0
20190101:1011,77.92,12.56,6.93,8.28,0.0
20190101:1111,51.28,13.4,6.96,8.62,0.0
20190101:1211,160.16,12.06,6.94,8.69,0.0
20190101:1311,50.06,8.64,6.84,8.62,0.0
20190101:1411,93.39,3.44,6.45,8.41,0.0
20190101:1511,0.0,0.0,5.89,8.62,0.0
20190101:1611,0.0,0.0,5.32,8.48,0.0
20190101:1711,0.0,0.0,4.39,8.62,0.0
20190101:1811,0.0,0.0,3.77,8.14,0.0
20190101:1911,0.0,0.0,4.12,8.34,0.0
20190101:2011,0.0,0.0,3.77,8.55,0.0
20190101:2111,0.0,0.0,3.68,8.76,0.0
20190101:2211,0.0,0.0,4.28,8.55,0.0
20190101:2311,0.0,0.0,4.71,8.48,0.0
20190102:0011,0.0,0.0,4.62,8.28,0.0
20190102:0111,0.0,0.0,4.44,8.07,0.0
20190102:0211,0.0,0.0,4.27,8.07,0.0
20190102:0311,0.0,0.0,3.65,8.34,0.0
20190102:0411,0.0,0.0,2.96,8.14,0.0
20190102:0511,0.0,0.0,2.44,8.07,0.0
20190102:0611,0.0,0.0,1.96,8.07,0.0
20190102:0711,0.0,0.0,1.85,6.97,0.0
20190102:0811,28.16,4.83,1.7,6.9,0.0
20190102:0911,43.95,9.66,1.86,7.17,0.0
20190102:1011,72.81,12.63,2.18,7.72,0.0
20190102:1111,420.71,13.49,2.25,8.48,0.0
20190102:1211,53.11,12.16,2.01,8.62,0.0
20190102:1311,49.99,8.76,1.53,7.93,0.0
20190102:1411,10.99,3.56,1.11,7.31,0.0
20190102:1511,0.0,0.0,0.63,6.48,0.0
20190102:1611,0.0,0.0,0.98,6.41,0.0
20190102:1711,0.0,0.0,1.19,6.41,0.0
