Latitude (decimal degrees):	50.892
Longitude (decimal degrees):	20.641
Elevation (m):	288
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -2 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.12,3.31,0.0
20190101:0110,0.0,0.0,-0.19,3.66,0.0
20190101:0210,0.0,0.0,-0.23,3.93,0.0
20190101:0310,0.0,0.0,-0.44,4.14,0.0
20190101:0410,0.0,0.0,-0.26,4.34,0.0
20190101:0510,0.0,0.0,0.18,4.41,0.0
20190101:0610,0.0,0.0,0.92,4.62,0.0
20190101:0710,11.75,2.88,1.45,4.97,0.0
20190101:0810,103.54,9.06,2.17,5.38,0.0
20190101:0910,37.09,13.48,2.8,5.79,0.0
20190101:1010,24.43,15.8,3.34,6.34,0.0
20190101:1110,23.52,15.8,3.86,7.03,0.0
20190101:1210,16.29,13.48,4.36,7.31,0.0
20190101:1310,11.76,9.05,4.3,7.24,0.0
20190101:1410,1.81,2.87,4.13,7.03,0.0
20190101:1510,0.0,0.0,4.25,6.9,0.0
20190101:1610,0.0,0.0,4.37,6.9,0.0
20190101:1710,0.0,0.0,4.34,7.45,0.0
20190101:1810,0.0,0.0,3.78,7.03,0.0
20190101:1910,0.0,0.0,3.33,6.07,0.0
20190101:2010,0.0,0.0,2.9,5.86,0.0
20190101:2110,0.0,0.0,2.45,6.07,0.0
20190101:2210,0.0,0.0,1.7,6.62,0.0
20190101:2310,0.0,0.0,1.41,7.45,0.0
20190102:0010,0.0,0.0,0.72,6.83,0.0
20190102:0110,0.0,0.0,0.55,6.62,0.0
20190102:0210,0.0,0.0,0.45,6.69,0.0
20190102:0310,0.0,0.0,0.4,6.83,0.0
20190102:0410,0.0,0.0,0.28,6.62,0.0
20190102:0510,0.0,0.0,0.28,6.69,0.0
20190102:0610,0.0,0.0,0.75,7.52,0.0
20190102:0710,7.55,2.9,0.53,7.17,0.0
20190102:0810,74.67,9.1,0.63,7.1,0.0
20190102:0910,264.0,13.54,0.71,6.62,0.0
20190102:1010,49.76,15.88,0.88,5.52,0.0
20190102:1110,67.86,15.9,0.86,6.34,0.0
20190102:1210,154.74,13.58,0.58,6.69,0.0
20190102:1310,15.38,9.16,0.11,7.86,0.0
20190102:1410,2.71,2.99,-0.46,7.38,0.0
20190102:1510,0.0,0.0,-0.83,7.24,0.0
20190102:1610,0.0,0.0,-1.04,7.38,0.0
20190102:1710,0.0,0.0,-1.22,7.66,0.0
20190102:1810,0.0,0.0,-1.42,7.79,0.0
20190102:1910,0.0,0.0,-1.8,7.59,0.0
20190102:2010,0.0,0.0,-1.99,7.86,0.0
20190102:2110,0.0,0.0,-2.11,8.14,0.0
20190102:2210,0.0,0.0,-2.34,7.93,0.0
20190102:2310,0.0,0.0,-2.46,7.93,0.0
20190103:0010,0.0,0.0,-2.51,7.79,0.0
20190103:0110,0.0,0.0,-2.8,7.45,0.0
20190103:0210,0.0,0.0,-3.06,7.24,0.0
20190103:0310,0.0,0.0,-3.41,7.17,0.0
20190103:0410,0.0,0.0,-3.56,7.03,0.0
20190103:0510,0.0,0.0,-3.63,6.97,0.0
20190103:0610,0.0,0.0,-3.72,6.76,0.0
20190103:0710,13.43,2.93,-3.81,6.21,0.0
20190103:0810,106.1,9.14,-3.59,6.41,0.0
20190103:0910,162.84,13.61,-3.18,6.55,0.0
20190103:1010,32.57,15.97,-2.71,7.31,0.0
20190103:1110,174.1,16.0,-2.35,7.03,0.0
20190103:1210,210.11,13.7,-2.34,6.41,0.0
20190103:1310,98.04,9.29,-2.61,5.79,0.0
20190103:1410,128.28,3.12,-2.99,5.38,0.0
20190103:1510,0.0,0.0,-3.58,5.03,0.0
20190103:1610,0.0,0.0,-4.16,4.83,0.0
20190103:1710,0.0,0.0,-4.6,4.62,0.0
20190103:1810,0.0,0.0,-4.82,4.41,0.0
20190103:1910,0.0,0.0,-4.59,4.83,0.0
20190103:2010,0.0,0.0,-4.66,4.69,0.0
20190103:2110,0.0,0.0,-4.74,4.55,0.0
20190103:2210,0.0,0.0,-4.84,4.48,0.0
20190103:2310,0.0,0.0,-4.94,4.34,0.0
20190104:0010,0.0,0.0,-5.19,4.0,0.0
20190104:0110,0.0,0.0,-5.42,3.93,0.0
20190104:0210,0.0,0.0,-5.56,4.0,0.0
20190104:0310,0.0,0.0,-5.46,3.79,0.0
20190104:0410,0.0,0.0,-5.59,3.72,0.0
20190104:0510,0.0,0.0,-5.78,3.93,0.0
20190104:0610,0.0,0.0,-6.04,3.66,0.0
20190104:0710,14.27,2.97,-5.8,3.59,0.0
20190104:0810,75.35,9.2,-5.64,2.97,0.0
20190104:0910,63.33,13.68,-4.82,3.24,0.0
20190104:1010,173.17,16.06,-3.78,3.86,0.0
20190104:1110,185.91,16.11,-3.05,3.79,0.0
20190104:1210,181.82,13.82,-2.76,3.66,0.0
20190104:1310,37.09,9.42,-2.65,3.79,0.0
20190104:1410,53.75,3.26,-2.79,4.41,0.0
20190104:1510,0.0,0.0,-2.97,4.0,0.0
20190104:1610,0.0,0.0,-3.02,4.21,0.0
20190104:1710,0.0,0.0,-2.93,4.14,0.0
20190104:1810,0.0,0.0,-2.83,4.14,0.0
20190104:1910,0.0,0.0,-2.7,4.34,0.0
20190104:2010,0.0,0.0,-2.53,4.21,0.0
20190104:2110,0.0,0.0,-2.28,4.14,0.0
20190104:2210,0.0,0.0,-2.13,4.21,0.0
20190104:2310,0.0,0.0,-1.78,4.21,0.0
20190105:0010,0.0,0.0,-1.52,4.28,0.0
20190105:0110,0.0,0.0,-1.18,4.48,0.0
20190105:0210,0.0,0.0,-0.78,4.76,0.0
20190105:0310,0.0,0.0,-0.44,4.97,0.0
20190105:0410,0.0,0.0,-0.24,5.1,0.0
20190105:0510,0.0,0.0,-0.11,5.03,0.0
20190105:0610,0.0,0.0,0.02,4.9,0.0
20190105:0710,2.52,3.01,0.21,4.9,0.0
20190105:0810,73.26,9.26,0.34,4.69,0.0
20190105:0910,694.57,13.76,0.48,4.41,0.0
20190105:1010,103.08,16.16,0.6,4.34,0.0
20190105:1110,86.75,16.22,0.67,4.76,0.0
20190105:1210,42.52,13.95,0.75,5.1,0.0
20190105:1310,41.62,9.56,0.87,5.38,0.0
20190105:1410,2.71,3.41,0.71,5.66,0.0
20190105:1510,0.0,0.0,0.17,5.66,0.0
20190105:1610,0.0,0.0,-0.4,5.45,0.0
20190105:1710,0.0,0.0,-1.0,5.17,0.0
20190105:1810,0.0,0.0,-1.65,4.9,0.0
20190105:1910,0.0,0.0,-1.01,4.83,0.0
20190105:2010,0.0,0.0,-1.41,4.76,0.0
20190105:2110,0.0,0.0,-1.71,4.69,0.0
20190105:2210,0.0,0.0,-1.93,4.55,0.0
20190105:2310,0.0,0.0,-2.13,4.48,0.0
20190106:0010,0.0,0.0,-2.42,4.48,0.0
20190106:0110,0.0,0.0,-2.7,4.62,0.0
20190106:0210,0.0,0.0,-3.12,4.83,0.0
20190106:0310,0.0,0.0,-3.67,4.97,0.0
20190106:0410,0.0,0.0,-4.26,5.1,0.0
20190106:0510,0.0,0.0,-4.94,4.97,0.0
20190106:0610,0.0,0.0,-5.63,4.69,0.0
20190106:0710,9.05,3.07,-4.63,4.41,0.0
