Latitude (decimal degrees):	54.194
Longitude (decimal degrees):	16.162
Elevation (m):	36
Radiation database:	PVGIS-SARAH2


Slope: 38 deg. (optimum)
Azimuth: 0 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0011,0.0,0.0,5.91,5.93,0.0
20190101:0111,0.0,0.0,5.82,6.41,0.0
20190101:0211,0.0,0.0,5.64,6.76,0.0
20190101:0311,0.0,0.0,5.64,7.03,0.0
20190101:0411,0.0,0.0,5.67,7.17,0.0
20190101:0511,0.0,0.0,5.77,7.38,0.0
20190101:0611,0.0,0.0,6.02,7.72,0.0
20190101:0711,0.0,0.0,6.63,8.41,0.0
20190101:0811,13.7,4.8,6.49,8.69,0.0
20190101:0911,458.52,9.39,6.36,9.31,0.0
20190101:1011,355.76,12.12,6.38,8.97,0.0
20190101:1111,35.63,12.75,6.39,9.66,0.0
20190101:1211,20.1,11.24,6.18,9.66,0.0
20190101:1311,11.88,7.71,6.13,9.66,0.0
20190101:1411,1.83,2.45,5.98,9.72,0.0
20190101:1511,0.0,0.0,5.44,9.45,0.0
20190101:1611,0.0,0.0,5.03,8.97,0.0
20190101:1711,0.0,0.0,4.26,8.55,0.0
20190101:1811,0.0,0.0,3.89,7.86,0.0
20190101:1911,0.0,0.0,4.07,8.14,0.0
20190101:2011,0.0,0.0,3.8,7.72,0.0
20190101:2111,0.0,0.0,4.19,7.38,0.0
20190101:2211,0.0,0.0,4.74,7.59,0.0
20190101:2311,0.0,0.0,4.78,7.66,0.0
20190102:0011,0.0,0.0,4.63,7.72,0.0
20190102:0111,0.0,0.0,4.52,7.86,0.0
20190102:0211,0.0,0.0,3.69,7.52,0.0
20190102:0311,0.0,0.0,2.41,7.52,0.0
20190102:0411,0.0,0.0,1.25,7.66,0.0
20190102:0511,0.0,0.0,1.33,7.52,0.0
20190102:0611,0.0,0.0,1.29,7.66,0.0
20190102:0711,0.0,0.0,1.44,7.66,0.0
20190102:0811,57.77,4.84,1.25,7.93,0.0
20190102:0911,55.24,9.45,1.43,8.34,0.0
20190102:1011,225.09,12.19,1.55,8.28,0.0
20190102:1111,46.59,12.84,1.46,8.62,0.0
20190102:1211,45.68,11.34,1.21,8.14,0.0
20190102:1311,26.49,7.83,0.84,7.72,0.0
20190102:1411,1.83,2.57,0.36,7.31,0.0
20190102:1511,0.0,0.0,0.21,7.1,0.0
20190102:1611,0.0,0.0,0.3,7.17,0.0
20190102:1711,0.0,0.0,0.37,7.24,0.0
20190102:1811,0.0,0.0,0.35,6.9,0.0
20190102:1911,0.0,0.0,0.19,6.48,0.0
20190102:2011,0.0,0.0,0.21,6.62,0.0
20190102:2111,0.0,0.0,0.24,6.55,0.0
20190102:2211,0.0,0.0,0.45,6.55,0.0
20190102:2311,0.0,0.0,0.64,6.62,0.0
20190103:0011,0.0,0.0,0.74,6.41,0.0
20190103:0111,0.0,0.0,0.9,6.14,0.0
20190103:0211,0.0,0.0,0.36,5.79,0.0
20190103:0311,0.0,0.0,0.24,5.79,0.0
20190103:0411,0.0,0.0,0.1,6.28,0.0
20190103:0511,0.0,0.0,0.24,5.93,0.0
20190103:0611,0.0,0.0,0.25,5.52,0.0
20190103:0711,0.0,0.0,-0.02,5.86,0.0
20190103:0811,29.23,4.89,-0.08,5.66,0.0
20190103:0911,88.96,9.51,0.05,5.66,0.0
20190103:1011,580.96,12.27,0.34,4.83,0.0
20190103:1111,475.66,12.94,0.6,5.38,0.0
20190103:1211,293.77,11.45,0.6,5.93,0.0
20190103:1311,9.14,7.95,0.39,5.45,0.0
20190103:1411,1.83,2.7,0.05,5.31,0.0
20190103:1511,0.0,0.0,-0.4,4.83,0.0
20190103:1611,0.0,0.0,-0.38,4.28,0.0
20190103:1711,0.0,0.0,-0.42,3.86,0.0
20190103:1811,0.0,0.0,-0.41,3.66,0.0
20190103:1911,0.0,0.0,-0.28,3.59,0.0
20190103:2011,0.0,0.0,-0.13,3.1,0.0
20190103:2111,0.0,0.0,-0.58,2.55,0.0
20190103:2211,0.0,0.0,-0.76,2.14,0.0
20190103:2311,0.0,0.0,-1.25,2.07,0.0
20190104:0011,0.0,0.0,-1.5,2.07,0.0
20190104:0111,0.0,0.0,-0.99,2.14,0.0
20190104:0211,0.0,0.0,-0.46,2.34,0.0
20190104:0311,0.0,0.0,-0.39,2.69,0.0
20190104:0411,0.0,0.0,-0.13,3.1,0.0
20190104:0511,0.0,0.0,-0.17,3.52,0.0
20190104:0611,0.0,0.0,-0.12,3.86,0.0
20190104:0711,0.0,0.0,0.68,4.14,0.0
20190104:0811,6.4,4.94,0.96,4.07,0.0
20190104:0911,26.49,9.58,1.67,4.21,0.0
20190104:1011,62.64,12.36,2.34,4.28,0.0
20190104:1111,28.32,13.04,2.98,4.21,0.0
20190104:1211,31.06,11.57,3.52,4.0,0.0
20190104:1311,10.96,8.07,3.59,3.79,0.0
20190104:1411,150.33,2.83,3.3,3.59,0.0
20190104:1511,0.0,0.0,2.92,3.31,0.0
20190104:1611,0.0,0.0,2.89,3.1,0.0
20190104:1711,0.0,0.0,2.7,3.1,0.0
20190104:1811,0.0,0.0,2.69,3.38,0.0
20190104:1911,0.0,0.0,3.22,3.93,0.0
20190104:2011,0.0,0.0,3.47,4.21,0.0
20190104:2111,0.0,0.0,3.62,4.41,0.0
20190104:2211,0.0,0.0,3.87,4.41,0.0
20190104:2311,0.0,0.0,4.19,4.21,0.0
20190105:0011,0.0,0.0,4.45,3.86,0.0
20190105:0111,0.0,0.0,4.56,3.45,0.0
20190105:0211,0.0,0.0,4.48,3.17,0.0
20190105:0311,0.0,0.0,4.25,3.1,0.0
20190105:0411,0.0,0.0,3.96,3.38,0.0
20190105:0511,0.0,0.0,4.03,3.72,0.0
20190105:0611,0.0,0.0,4.22,4.14,0.0
20190105:0711,0.0,0.0,4.43,4.76,0.0
20190105:0811,42.08,5.0,4.39,4.62,0.0
20190105:0911,456.99,9.66,4.45,4.34,0.0
20190105:1011,71.84,12.45,4.6,4.41,0.0
20190105:1111,368.98,13.15,4.71,4.83,0.0
20190105:1211,572.47,11.69,4.64,5.1,0.0
20190105:1311,139.39,8.21,4.42,5.24,0.0
20190105:1411,9.14,2.97,3.9,4.76,0.0
20190105:1511,0.0,0.0,3.2,4.48,0.0
20190105:1611,0.0,0.0,2.69,4.34,0.0
20190105:1711,0.0,0.0,2.43,4.28,0.0
20190105:1811,0.0,0.0,2.06,4.14,0.0
20190105:1911,0.0,0.0,1.79,4.34,0.0
20190105:2011,0.0,0.0,1.52,4.0,0.0
20190105:2111,0.0,0.0,1.53,3.79,0.0
20190105:2211,0.0,0.0,1.42,3.72,0.0
20190105:2311,0.0,0.0,1.34,3.52,0.0
20190106:0011,0.0,0.0,1.34,3.45,0.0
20190106:0111,0.0,0.0,1.0,3.17,0.0
20190106:0211,0.0,0.0,0.87,2.97,0.0
20190106:0311,0.0,0.0,0.78,2.9,0.0
20190106:0411,0.0,0.0,0.46,2.69,0.0
20190106:0511,0.0,0.0,0.23,2.48,0.0
20190106:0611,0.0,0.0,0.02,2.34,0.0
20190106:0711,0.0,0.0,0.39,2.41,0.0
20190106:0811,125.5,5.07,0.29,2.21,0.0
20190106:0911,396.66,9.74,0.97,2.14,0.0
20190106:1011,208.73,12.55,1.78,2.34,0.0
20190106:1111,141.43,13.27,1.95,3.17,0.0
20190106:1211,183.27,11.83,2.12,3.03,0.0
20190106:1311,172.44,8.35,2.13,2.83,0.0
20190106:1411,10.96,3.12,1.69,2.07,0.0
20190106:1511,0.0,0.0,1.0,1.72,0.0
20190106:1611,0.0,0.0,0.45,1.24,0.0
20190106:1711,0.0,0.0,0.78,0.41,0.0
20190106:1811,0.0,0.0,-0.17,0.97,0.0
20190106:1911,0.0,0.0,-0.21,1.38,0.0
20190106:2011,0.0,0.0,0.14,1.45,0.0
20190106:2111,0.0,0.0,0.44,1.59,0.0
20190106:2211,0.0,0.0,0.67,1.59,0.0
20190106:2311,0.0,0.0,0.78,1.72,0.0
20190107:0011,0.0,0.0,0.84,1.93,0.0
20190107:0111,0.0,0.0,0.82,2.14,0.0
20190107:0211,0.0,0.0,0.8,2.41,0.0
20190107:0311,0.0,0.0,0.71,2.55,0.0
20190107:0411,0.0,0.0,0.59,2.62,0.0
20190107:0511,0.0,0.0,0.54,2.69,0.0
20190107:0611,0.0,0.0,0.51,2.69,0.0
20190107:0711,0.0,0.0,0.12,2.9,0.0
20190107:0811,64.13,5.14,0.18,2.97,0.0
20190107:0911,135.77,9.83,0.5,2.83,0.0
20190107:1011,596.42,12.66,1.02,3.24,0.0
20190107:1111,623.7,13.4,1.52,3.38,0.0
20190107:1211,457.84,11.97,1.98,3.52,0.0
20190107:1311,258.35,8.5,2.18,3.31,0.0
20190107:1411,4.57,3.27,2.21,3.79,0.0
20190107:1511,0.0,0.0,2.08,4.0,0.0
20190107:1611,0.0,0.0,1.9,4.21,0.0
20190107:1711,0.0,0.0,1.99,4.34,0.0
20190107:1811,0.0,0.0,2.05,4.28,0.0
20190107:1911,0.0,0.0,2.23,4.21,0.0
20190107:2011,0.0,0.0,2.61,4.48,0.0
20190107:2111,0.0,0.0,3.04,5.1,0.0
20190107:2211,0.0,0.0,3.31,5.79,0.0
20190107:2311,0.0,0.0,3.39,6.28,0.0
20190108:0011,0.0,0.0,3.57,6.34,0.0
20190108:0111,0.0,0.0,3.77,6.28,0.0
20190108:0211,0.0,0.0,3.92,6.14,0.0
20190108:0311,0.0,0.0,4.16,5.66,0.0
20190108:0411,0.0,0.0,4.52,5.24,0.0
20190108:0511,0.0,0.0,4.78,4.97,0.0
20190108:0611,0.0,0.0,4.86,5.17,0.0
20190108:0711,0.0,0.0,4.88,5.45,0.0
20190108:0811,49.47,5.23,4.75,5.1,0.0
20190108:0911,160.86,9.93,4.62,5.24,0.0
20190108:1011,79.57,12.78,4.53,5.17,0.0
20190108:1111,87.94,13.53,4.41,5.1,0.0
20190108:1211,143.26,12.11,4.33,4.83,0.0
20190108:1311,352.58,8.65,4.18,4.34,0.0
20190108:1411,178.09,3.43,4.0,3.72,0.0
20190108:1511,0.0,0.0,3.74,3.03,0.0
20190108:1611,0.0,0.0,3.72,2.48,0.0
20190108:1711,0.0,0.0,3.7,1.79,0.0
20190108:1811,0.0,0.0,3.75,1.38,0.0
