Latitude (decimal degrees):	51.804
Longitude (decimal degrees):	19.507
Elevation (m):	241
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -3 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.39,4.07,0.0
20190101:0110,0.0,0.0,0.36,4.34,0.0
20190101:0210,0.0,0.0,0.69,4.69,0.0
20190101:0310,0.0,0.0,1.36,5.24,0.0
20190101:0410,0.0,0.0,2.17,5.52,0.0
20190101:0510,0.0,0.0,2.84,5.72,0.0
20190101:0610,0.0,0.0,3.37,5.86,0.0
20190101:0710,0.0,0.0,4.52,6.07,0.0
20190101:0810,74.91,7.91,5.35,6.62,0.0
20190101:0910,14.51,12.38,5.66,7.1,0.0
20190101:1010,18.14,14.81,5.84,7.31,0.0
20190101:1110,40.81,14.98,5.84,7.52,0.0
20190101:1210,66.51,12.87,5.64,7.66,0.0
20190101:1310,19.95,8.68,5.48,7.31,0.0
20190101:1410,1.81,2.75,5.33,8.28,0.0
20190101:1510,0.0,0.0,5.1,8.21,0.0
20190101:1610,0.0,0.0,4.64,7.59,0.0
20190101:1710,0.0,0.0,3.91,7.1,0.0
20190101:1810,0.0,0.0,3.42,6.9,0.0
20190101:1910,0.0,0.0,2.72,6.48,0.0
20190101:2010,0.0,0.0,2.34,7.03,0.0
20190101:2110,0.0,0.0,1.84,7.72,0.0
20190101:2210,0.0,0.0,1.31,6.83,0.0
20190101:2310,0.0,0.0,1.08,6.9,0.0
20190102:0010,0.0,0.0,0.86,7.03,0.0
20190102:0110,0.0,0.0,0.48,6.9,0.0
20190102:0210,0.0,0.0,0.47,6.55,0.0
20190102:0310,0.0,0.0,0.75,7.03,0.0
20190102:0410,0.0,0.0,1.19,6.97,0.0
20190102:0510,0.0,0.0,1.06,6.69,0.0
20190102:0610,0.0,0.0,0.68,6.41,0.0
20190102:0710,0.0,0.0,0.46,6.55,0.0
20190102:0810,29.02,7.95,0.55,6.21,0.0
20190102:0910,204.29,12.43,0.64,6.28,0.0
20190102:1010,39.0,14.88,0.5,6.41,0.0
20190102:1110,70.74,15.07,0.12,7.59,0.0
20190102:1210,39.0,12.98,0.11,7.59,0.0
20190102:1310,16.32,8.8,-0.01,7.45,0.0
20190102:1410,7.26,2.87,-0.27,8.0,0.0
20190102:1510,0.0,0.0,-0.6,7.72,0.0
20190102:1610,0.0,0.0,-0.79,7.93,0.0
20190102:1710,0.0,0.0,-0.89,8.07,0.0
20190102:1810,0.0,0.0,-1.01,8.07,0.0
20190102:1910,0.0,0.0,-1.92,7.86,0.0
20190102:2010,0.0,0.0,-1.99,7.93,0.0
20190102:2110,0.0,0.0,-2.14,7.66,0.0
20190102:2210,0.0,0.0,-2.36,7.38,0.0
