Latitude (decimal degrees):	51.264
Longitude (decimal degrees):	22.545
Elevation (m):	209
Radiation database:	PVGIS-SARAH2


Slope: 39 deg. (optimum)
Azimuth: -3 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.29,1.66,0.0
20190101:0110,0.0,0.0,0.45,2.28,0.0
20190101:0210,0.0,0.0,0.48,3.03,0.0
20190101:0310,0.0,0.0,0.51,3.72,0.0
20190101:0410,0.0,0.0,0.19,4.07,0.0
20190101:0510,0.0,0.0,-0.33,4.0,0.0
20190101:0610,0.0,0.0,-0.26,4.21,0.0
20190101:0710,11.82,3.49,0.02,4.62,0.0
20190101:0810,93.37,9.41,0.55,4.76,0.0
20190101:0910,73.92,13.55,0.96,5.03,0.0
20190101:1010,20.0,15.56,1.56,5.52,0.0
20190101:1110,19.09,15.26,2.38,5.66,0.0
20190101:1210,15.46,12.68,3.25,6.14,0.0
20190101:1310,25.46,8.05,3.99,6.41,0.0
20190101:1410,0.0,0.0,4.12,6.48,0.0
20190101:1510,0.0,0.0,4.18,6.48,0.0
20190101:1610,0.0,0.0,4.17,6.28,0.0
20190101:1710,0.0,0.0,4.3,6.21,0.0
20190101:1810,0.0,0.0,4.17,6.28,0.0
20190101:1910,0.0,0.0,3.81,4.97,0.0
20190101:2010,0.0,0.0,3.29,4.83,0.0
20190101:2110,0.0,0.0,2.75,4.76,0.0
20190101:2210,0.0,0.0,2.12,4.83,0.0
20190101:2310,0.0,0.0,1.64,4.76,0.0
20190102:0010,0.0,0.0,1.54,4.83,0.0
20190102:0110,0.0,0.0,0.97,4.55,0.0
20190102:0210,0.0,0.0,0.48,4.55,0.0
20190102:0310,0.0,0.0,0.34,4.48,0.0
20190102:0410,0.0,0.0,0.43,4.34,0.0
20190102:0510,0.0,0.0,0.45,4.14,0.0
20190102:0610,0.0,0.0,0.15,3.79,0.0
20190102:0710,112.08,3.52,0.39,4.07,0.0
20190102:0810,134.82,9.46,0.65,4.55,0.0
20190102:0910,299.21,13.61,0.84,3.59,0.0
20190102:1010,41.82,15.64,1.3,3.86,0.0
20190102:1110,672.53,15.36,1.44,4.41,0.0
20190102:1210,38.19,12.79,1.27,4.9,0.0
20190102:1310,22.73,8.17,0.81,5.66,0.0
20190102:1410,0.0,0.0,0.38,5.38,0.0
20190102:1510,0.0,0.0,0.03,5.52,0.0
20190102:1610,0.0,0.0,-0.13,5.59,0.0
20190102:1710,0.0,0.0,-0.31,5.79,0.0
20190102:1810,0.0,0.0,-0.4,5.86,0.0
20190102:1910,0.0,0.0,-0.87,5.93,0.0
20190102:2010,0.0,0.0,-0.99,5.79,0.0
20190102:2110,0.0,0.0,-1.01,5.86,0.0
20190102:2210,0.0,0.0,-1.33,5.93,0.0
20190102:2310,0.0,0.0,-1.44,5.79,0.0
20190103:0010,0.0,0.0,-1.82,6.0,0.0
20190103:0110,0.0,0.0,-2.14,5.93,0.0
20190103:0210,0.0,0.0,-2.41,5.79,0.0
20190103:0310,0.0,0.0,-2.68,5.72,0.0
20190103:0410,0.0,0.0,-2.84,5.66,0.0
20190103:0510,0.0,0.0,-3.05,5.24,0.0
20190103:0610,0.0,0.0,-3.24,4.97,0.0
20190103:0710,7.27,3.55,-3.51,4.76,0.0
20190103:0810,124.25,9.5,-3.63,4.55,0.0
20190103:0910,85.14,13.68,-3.45,5.03,0.0
20190103:1010,139.12,15.73,-3.42,5.52,0.0
20190103:1110,41.82,15.46,-3.33,5.93,0.0
20190103:1210,71.17,12.91,-3.39,5.03,0.0
20190103:1310,9.09,8.29,-3.44,5.31,0.0
20190103:1410,0.0,0.0,-3.63,4.07,0.0
20190103:1510,0.0,0.0,-3.8,4.07,0.0
20190103:1610,0.0,0.0,-3.99,4.14,0.0
20190103:1710,0.0,0.0,-4.16,4.21,0.0
20190103:1810,0.0,0.0,-4.22,4.21,0.0
20190103:1910,0.0,0.0,-4.59,3.79,0.0
20190103:2010,0.0,0.0,-4.52,3.72,0.0
20190103:2110,0.0,0.0,-4.5,3.52,0.0
20190103:2210,0.0,0.0,-4.58,3.52,0.0
20190103:2310,0.0,0.0,-4.54,3.66,0.0
20190104:0010,0.0,0.0,-4.58,3.45,0.0
20190104:0110,0.0,0.0,-4.82,3.1,0.0
20190104:0210,0.0,0.0,-5.03,3.17,0.0
20190104:0310,0.0,0.0,-4.99,3.24,0.0
20190104:0410,0.0,0.0,-5.0,3.17,0.0
20190104:0510,0.0,0.0,-5.12,3.03,0.0
20190104:0610,0.0,0.0,-5.12,2.83,0.0
20190104:0710,10.91,3.59,-4.44,2.83,0.0
20190104:0810,118.79,9.56,-4.37,2.76,0.0
20190104:0910,92.73,13.75,-4.12,3.24,0.0
20190104:1010,416.98,15.82,-3.97,3.38,0.0
20190104:1110,381.36,15.58,-3.78,3.38,0.0
20190104:1210,333.08,13.03,-3.55,3.1,0.0
20190104:1310,24.55,8.43,-3.41,2.62,0.0
20190104:1410,0.0,0.0,-3.7,2.41,0.0
20190104:1510,0.0,0.0,-4.08,2.69,0.0
20190104:1610,0.0,0.0,-3.88,3.03,0.0
20190104:1710,0.0,0.0,-3.65,3.38,0.0
20190104:1810,0.0,0.0,-3.43,3.59,0.0
20190104:1910,0.0,0.0,-3.26,3.66,0.0
20190104:2010,0.0,0.0,-2.93,3.79,0.0
20190104:2110,0.0,0.0,-2.66,3.79,0.0
20190104:2210,0.0,0.0,-2.46,3.79,0.0
20190104:2310,0.0,0.0,-2.26,3.86,0.0
20190105:0010,0.0,0.0,-2.08,3.93,0.0
20190105:0110,0.0,0.0,-1.87,4.07,0.0
20190105:0210,0.0,0.0,-1.63,4.21,0.0
20190105:0310,0.0,0.0,-1.32,4.34,0.0
20190105:0410,0.0,0.0,-0.96,4.34,0.0
20190105:0510,0.0,0.0,-0.61,4.21,0.0
20190105:0610,0.0,0.0,-0.34,4.07,0.0
20190105:0710,2.73,3.63,-0.18,3.93,0.0
20190105:0810,111.28,9.62,0.04,3.72,0.0
20190105:0910,74.75,13.84,0.29,3.38,0.0
20190105:1010,76.37,15.93,0.45,3.31,0.0
20190105:1110,47.28,15.69,0.61,3.17,0.0
20190105:1210,22.73,13.16,0.83,3.45,0.0
20190105:1310,26.37,8.57,0.78,3.31,0.0
20190105:1410,0.0,0.0,0.65,4.07,0.0
20190105:1510,0.0,0.0,0.25,4.55,0.0
20190105:1610,0.0,0.0,-0.4,4.34,0.0
20190105:1710,0.0,0.0,-0.92,4.21,0.0
20190105:1810,0.0,0.0,-1.24,4.14,0.0
20190105:1910,0.0,0.0,-1.09,3.86,0.0
20190105:2010,0.0,0.0,-1.24,3.86,0.0
20190105:2110,0.0,0.0,-1.59,3.86,0.0
20190105:2210,0.0,0.0,-2.01,3.86,0.0
20190105:2310,0.0,0.0,-2.73,3.79,0.0
20190106:0010,0.0,0.0,-3.61,3.79,0.0
20190106:0110,0.0,0.0,-4.61,3.86,0.0
20190106:0210,0.0,0.0,-5.51,3.93,0.0
20190106:0310,0.0,0.0,-6.17,3.93,0.0
20190106:0410,0.0,0.0,-6.62,4.0,0.0
20190106:0510,0.0,0.0,-6.92,3.93,0.0
20190106:0610,0.0,0.0,-7.09,4.0,0.0
20190106:0710,34.76,3.69,-6.58,4.07,0.0
20190106:0810,308.4,9.7,-6.44,4.0,0.0
20190106:0910,180.81,13.93,-6.18,4.28,0.0
20190106:1010,83.51,16.04,-5.91,4.28,0.0
20190106:1110,94.38,15.82,-5.64,4.21,0.0
20190106:1210,60.92,13.3,-5.35,4.34,0.0
20190106:1310,30.0,8.71,-5.24,4.0,0.0
20190106:1410,1.82,2.42,-5.38,3.93,0.0
20190106:1510,0.0,0.0,-5.65,3.86,0.0
20190106:1610,0.0,0.0,-5.76,3.79,0.0
20190106:1710,0.0,0.0,-5.79,3.72,0.0
20190106:1810,0.0,0.0,-5.98,3.66,0.0
20190106:1910,0.0,0.0,-5.99,3.59,0.0
20190106:2010,0.0,0.0,-5.97,3.38,0.0
20190106:2110,0.0,0.0,-5.93,3.24,0.0
20190106:2210,0.0,0.0,-5.91,3.03,0.0
20190106:2310,0.0,0.0,-5.97,2.83,0.0
20190107:0010,0.0,0.0,-6.09,2.69,0.0
20190107:0110,0.0,0.0,-6.19,2.55,0.0
20190107:0210,0.0,0.0,-6.56,2.41,0.0
20190107:0310,0.0,0.0,-7.07,2.28,0.0
20190107:0410,0.0,0.0,-7.6,2.21,0.0
20190107:0510,0.0,0.0,-8.0,2.0,0.0
20190107:0610,0.0,0.0,-7.82,1.72,0.0
20190107:0710,11.82,3.75,-8.09,1.45,0.0
20190107:0810,140.21,9.77,-7.56,0.97,0.0
20190107:0910,123.38,14.02,-6.95,0.83,0.0
20190107:1010,60.92,16.15,-6.42,0.69,0.0
20190107:1110,70.92,15.95,-6.11,0.69,0.0
20190107:1210,49.1,13.44,-6.05,1.03,0.0
20190107:1310,26.37,8.86,-6.08,1.17,0.0
20190107:1410,5.46,2.57,-6.28,1.1,0.0
20190107:1510,0.0,0.0,-6.88,1.38,0.0
20190107:1610,0.0,0.0,-7.32,1.52,0.0
20190107:1710,0.0,0.0,-7.83,1.72,0.0
20190107:1810,0.0,0.0,-8.36,2.0,0.0
20190107:1910,0.0,0.0,-8.84,2.48,0.0
20190107:2010,0.0,0.0,-9.42,2.69,0.0
20190107:2110,0.0,0.0,-9.62,2.76,0.0
20190107:2210,0.0,0.0,-9.75,2.83,0.0
20190107:2310,0.0,0.0,-9.75,2.9,0.0
20190108:0010,0.0,0.0,-9.87,3.1,0.0
20190108:0110,0.0,0.0,-9.95,3.17,0.0
20190108:0210,0.0,0.0,-10.06,3.31,0.0
20190108:0310,0.0,0.0,-10.24,3.31,0.0
20190108:0410,0.0,0.0,-10.49,3.31,0.0
20190108:0510,0.0,0.0,-10.62,3.45,0.0
20190108:0610,0.0,0.0,-10.75,3.66,0.0
20190108:0710,89.74,3.81,-9.5,4.0,0.0
20190108:0810,61.15,9.86,-8.02,4.21,0.0
20190108:0910,41.82,14.13,-6.48,3.93,0.0
20190108:1010,41.82,16.28,-5.21,4.21,0.0
20190108:1110,132.41,16.09,-4.57,4.34,0.0
20190108:1210,83.93,13.59,-4.12,4.48,0.0
20190108:1310,54.72,9.02,-4.0,4.34,0.0
20190108:1410,6.36,2.74,-4.06,5.31,0.0
20190108:1510,0.0,0.0,-4.08,4.9,0.0
20190108:1610,0.0,0.0,-4.08,4.69,0.0
20190108:1710,0.0,0.0,-4.01,4.48,0.0
20190108:1810,0.0,0.0,-3.94,4.41,0.0
20190108:1910,0.0,0.0,-4.08,4.34,0.0
20190108:2010,0.0,0.0,-4.19,4.28,0.0
20190108:2110,0.0,0.0,-4.28,4.21,0.0
20190108:2210,0.0,0.0,-4.45,4.21,0.0
20190108:2310,0.0,0.0,-4.57,4.14,0.0
20190109:0010,0.0,0.0,-4.67,4.07,0.0
20190109:0110,0.0,0.0,-4.78,4.0,0.0
20190109:0210,0.0,0.0,-4.82,3.93,0.0
20190109:0310,0.0,0.0,-4.97,3.72,0.0
20190109:0410,0.0,0.0,-5.25,3.59,0.0
20190109:0510,0.0,0.0,-5.53,3.45,0.0
20190109:0610,0.0,0.0,-5.54,3.38,0.0
20190109:0710,96.82,3.89,-5.65,2.97,0.0
20190109:0810,101.89,9.95,-5.46,2.76,0.0
20190109:0910,63.64,14.24,-4.96,3.1,0.0
20190109:1010,96.07,16.41,-4.49,3.1,0.0
20190109:1110,98.81,16.24,-4.09,3.31,0.0
20190109:1210,231.16,13.75,-3.81,2.9,0.0
20190109:1310,73.32,9.18,-3.69,2.83,0.0
20190109:1410,3.64,2.9,-3.96,2.34,0.0
20190109:1510,0.0,0.0,-4.53,2.48,0.0
20190109:1610,0.0,0.0,-4.98,2.48,0.0
20190109:1710,0.0,0.0,-5.24,2.48,0.0
20190109:1810,0.0,0.0,-5.47,2.41,0.0
20190109:1910,0.0,0.0,-6.04,2.41,0.0
20190109:2010,0.0,0.0,-6.37,2.21,0.0
20190109:2110,0.0,0.0,-6.92,2.07,0.0
20190109:2210,0.0,0.0,-7.42,2.07,0.0
20190109:2310,0.0,0.0,-7.77,2.14,0.0
20190110:0010,0.0,0.0,-8.13,2.14,0.0
20190110:0110,0.0,0.0,-8.35,2.14,0.0
20190110:0210,0.0,0.0,-8.45,2.07,0.0
20190110:0310,0.0,0.0,-8.52,2.0,0.0
20190110:0410,0.0,0.0,-8.77,2.0,0.0
20190110:0510,0.0,0.0,-9.17,2.0,0.0
20190110:0610,0.0,0.0,-9.51,2.07,0.0
20190110:0710,4.55,3.97,-9.83,2.14,0.0
20190110:0810,338.98,10.05,-9.44,2.48,0.0
20190110:0910,79.18,14.36,-8.98,2.28,0.0
20190110:1010,70.01,16.54,-8.29,2.07,0.0
20190110:1110,97.83,16.39,-7.87,2.07,0.0
20190110:1210,162.88,13.92,-7.69,2.34,0.0
20190110:1310,40.0,9.35,-7.78,2.48,0.0
20190110:1410,3.64,3.07,-8.13,2.34,0.0
20190110:1510,0.0,0.0,-8.52,2.28,0.0
20190110:1610,0.0,0.0,-9.0,2.21,0.0
20190110:1710,0.0,0.0,-9.26,2.07,0.0
20190110:1810,0.0,0.0,-9.55,1.93,0.0
20190110:1910,0.0,0.0,-9.64,1.86,0.0
20190110:2010,0.0,0.0,-10.11,1.86,0.0
20190110:2110,0.0,0.0,-10.45,1.72,0.0
20190110:2210,0.0,0.0,-10.76,1.59,0.0
20190110:2310,0.0,0.0,-10.79,1.38,0.0
20190111:0010,0.0,0.0,-11.03,1.31,0.0
20190111:0110,0.0,0.0,-11.43,1.38,0.0
20190111:0210,0.0,0.0,-11.53,1.03,0.0
20190111:0310,0.0,0.0,-11.84,0.97,0.0
20190111:0410,0.0,0.0,-11.9,0.97,0.0
20190111:0510,0.0,0.0,-12.12,0.97,0.0
20190111:0610,0.0,0.0,-12.03,0.55,0.0
20190111:0710,25.2,4.06,-11.98,0.48,0.0
20190111:0810,86.02,10.16,-11.64,0.83,0.0
20190111:0910,44.55,14.49,-10.86,1.79,0.0
20190111:1010,45.46,16.69,-10.39,2.48,0.0
20190111:1110,53.64,16.55,-9.88,2.83,0.0
20190111:1210,46.37,14.09,-9.09,2.9,0.0
