Latitude (decimal degrees):	52.810
Longitude (decimal degrees):	21.903
Elevation (m):	125
Radiation database:	PVGIS-SARAH2


Slope: 39 deg. (optimum)
Azimuth: -2 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0011,0.0,0.0,1.21,3.59,0.0
20190101:0111,0.0,0.0,1.11,4.34,0.0
20190101:0211,0.0,0.0,0.69,4.69,0.0
20190101:0311,0.0,0.0,0.54,4.83,0.0
20190101:0411,0.0,0.0,0.67,4.97,0.0
20190101:0511,0.0,0.0,0.99,5.17,0.0
20190101:0611,0.0,0.0,1.48,5.38,0.0
20190101:0711,0.0,0.0,2.34,5.38,0.0
20190101:0811,8.2,7.91,3.2,5.59,0.0
20190101:0911,33.73,11.97,4.17,6.07,0.0
20190101:1011,38.29,13.99,5.08,6.69,0.0
20190101:1111,136.95,13.79,5.5,6.83,0.0
20190101:1211,48.31,11.4,5.61,6.76,0.0
20190101:1311,7.29,7.02,5.57,6.76,0.0
20190101:1411,0.0,0.0,5.5,7.17,0.0
20190101:1511,0.0,0.0,5.15,7.31,0.0
20190101:1611,0.0,0.0,4.5,6.07,0.0
20190101:1711,0.0,0.0,4.0,6.0,0.0
20190101:1811,0.0,0.0,3.44,5.86,0.0
20190101:1911,0.0,0.0,3.69,6.34,0.0
20190101:2011,0.0,0.0,3.27,6.21,0.0
20190101:2111,0.0,0.0,2.69,5.66,0.0
20190101:2211,0.0,0.0,2.23,5.24,0.0
20190101:2311,0.0,0.0,1.98,5.1,0.0
20190102:0011,0.0,0.0,1.16,4.9,0.0
20190102:0111,0.0,0.0,0.78,4.55,0.0
20190102:0211,0.0,0.0,0.57,4.21,0.0
20190102:0311,0.0,0.0,0.42,4.0,0.0
20190102:0411,0.0,0.0,0.51,4.07,0.0
20190102:0511,0.0,0.0,0.71,4.62,0.0
20190102:0611,0.0,0.0,0.77,5.17,0.0
20190102:0711,0.0,0.0,0.82,5.1,0.0
20190102:0811,274.87,7.95,0.98,5.17,0.0
20190102:0911,577.07,12.03,1.1,5.03,0.0
20190102:1011,39.2,14.07,1.26,6.48,0.0
20190102:1111,56.52,13.89,1.08,5.66,0.0
20190102:1211,77.71,11.51,1.07,5.59,0.0
20190102:1311,97.77,7.14,0.96,7.1,0.0
20190102:1411,0.0,0.0,0.74,6.48,0.0
20190102:1511,0.0,0.0,0.43,6.21,0.0
20190102:1611,0.0,0.0,0.24,6.21,0.0
20190102:1711,0.0,0.0,0.05,6.14,0.0
20190102:1811,0.0,0.0,-0.11,6.07,0.0
20190102:1911,0.0,0.0,-0.56,5.86,0.0
20190102:2011,0.0,0.0,-0.79,6.0,0.0
20190102:2111,0.0,0.0,-1.02,6.21,0.0
20190102:2211,0.0,0.0,-1.27,6.21,0.0
20190102:2311,0.0,0.0,-1.49,6.21,0.0
20190103:0011,0.0,0.0,-1.75,6.14,0.0
20190103:0111,0.0,0.0,-1.91,6.0,0.0
20190103:0211,0.0,0.0,-2.12,5.79,0.0
20190103:0311,0.0,0.0,-2.29,5.72,0.0
20190103:0411,0.0,0.0,-2.57,5.52,0.0
20190103:0511,0.0,0.0,-2.94,5.38,0.0
20190103:0611,0.0,0.0,-3.39,5.17,0.0
20190103:0711,0.0,0.0,-3.01,5.24,0.0
20190103:0811,291.7,8.0,-2.98,5.24,0.0
20190103:0911,387.45,12.1,-2.7,4.76,0.0
20190103:1011,151.33,14.15,-2.4,7.1,0.0
20190103:1111,83.44,13.99,-2.13,6.76,0.0
20190103:1211,44.67,11.62,-2.14,6.07,0.0
20190103:1311,30.99,7.26,-2.15,5.24,0.0
20190103:1411,0.0,0.0,-2.38,5.31,0.0
20190103:1511,0.0,0.0,-2.74,5.03,0.0
20190103:1611,0.0,0.0,-3.08,4.83,0.0
20190103:1711,0.0,0.0,-3.54,4.55,0.0
20190103:1811,0.0,0.0,-3.55,4.55,0.0
20190103:1911,0.0,0.0,-3.25,4.34,0.0
20190103:2011,0.0,0.0,-3.27,4.28,0.0
20190103:2111,0.0,0.0,-3.35,4.14,0.0
20190103:2211,0.0,0.0,-3.39,3.86,0.0
20190103:2311,0.0,0.0,-3.49,3.45,0.0
20190104:0011,0.0,0.0,-3.53,3.24,0.0
20190104:0111,0.0,0.0,-3.64,3.1,0.0
20190104:0211,0.0,0.0,-3.63,3.03,0.0
20190104:0311,0.0,0.0,-3.63,3.03,0.0
20190104:0411,0.0,0.0,-3.76,2.97,0.0
20190104:0511,0.0,0.0,-3.98,2.76,0.0
20190104:0611,0.0,0.0,-4.42,2.41,0.0
20190104:0711,0.0,0.0,-4.15,2.41,0.0
20190104:0811,335.78,8.06,-4.15,2.28,0.0
20190104:0911,112.33,12.17,-3.49,2.76,0.0
20190104:1011,49.22,14.25,-2.65,2.83,0.0
20190104:1111,73.09,14.1,-2.14,2.9,0.0
20190104:1211,56.52,11.75,-1.9,3.17,0.0
20190104:1311,26.44,7.39,-1.74,3.86,0.0
20190104:1411,0.0,0.0,-1.86,3.66,0.0
20190104:1511,0.0,0.0,-2.04,3.59,0.0
20190104:1611,0.0,0.0,-2.02,3.72,0.0
20190104:1711,0.0,0.0,-1.98,3.86,0.0
20190104:1811,0.0,0.0,-1.78,3.86,0.0
20190104:1911,0.0,0.0,-1.73,3.79,0.0
20190104:2011,0.0,0.0,-1.54,3.66,0.0
20190104:2111,0.0,0.0,-1.35,3.59,0.0
20190104:2211,0.0,0.0,-1.13,3.59,0.0
20190104:2311,0.0,0.0,-0.89,3.59,0.0
20190105:0011,0.0,0.0,-0.64,3.59,0.0
20190105:0111,0.0,0.0,-0.36,3.59,0.0
20190105:0211,0.0,0.0,-0.13,3.45,0.0
20190105:0311,0.0,0.0,0.0,3.24,0.0
20190105:0411,0.0,0.0,0.12,3.03,0.0
20190105:0511,0.0,0.0,0.22,2.83,0.0
20190105:0611,0.0,0.0,0.3,2.76,0.0
20190105:0711,0.0,0.0,0.32,2.97,0.0
20190105:0811,37.37,8.13,0.58,3.38,0.0
20190105:0911,59.25,12.25,1.08,4.0,0.0
20190105:1011,744.66,14.35,1.41,4.48,0.0
20190105:1111,245.79,14.22,1.15,4.69,0.0
20190105:1211,199.51,11.88,0.6,4.97,0.0
20190105:1311,16.41,7.53,0.08,4.55,0.0
20190105:1411,0.0,0.0,-0.35,4.55,0.0
20190105:1511,0.0,0.0,-0.72,4.55,0.0
20190105:1611,0.0,0.0,-0.95,4.55,0.0
20190105:1711,0.0,0.0,-1.15,4.55,0.0
20190105:1811,0.0,0.0,-1.5,4.55,0.0
20190105:1911,0.0,0.0,-1.53,4.34,0.0
20190105:2011,0.0,0.0,-2.2,4.48,0.0
20190105:2111,0.0,0.0,-3.0,4.48,0.0
20190105:2211,0.0,0.0,-3.85,4.28,0.0
20190105:2311,0.0,0.0,-4.59,4.21,0.0
20190106:0011,0.0,0.0,-5.22,4.14,0.0
20190106:0111,0.0,0.0,-5.72,4.14,0.0
20190106:0211,0.0,0.0,-6.06,4.0,0.0
20190106:0311,0.0,0.0,-6.28,4.07,0.0
20190106:0411,0.0,0.0,-6.39,4.0,0.0
20190106:0511,0.0,0.0,-6.45,4.07,0.0
20190106:0611,0.0,0.0,-6.48,4.14,0.0
20190106:0711,3.65,2.34,-6.25,4.21,0.0
20190106:0811,83.13,8.2,-6.05,4.83,0.0
20190106:0911,110.43,12.35,-5.75,4.48,0.0
20190106:1011,694.28,14.46,-5.35,4.41,0.0
20190106:1111,686.15,14.34,-5.0,4.34,0.0
20190106:1211,646.81,12.01,-4.7,4.34,0.0
20190106:1311,305.69,7.68,-4.54,4.21,0.0
20190106:1411,0.0,0.0,-4.59,4.0,0.0
20190106:1511,0.0,0.0,-4.72,3.72,0.0
20190106:1611,0.0,0.0,-4.85,3.45,0.0
20190106:1711,0.0,0.0,-4.98,3.31,0.0
20190106:1811,0.0,0.0,-5.16,3.1,0.0
20190106:1911,0.0,0.0,-5.4,2.76,0.0
20190106:2011,0.0,0.0,-5.47,2.62,0.0
20190106:2111,0.0,0.0,-5.64,2.21,0.0
20190106:2211,0.0,0.0,-6.09,1.86,0.0
20190106:2311,0.0,0.0,-6.34,1.79,0.0
20190107:0011,0.0,0.0,-6.58,1.52,0.0
20190107:0111,0.0,0.0,-7.06,1.24,0.0
20190107:0211,0.0,0.0,-6.65,0.97,0.0
20190107:0311,0.0,0.0,-6.26,0.48,0.0
20190107:0411,0.0,0.0,-6.4,0.34,0.0
20190107:0511,0.0,0.0,-7.96,0.97,0.0
20190107:0611,0.0,0.0,-7.8,1.38,0.0
20190107:0711,5.47,2.41,-8.1,1.24,0.0
20190107:0811,160.98,8.28,-7.96,1.59,0.0
20190107:0911,156.07,12.44,-7.33,2.28,0.0
20190107:1011,170.69,14.57,-6.17,2.55,0.0
20190107:1111,145.74,14.47,-5.34,2.62,0.0
20190107:1211,199.18,12.16,-4.9,2.69,0.0
20190107:1311,50.66,7.83,-4.69,2.62,0.0
20190107:1411,0.0,0.0,-4.88,2.55,0.0
20190107:1511,0.0,0.0,-4.85,2.83,0.0
20190107:1611,0.0,0.0,-4.75,3.1,0.0
20190107:1711,0.0,0.0,-4.56,3.31,0.0
20190107:1811,0.0,0.0,-4.37,3.38,0.0
20190107:1911,0.0,0.0,-4.26,3.31,0.0
