Latitude (decimal degrees):	54.387
Longitude (decimal degrees):	18.429
Elevation (m):	120
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -2 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0011,0.0,0.0,4.05,7.1,0.0
20190101:0111,0.0,0.0,4.61,7.24,0.0
20190101:0211,0.0,0.0,5.03,7.31,0.0
20190101:0311,0.0,0.0,5.17,7.72,0.0
20190101:0411,0.0,0.0,5.09,7.79,0.0
20190101:0511,0.0,0.0,5.1,7.86,0.0
20190101:0611,0.0,0.0,5.22,7.93,0.0
20190101:0711,0.0,0.0,6.05,8.55,0.0
20190101:0811,116.1,5.45,6.2,8.9,0.0
20190101:0911,11.8,9.75,6.15,9.31,0.0
20190101:1011,54.47,12.16,6.15,9.72,0.0
20190101:1111,26.33,12.47,6.23,10.48,0.0
20190101:1211,43.57,10.65,5.86,10.55,0.0
20190101:1311,14.52,6.86,5.5,10.21,0.0
20190101:1411,0.0,0.0,5.33,9.86,0.0
20190101:1511,0.0,0.0,5.15,9.52,0.0
20190101:1611,0.0,0.0,5.07,9.24,0.0
20190101:1711,0.0,0.0,4.67,8.69,0.0
20190101:1811,0.0,0.0,4.32,7.93,0.0
20190101:1911,0.0,0.0,3.59,7.03,0.0
20190101:2011,0.0,0.0,3.25,6.55,0.0
20190101:2111,0.0,0.0,2.86,6.0,0.0
20190101:2211,0.0,0.0,3.01,5.86,0.0
20190101:2311,0.0,0.0,2.82,6.48,0.0
20190102:0011,0.0,0.0,2.57,6.9,0.0
20190102:0111,0.0,0.0,2.35,7.24,0.0
20190102:0211,0.0,0.0,1.89,7.1,0.0
20190102:0311,0.0,0.0,1.61,7.1,0.0
20190102:0411,0.0,0.0,1.21,8.21,0.0
20190102:0511,0.0,0.0,0.77,8.41,0.0
20190102:0611,0.0,0.0,0.36,8.9,0.0
20190102:0711,0.0,0.0,0.37,9.24,0.0
20190102:0811,18.16,5.49,0.42,10.07,0.0
20190102:0911,39.04,9.81,0.42,10.69,0.0
20190102:1011,19.06,12.23,0.46,10.07,0.0
20190102:1111,83.91,12.56,0.73,10.62,0.0
20190102:1211,46.3,10.75,0.55,10.0,0.0
20190102:1311,16.34,6.97,0.4,9.72,0.0
20190102:1411,0.0,0.0,0.43,10.34,0.0
20190102:1511,0.0,0.0,0.44,10.21,0.0
20190102:1611,0.0,0.0,0.43,10.48,0.0
20190102:1711,0.0,0.0,0.34,9.79,0.0
20190102:1811,0.0,0.0,-0.11,9.59,0.0
20190102:1911,0.0,0.0,-0.41,9.72,0.0
20190102:2011,0.0,0.0,-0.49,9.59,0.0
20190102:2111,0.0,0.0,-0.51,9.86,0.0
20190102:2211,0.0,0.0,-0.56,9.66,0.0
20190102:2311,0.0,0.0,-0.71,9.52,0.0
20190103:0011,0.0,0.0,-0.87,9.38,0.0
20190103:0111,0.0,0.0,-0.84,9.03,0.0
20190103:0211,0.0,0.0,-0.61,8.48,0.0
20190103:0311,0.0,0.0,-0.5,7.86,0.0
20190103:0411,0.0,0.0,-0.4,7.38,0.0
20190103:0511,0.0,0.0,-0.41,7.24,0.0
20190103:0611,0.0,0.0,-0.65,7.03,0.0
20190103:0711,0.0,0.0,-1.09,7.24,0.0
20190103:0811,44.66,5.54,-1.03,7.03,0.0
20190103:0911,44.48,9.88,-0.41,7.24,0.0
20190103:1011,19.97,12.32,-0.14,7.66,0.0
20190103:1111,22.69,12.66,-0.05,7.66,0.0
20190103:1211,20.88,10.86,-0.16,7.93,0.0
20190103:1311,8.17,7.09,-0.45,7.45,0.0
20190103:1411,0.0,0.0,-0.69,6.34,0.0
20190103:1511,0.0,0.0,-0.88,6.0,0.0
20190103:1611,0.0,0.0,-0.82,5.79,0.0
20190103:1711,0.0,0.0,-0.89,5.72,0.0
20190103:1811,0.0,0.0,-0.88,5.72,0.0
20190103:1911,0.0,0.0,-0.8,5.66,0.0
20190103:2011,0.0,0.0,-0.58,5.17,0.0
20190103:2111,0.0,0.0,-0.5,4.62,0.0
20190103:2211,0.0,0.0,-0.76,4.14,0.0
20190103:2311,0.0,0.0,-0.84,3.72,0.0
20190104:0011,0.0,0.0,-1.28,3.45,0.0
20190104:0111,0.0,0.0,-1.8,3.38,0.0
20190104:0211,0.0,0.0,-1.99,3.45,0.0
20190104:0311,0.0,0.0,-1.55,3.38,0.0
