Latitude (decimal degrees):	49.558
Longitude (decimal degrees):	22.215
Elevation (m):	287
Radiation database:	PVGIS-SARAH2


Slope: 39 deg. (optimum)
Azimuth: -1 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,-0.15,1.86,0.0
20190101:0110,0.0,0.0,-0.35,2.0,0.0
20190101:0210,0.0,0.0,-0.57,1.93,0.0
20190101:0310,0.0,0.0,-1.0,1.93,0.0
20190101:0410,0.0,0.0,-1.42,2.07,0.0
20190101:0510,0.0,0.0,-1.82,2.41,0.0
20190101:0610,0.0,0.0,-2.15,2.76,0.0
20190101:0710,178.82,4.52,-1.98,3.66,0.0
20190101:0810,426.98,10.72,-1.16,4.48,0.0
20190101:0910,185.15,15.08,-0.38,4.76,0.0
20190101:1010,158.98,17.24,0.0,5.03,0.0
20190101:1110,44.52,16.99,0.05,5.38,0.0
20190101:1210,53.6,14.34,0.16,6.0,0.0
20190101:1310,98.29,9.56,0.01,5.93,0.0
20190101:1410,5.45,3.03,-0.01,6.14,0.0
20190101:1510,0.0,0.0,-0.11,5.79,0.0
20190101:1610,0.0,0.0,-0.18,5.72,0.0
20190101:1710,0.0,0.0,-0.18,5.66,0.0
20190101:1810,0.0,0.0,-0.17,5.38,0.0
20190101:1910,0.0,0.0,-0.01,5.17,0.0
20190101:2010,0.0,0.0,-0.26,4.76,0.0
20190101:2110,0.0,0.0,-0.35,4.34,0.0
20190101:2210,0.0,0.0,-0.36,3.93,0.0
20190101:2310,0.0,0.0,-0.18,3.52,0.0
20190102:0010,0.0,0.0,-0.2,3.1,0.0
20190102:0110,0.0,0.0,-0.04,3.17,0.0
20190102:0210,0.0,0.0,-0.39,3.38,0.0
20190102:0310,0.0,0.0,-0.89,3.66,0.0
20190102:0410,0.0,0.0,-0.93,3.93,0.0
20190102:0510,0.0,0.0,-0.73,3.86,0.0
20190102:0610,0.0,0.0,-0.68,4.0,0.0
20190102:0710,15.44,4.54,-0.51,4.07,0.0
20190102:0810,23.62,10.76,-0.34,3.52,0.0
20190102:0910,36.34,15.14,-0.17,3.79,0.0
20190102:1010,67.23,17.32,0.23,3.38,0.0
20190102:1110,68.14,17.08,0.4,3.66,0.0
20190102:1210,77.17,14.45,0.29,3.86,0.0
20190102:1310,74.55,9.68,-0.11,4.83,0.0
20190102:1410,2.73,3.16,-0.55,4.62,0.0
20190102:1510,0.0,0.0,-1.0,5.24,0.0
20190102:1610,0.0,0.0,-1.64,4.97,0.0
20190102:1710,0.0,0.0,-1.91,4.83,0.0
20190102:1810,0.0,0.0,-2.01,5.17,0.0
20190102:1910,0.0,0.0,-2.12,5.72,0.0
20190102:2010,0.0,0.0,-2.58,5.38,0.0
20190102:2110,0.0,0.0,-2.85,4.97,0.0
20190102:2210,0.0,0.0,-3.18,4.97,0.0
20190102:2310,0.0,0.0,-3.37,5.1,0.0
20190103:0010,0.0,0.0,-3.54,5.1,0.0
20190103:0110,0.0,0.0,-3.56,5.1,0.0
20190103:0210,0.0,0.0,-3.71,5.1,0.0
20190103:0310,0.0,0.0,-3.88,5.38,0.0
20190103:0410,0.0,0.0,-4.05,6.07,0.0
20190103:0510,0.0,0.0,-4.36,6.07,0.0
20190103:0610,0.0,0.0,-4.63,5.59,0.0
20190103:0710,185.55,4.57,-4.75,5.1,0.0
20190103:0810,229.6,10.8,-4.89,5.03,0.0
20190103:0910,130.31,15.21,-4.94,4.69,0.0
20190103:1010,53.6,17.41,-4.55,3.66,0.0
20190103:1110,76.31,17.19,-4.29,3.52,0.0
20190103:1210,162.87,14.57,-4.19,3.59,0.0
20190103:1310,45.42,9.81,-4.43,3.59,0.0
20190103:1410,3.63,3.29,-4.77,3.52,0.0
20190103:1510,0.0,0.0,-5.28,3.24,0.0
20190103:1610,0.0,0.0,-5.38,3.17,0.0
20190103:1710,0.0,0.0,-5.58,3.03,0.0
20190103:1810,0.0,0.0,-5.69,2.97,0.0
20190103:1910,0.0,0.0,-5.8,3.31,0.0
20190103:2010,0.0,0.0,-5.88,3.24,0.0
20190103:2110,0.0,0.0,-6.16,3.17,0.0
20190103:2210,0.0,0.0,-6.23,3.24,0.0
20190103:2310,0.0,0.0,-6.19,3.31,0.0
20190104:0010,0.0,0.0,-6.25,3.24,0.0
