Latitude (decimal degrees):	50.455
Longitude (decimal degrees):	23.416
Elevation (m):	273
Radiation database:	PVGIS-SARAH2


Slope: 39 deg. (optimum)
Azimuth: -1 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,-0.25,2.69,0.0
20190101:0110,0.0,0.0,-0.28,2.48,0.0
20190101:0210,0.0,0.0,-0.3,2.41,0.0
20190101:0310,0.0,0.0,-0.11,2.83,0.0
20190101:0410,0.0,0.0,0.08,3.52,0.0
20190101:0510,0.0,0.0,-0.02,4.0,0.0
20190101:0610,0.0,0.0,-0.3,4.14,0.0
20190101:0710,117.65,4.44,-0.58,4.41,0.0
20190101:0810,90.13,10.39,-0.08,4.0,0.0
20190101:0910,213.04,14.49,0.57,4.34,0.0
20190101:1010,99.67,16.42,1.16,4.62,0.0
20190101:1110,57.22,15.97,1.76,6.0,0.0
20190101:1210,34.52,13.21,2.03,6.21,0.0
20190101:1310,9.99,8.37,1.98,6.28,0.0
20190101:1410,0.0,0.0,1.86,6.41,0.0
20190101:1510,0.0,0.0,1.87,6.55,0.0
20190101:1610,0.0,0.0,1.67,6.83,0.0
20190101:1710,0.0,0.0,1.48,6.83,0.0
20190101:1810,0.0,0.0,1.36,6.55,0.0
20190101:1910,0.0,0.0,1.41,6.48,0.0
20190101:2010,0.0,0.0,1.24,5.93,0.0
20190101:2110,0.0,0.0,1.32,5.31,0.0
20190101:2210,0.0,0.0,1.41,4.97,0.0
20190101:2310,0.0,0.0,1.54,4.9,0.0
20190102:0010,0.0,0.0,1.22,5.03,0.0
20190102:0110,0.0,0.0,0.64,5.1,0.0
20190102:0210,0.0,0.0,0.65,4.97,0.0
20190102:0310,0.0,0.0,0.3,4.9,0.0
20190102:0410,0.0,0.0,-0.28,4.76,0.0
20190102:0510,0.0,0.0,-0.54,4.69,0.0
20190102:0610,0.0,0.0,-0.44,4.69,0.0
20190102:0710,7.27,4.47,-0.21,4.69,0.0
20190102:0810,24.52,10.43,0.0,4.48,0.0
20190102:0910,144.32,14.55,0.39,3.52,0.0
20190102:1010,59.95,16.5,1.0,3.79,0.0
20190102:1110,103.28,16.07,1.23,4.07,0.0
20190102:1210,51.77,13.32,1.3,4.55,0.0
20190102:1310,9.08,8.5,0.89,4.34,0.0
20190102:1410,0.0,0.0,0.36,5.31,0.0
20190102:1510,0.0,0.0,-0.13,4.97,0.0
20190102:1610,0.0,0.0,-0.38,5.1,0.0
20190102:1710,0.0,0.0,-0.62,5.31,0.0
20190102:1810,0.0,0.0,-0.73,5.86,0.0
20190102:1910,0.0,0.0,-1.15,6.0,0.0
20190102:2010,0.0,0.0,-1.44,5.93,0.0
20190102:2110,0.0,0.0,-1.58,5.79,0.0
20190102:2210,0.0,0.0,-1.7,5.52,0.0
20190102:2310,0.0,0.0,-1.8,5.38,0.0
20190103:0010,0.0,0.0,-1.94,5.66,0.0
20190103:0110,0.0,0.0,-2.24,5.52,0.0
20190103:0210,0.0,0.0,-2.53,5.66,0.0
20190103:0310,0.0,0.0,-2.85,5.66,0.0
20190103:0410,0.0,0.0,-3.15,5.79,0.0
20190103:0510,0.0,0.0,-3.42,5.79,0.0
20190103:0610,0.0,0.0,-3.61,5.66,0.0
20190103:0710,175.14,4.5,-3.63,5.45,0.0
20190103:0810,190.21,10.48,-3.73,5.03,0.0
20190103:0910,137.39,14.62,-3.54,5.45,0.0
20190103:1010,75.39,16.58,-3.47,5.24,0.0
20190103:1110,77.21,16.18,-3.4,5.72,0.0
20190103:1210,139.46,13.44,-3.49,5.52,0.0
20190103:1310,12.72,8.62,-3.61,5.38,0.0
20190103:1410,0.0,0.0,-3.97,4.21,0.0
20190103:1510,0.0,0.0,-4.25,4.21,0.0
20190103:1610,0.0,0.0,-4.41,4.28,0.0
20190103:1710,0.0,0.0,-4.49,4.14,0.0
20190103:1810,0.0,0.0,-4.43,4.0,0.0
20190103:1910,0.0,0.0,-4.83,3.45,0.0
20190103:2010,0.0,0.0,-4.9,4.07,0.0
20190103:2110,0.0,0.0,-4.95,3.66,0.0
20190103:2210,0.0,0.0,-5.08,3.38,0.0
20190103:2310,0.0,0.0,-5.17,3.38,0.0
20190104:0010,0.0,0.0,-5.21,3.59,0.0
20190104:0110,0.0,0.0,-5.14,3.45,0.0
20190104:0210,0.0,0.0,-5.26,3.45,0.0
20190104:0310,0.0,0.0,-5.45,3.66,0.0
20190104:0410,0.0,0.0,-5.43,3.72,0.0
20190104:0510,0.0,0.0,-5.43,3.52,0.0
20190104:0610,0.0,0.0,-5.56,3.66,0.0
20190104:0710,19.07,4.54,-4.63,4.07,0.0
20190104:0810,45.41,10.53,-4.3,4.62,0.0
20190104:0910,66.31,14.7,-4.03,4.21,0.0
20190104:1010,56.31,16.68,-3.77,3.93,0.0
20190104:1110,42.69,16.29,-3.64,3.86,0.0
20190104:1210,37.24,13.56,-3.61,3.72,0.0
20190104:1310,48.4,8.76,-3.8,3.72,0.0
20190104:1410,0.0,0.0,-4.22,3.1,0.0
20190104:1510,0.0,0.0,-5.11,2.76,0.0
20190104:1610,0.0,0.0,-5.92,2.76,0.0
20190104:1710,0.0,0.0,-6.18,3.03,0.0
20190104:1810,0.0,0.0,-6.12,3.24,0.0
20190104:1910,0.0,0.0,-4.91,3.93,0.0
20190104:2010,0.0,0.0,-4.78,4.21,0.0
20190104:2110,0.0,0.0,-4.48,4.41,0.0
20190104:2210,0.0,0.0,-4.27,4.69,0.0
20190104:2310,0.0,0.0,-4.11,4.83,0.0
20190105:0010,0.0,0.0,-4.1,4.83,0.0
20190105:0110,0.0,0.0,-3.73,5.03,0.0
20190105:0210,0.0,0.0,-3.49,5.24,0.0
20190105:0310,0.0,0.0,-3.38,5.52,0.0
20190105:0410,0.0,0.0,-3.29,5.66,0.0
20190105:0510,0.0,0.0,-3.21,5.86,0.0
20190105:0610,0.0,0.0,-3.1,5.86,0.0
20190105:0710,4.54,4.59,-3.69,6.28,0.0
20190105:0810,39.96,10.6,-3.62,6.41,0.0
20190105:0910,67.21,14.78,-3.56,5.45,0.0
20190105:1010,156.26,16.78,-3.41,5.45,0.0
20190105:1110,91.55,16.41,-3.17,5.38,0.0
20190105:1210,65.4,13.69,-2.88,5.31,0.0
20190105:1310,32.7,8.9,-2.65,4.83,0.0
20190105:1410,0.0,0.0,-2.29,5.03,0.0
20190105:1510,0.0,0.0,-1.84,4.07,0.0
20190105:1610,0.0,0.0,-1.07,3.59,0.0
20190105:1710,0.0,0.0,-0.63,4.55,0.0
20190105:1810,0.0,0.0,-0.99,4.76,0.0
20190105:1910,0.0,0.0,-1.12,4.07,0.0
20190105:2010,0.0,0.0,-1.37,3.86,0.0
20190105:2110,0.0,0.0,-1.59,3.93,0.0
20190105:2210,0.0,0.0,-1.86,4.0,0.0
20190105:2310,0.0,0.0,-2.26,4.07,0.0
20190106:0010,0.0,0.0,-2.85,4.14,0.0
20190106:0110,0.0,0.0,-3.9,4.21,0.0
20190106:0210,0.0,0.0,-4.91,4.55,0.0
20190106:0310,0.0,0.0,-5.87,4.48,0.0
20190106:0410,0.0,0.0,-6.53,4.48,0.0
20190106:0510,0.0,0.0,-6.98,4.41,0.0
20190106:0610,0.0,0.0,-7.28,4.48,0.0
20190106:0710,38.12,4.64,-6.64,4.34,0.0
20190106:0810,93.14,10.67,-6.49,5.1,0.0
20190106:0910,103.8,14.87,-6.22,5.1,0.0
20190106:1010,99.48,16.89,-6.01,5.1,0.0
20190106:1110,55.41,16.53,-5.64,5.38,0.0
20190106:1210,35.42,13.83,-5.43,5.17,0.0
20190106:1310,39.96,9.04,-5.37,5.31,0.0
20190106:1410,1.82,2.55,-5.51,4.97,0.0
20190106:1510,0.0,0.0,-5.73,4.62,0.0
20190106:1610,0.0,0.0,-5.77,4.55,0.0
20190106:1710,0.0,0.0,-5.8,4.55,0.0
20190106:1810,0.0,0.0,-5.86,4.41,0.0
20190106:1910,0.0,0.0,-5.7,4.97,0.0
20190106:2010,0.0,0.0,-5.54,4.48,0.0
20190106:2110,0.0,0.0,-5.57,3.86,0.0
20190106:2210,0.0,0.0,-5.59,3.66,0.0
20190106:2310,0.0,0.0,-5.77,3.52,0.0
20190107:0010,0.0,0.0,-5.97,3.38,0.0
20190107:0110,0.0,0.0,-6.05,3.31,0.0
20190107:0210,0.0,0.0,-6.09,3.24,0.0
20190107:0310,0.0,0.0,-6.17,3.1,0.0
20190107:0410,0.0,0.0,-6.25,3.03,0.0
20190107:0510,0.0,0.0,-6.26,2.69,0.0
20190107:0610,0.0,0.0,-6.32,2.62,0.0
20190107:0710,27.0,4.7,-6.44,2.21,0.0
20190107:0810,89.44,10.75,-6.26,2.48,0.0
20190107:0910,90.83,14.97,-5.98,2.41,0.0
