Latitude (decimal degrees):	52.203
Longitude (decimal degrees):	21.052
Elevation (m):	83
Radiation database:	PVGIS-SARAH2


Slope: 39 deg. (optimum)
Azimuth: -1 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,1.1,3.45,0.0
20190101:0110,0.0,0.0,1.01,4.0,0.0
20190101:0210,0.0,0.0,0.85,4.28,0.0
20190101:0310,0.0,0.0,0.73,4.34,0.0
20190101:0410,0.0,0.0,1.17,4.41,0.0
20190101:0510,0.0,0.0,1.71,4.55,0.0
20190101:0610,0.0,0.0,2.48,4.9,0.0
20190101:0710,0.0,0.0,3.55,5.03,0.0
20190101:0810,197.44,8.13,4.42,5.45,0.0
20190101:0910,14.54,12.36,5.3,5.79,0.0
20190101:1010,18.18,14.54,5.9,6.28,0.0
20190101:1110,18.18,14.47,6.02,6.28,0.0
20190101:1210,22.72,12.16,6.08,6.48,0.0
20190101:1310,21.81,7.82,5.97,6.48,0.0
20190101:1410,0.0,0.0,5.77,7.31,0.0
20190101:1510,0.0,0.0,5.6,6.9,0.0
20190101:1610,0.0,0.0,5.07,6.41,0.0
20190101:1710,0.0,0.0,4.32,5.86,0.0
20190101:1810,0.0,0.0,3.85,5.66,0.0
20190101:1910,0.0,0.0,3.78,5.66,0.0
20190101:2010,0.0,0.0,3.38,5.79,0.0
20190101:2110,0.0,0.0,2.61,5.72,0.0
20190101:2210,0.0,0.0,2.42,5.66,0.0
20190101:2310,0.0,0.0,2.08,5.45,0.0
20190102:0010,0.0,0.0,1.54,5.52,0.0
20190102:0110,0.0,0.0,1.1,5.24,0.0
20190102:0210,0.0,0.0,0.74,4.76,0.0
20190102:0310,0.0,0.0,0.56,4.34,0.0
20190102:0410,0.0,0.0,0.93,4.62,0.0
20190102:0510,0.0,0.0,1.44,5.31,0.0
20190102:0610,0.0,0.0,1.53,5.52,0.0
20190102:0710,0.0,0.0,1.28,5.24,0.0
20190102:0810,25.45,8.17,1.3,5.17,0.0
20190102:0910,620.68,12.41,1.43,5.38,0.0
20190102:1010,192.85,14.61,1.48,5.59,0.0
20190102:1110,30.9,14.56,1.36,5.86,0.0
20190102:1210,128.22,12.27,1.32,5.86,0.0
20190102:1310,68.17,7.93,1.05,7.45,0.0
20190102:1410,0.0,0.0,0.87,7.17,0.0
20190102:1510,0.0,0.0,0.65,6.9,0.0
20190102:1610,0.0,0.0,0.56,6.97,0.0
20190102:1710,0.0,0.0,0.41,6.76,0.0
20190102:1810,0.0,0.0,0.42,6.62,0.0
20190102:1910,0.0,0.0,-0.01,7.17,0.0
20190102:2010,0.0,0.0,-0.03,6.9,0.0
20190102:2110,0.0,0.0,-0.17,6.97,0.0
20190102:2210,0.0,0.0,-0.41,6.62,0.0
20190102:2310,0.0,0.0,-0.65,6.34,0.0
20190103:0010,0.0,0.0,-0.89,6.14,0.0
20190103:0110,0.0,0.0,-1.16,5.86,0.0
20190103:0210,0.0,0.0,-1.47,5.66,0.0
