Latitude (decimal degrees):	51.109
Longitude (decimal degrees):	16.988
Elevation (m):	122
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -3 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,3.26,2.62,0.0
20190101:0110,0.0,0.0,3.83,2.9,0.0
20190101:0210,0.0,0.0,4.38,3.31,0.0
20190101:0310,0.0,0.0,4.96,3.72,0.0
20190101:0410,0.0,0.0,5.58,4.14,0.0
20190101:0510,0.0,0.0,5.98,4.62,0.0
20190101:0610,0.0,0.0,6.02,4.97,0.0
20190101:0710,0.0,0.0,6.73,5.31,0.0
20190101:0810,378.81,7.53,7.14,5.79,0.0
20190101:0910,47.13,12.39,7.37,6.21,0.0
20190101:1010,49.84,15.24,7.49,6.62,0.0
20190101:1110,57.09,15.8,7.26,6.97,0.0
20190101:1210,51.66,14.04,6.9,7.1,0.0
20190101:1310,77.17,10.11,6.42,7.1,0.0
20190101:1410,3.63,4.35,6.23,7.31,0.0
20190101:1510,0.0,0.0,6.0,7.66,0.0
20190101:1610,0.0,0.0,5.63,7.72,0.0
20190101:1710,0.0,0.0,5.05,7.31,0.0
20190101:1810,0.0,0.0,4.49,6.97,0.0
20190101:1910,0.0,0.0,4.25,7.52,0.0
20190101:2010,0.0,0.0,3.4,8.41,0.0
20190101:2110,0.0,0.0,2.69,8.34,0.0
20190101:2210,0.0,0.0,2.15,8.07,0.0
20190101:2310,0.0,0.0,2.09,8.28,0.0
20190102:0010,0.0,0.0,1.81,8.55,0.0
20190102:0110,0.0,0.0,1.73,8.76,0.0
20190102:0210,0.0,0.0,2.0,8.69,0.0
20190102:0310,0.0,0.0,2.37,8.21,0.0
20190102:0410,0.0,0.0,2.47,8.07,0.0
20190102:0510,0.0,0.0,2.36,8.0,0.0
20190102:0610,0.0,0.0,2.37,7.86,0.0
20190102:0710,0.0,0.0,1.41,7.38,0.0
20190102:0810,40.0,7.57,1.09,7.17,0.0
20190102:0910,58.91,12.44,1.03,5.79,0.0
20190102:1010,221.67,15.31,1.06,7.17,0.0
20190102:1110,151.73,15.89,1.39,6.76,0.0
20190102:1210,66.16,14.15,1.41,6.9,0.0
20190102:1310,33.53,10.23,1.0,6.34,0.0
20190102:1410,214.9,4.48,0.76,6.69,0.0
20190102:1510,0.0,0.0,0.13,6.0,0.0
20190102:1610,0.0,0.0,-0.45,5.86,0.0
20190102:1710,0.0,0.0,-0.86,5.93,0.0
20190102:1810,0.0,0.0,-1.29,6.07,0.0
20190102:1910,0.0,0.0,-1.75,5.59,0.0
20190102:2010,0.0,0.0,-2.04,5.59,0.0
20190102:2110,0.0,0.0,-2.17,5.59,0.0
20190102:2210,0.0,0.0,-2.63,5.59,0.0
20190102:2310,0.0,0.0,-2.54,5.79,0.0
20190103:0010,0.0,0.0,-2.69,5.72,0.0
20190103:0110,0.0,0.0,-2.64,5.72,0.0
20190103:0210,0.0,0.0,-2.6,5.59,0.0
20190103:0310,0.0,0.0,-2.63,5.52,0.0
20190103:0410,0.0,0.0,-2.77,5.45,0.0
20190103:0510,0.0,0.0,-2.71,5.52,0.0
20190103:0610,0.0,0.0,-2.5,5.38,0.0
20190103:0710,0.0,0.0,-1.92,5.52,0.0
20190103:0810,42.74,7.61,-1.74,4.34,0.0
20190103:0910,65.71,12.51,-1.09,4.76,0.0
20190103:1010,43.5,15.39,-0.38,5.31,0.0
20190103:1110,78.84,15.99,0.15,5.38,0.0
20190103:1210,250.74,14.26,0.45,5.31,0.0
20190103:1310,135.34,10.35,-0.05,5.24,0.0
20190103:1410,69.55,4.61,-0.82,4.97,0.0
20190103:1510,0.0,0.0,-1.32,4.48,0.0
20190103:1610,0.0,0.0,-1.87,4.34,0.0
20190103:1710,0.0,0.0,-1.98,4.55,0.0
20190103:1810,0.0,0.0,-2.07,4.48,0.0
20190103:1910,0.0,0.0,-2.83,4.48,0.0
20190103:2010,0.0,0.0,-2.92,4.69,0.0
20190103:2110,0.0,0.0,-3.0,4.48,0.0
20190103:2210,0.0,0.0,-3.32,4.21,0.0
