Latitude (decimal degrees):	49.293
Longitude (decimal degrees):	19.937
Elevation (m):	833
Radiation database:	PVGIS-SARAH2


Slope: 38 deg. (optimum)
Azimuth: -8 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,-9.91,1.31,0.0
20190101:0110,0.0,0.0,-10.17,1.45,0.0
20190101:0210,0.0,0.0,-10.64,1.59,0.0
20190101:0310,0.0,0.0,-10.99,1.72,0.0
20190101:0410,0.0,0.0,-11.03,1.79,0.0
20190101:0510,0.0,0.0,-11.01,1.86,0.0
20190101:0610,0.0,0.0,-10.34,1.93,0.0
20190101:0710,5.97,3.62,-10.49,2.0,0.0
20190101:0810,17.36,10.1,-8.56,1.93,0.0
20190101:0910,128.9,14.8,-6.77,2.07,0.0
20190101:1010,156.42,17.33,-5.43,2.0,0.0
20190101:1110,47.52,17.45,-4.24,2.21,0.0
20190101:1210,27.41,15.14,-3.49,2.34,0.0
20190101:1310,16.45,10.63,-3.26,2.34,0.0
20190101:1410,3.41,4.3,-3.31,2.55,0.0
20190101:1510,0.0,0.0,-3.48,2.76,0.0
20190101:1610,0.0,0.0,-3.25,2.83,0.0
20190101:1710,0.0,0.0,-2.99,2.83,0.0
20190101:1810,0.0,0.0,-2.8,2.69,0.0
20190101:1910,0.0,0.0,-3.2,2.48,0.0
20190101:2010,0.0,0.0,-3.28,2.41,0.0
20190101:2110,0.0,0.0,-3.02,2.34,0.0
20190101:2210,0.0,0.0,-2.87,2.76,0.0
20190101:2310,0.0,0.0,-3.06,3.45,0.0
20190102:0010,0.0,0.0,-3.43,3.86,0.0
20190102:0110,0.0,0.0,-5.69,3.72,0.0
20190102:0210,0.0,0.0,-6.9,3.38,0.0
20190102:0310,0.0,0.0,-7.47,3.17,0.0
20190102:0410,0.0,0.0,-7.81,3.03,0.0
20190102:0510,0.0,0.0,-7.67,3.31,0.0
20190102:0610,0.0,0.0,-7.4,3.59,0.0
20190102:0710,3.41,3.64,-6.97,3.79,0.0
20190102:0810,554.35,10.14,-6.87,4.62,0.0
20190102:0910,201.75,14.85,-6.87,3.24,0.0
20190102:1010,29.24,17.4,-6.95,3.45,0.0
20190102:1110,23.76,17.54,-7.01,3.59,0.0
20190102:1210,303.74,15.24,-7.15,3.45,0.0
20190102:1310,125.91,10.75,-7.38,2.9,0.0
20190102:1410,23.04,4.43,-7.78,2.48,0.0
20190102:1510,0.0,0.0,-8.56,2.55,0.0
20190102:1610,0.0,0.0,-9.0,2.55,0.0
20190102:1710,0.0,0.0,-9.39,2.97,0.0
20190102:1810,0.0,0.0,-9.76,2.9,0.0
20190102:1910,0.0,0.0,-9.95,2.9,0.0
20190102:2010,0.0,0.0,-10.51,2.83,0.0
20190102:2110,0.0,0.0,-10.74,2.97,0.0
20190102:2210,0.0,0.0,-11.06,2.97,0.0
20190102:2310,0.0,0.0,-11.34,2.62,0.0
20190103:0010,0.0,0.0,-11.63,2.55,0.0
20190103:0110,0.0,0.0,-12.22,2.62,0.0
20190103:0210,0.0,0.0,-12.42,2.69,0.0
20190103:0310,0.0,0.0,-12.68,2.62,0.0
20190103:0410,0.0,0.0,-13.02,2.62,0.0
20190103:0510,0.0,0.0,-13.09,2.76,0.0
20190103:0610,0.0,0.0,-13.14,2.76,0.0
20190103:0710,3.41,3.67,-12.92,2.55,0.0
20190103:0810,12.79,10.18,-12.75,2.14,0.0
20190103:0910,20.1,14.92,-12.42,2.28,0.0
20190103:1010,34.72,17.49,-12.11,2.48,0.0
20190103:1110,33.81,17.64,-11.84,2.48,0.0
20190103:1210,21.02,15.36,-11.55,2.41,0.0
20190103:1310,77.39,10.87,-11.8,2.62,0.0
20190103:1410,4.27,4.56,-12.02,2.9,0.0
20190103:1510,0.0,0.0,-12.96,2.28,0.0
20190103:1610,0.0,0.0,-14.0,1.93,0.0
20190103:1710,0.0,0.0,-13.98,2.07,0.0
