Latitude (decimal degrees):	53.824
Longitude (decimal degrees):	22.359
Elevation (m):	129
Radiation database:	PVGIS-SARAH2


Slope: 41 deg. (optimum)
Azimuth: -7 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,0.0,2.25,4.83,0.0
20200101:0111,0.0,0.0,0.0,0.0,1.68,4.28,0.0
20200101:0211,0.0,0.0,0.0,0.0,1.51,4.07,0.0
20200101:0311,0.0,0.0,0.0,0.0,1.43,3.72,0.0
20200101:0411,0.0,0.0,0.0,0.0,1.26,3.31,0.0
20200101:0511,0.0,0.0,0.0,0.0,1.21,3.24,0.0
20200101:0611,0.0,0.0,0.0,0.0,0.77,3.17,0.0
20200101:0711,0.0,0.0,0.0,0.0,0.16,3.38,0.0
20200101:0811,228.98,90.08,2.16,7.21,0.37,3.45,0.0
20200101:0911,290.63,128.39,3.6,11.11,0.94,3.45,0.0
20200101:1011,566.21,112.46,5.12,13.01,1.74,3.45,0.0
20200101:1111,0.0,50.75,1.44,12.75,2.29,3.79,0.0
20200101:1211,0.0,28.0,0.8,10.36,2.49,3.79,0.0
20200101:1311,0.0,12.25,0.35,6.03,2.48,4.48,0.0
20200101:1411,0.0,0.0,0.0,0.0,2.19,4.55,0.0
20200101:1511,0.0,0.0,0.0,0.0,2.28,4.62,0.0
20200101:1611,0.0,0.0,0.0,0.0,2.53,4.69,0.0
20200101:1711,0.0,0.0,0.0,0.0,2.66,4.76,0.0
20200101:1811,0.0,0.0,0.0,0.0,2.73,4.9,0.0
20200101:1911,0.0,0.0,0.0,0.0,2.56,4.69,0.0
20200101:2011,0.0,0.0,0.0,0.0,2.55,4.62,0.0
20200101:2111,0.0,0.0,0.0,0.0,2.45,4.55,0.0
20200101:2211,0.0,0.0,0.0,0.0,2.41,4.48,0.0
20200101:2311,0.0,0.0,0.0,0.0,2.4,4.41,0.0
20200102:0011,0.0,0.0,0.0,0.0,2.3,4.28,0.0
20200102:0111,0.0,0.0,0.0,0.0,1.65,4.07,0.0
20200102:0211,0.0,0.0,0.0,0.0,1.27,4.34,0.0
20200102:0311,0.0,0.0,0.0,0.0,0.79,4.48,0.0
20200102:0411,0.0,0.0,0.0,0.0,0.61,4.62,0.0
20200102:0511,0.0,0.0,0.0,0.0,0.42,4.48,0.0
20200102:0611,0.0,0.0,0.0,0.0,0.36,4.14,0.0
20200102:0711,0.0,0.0,0.0,0.0,0.36,3.93,0.0
20200102:0811,43.34,54.36,1.44,7.26,0.7,3.79,0.0
20200102:0911,60.24,88.85,2.46,11.17,1.58,3.79,0.0
20200102:1011,50.24,100.22,2.83,13.09,2.32,3.59,0.0
20200102:1111,84.86,111.49,3.13,12.84,2.94,3.17,0.0
20200102:1211,196.58,114.31,3.16,10.46,3.34,4.0,0.0
20200102:1311,188.38,70.38,1.79,6.15,3.33,3.86,0.0
20200102:1411,0.0,0.0,0.0,0.0,2.73,3.79,0.0
20200102:1511,0.0,0.0,0.0,0.0,2.1,3.79,0.0
20200102:1611,0.0,0.0,0.0,0.0,1.69,3.72,0.0
20200102:1711,0.0,0.0,0.0,0.0,1.32,3.66,0.0
20200102:1811,0.0,0.0,0.0,0.0,1.1,3.59,0.0
20200102:1911,0.0,0.0,0.0,0.0,1.18,3.52,0.0
20200102:2011,0.0,0.0,0.0,0.0,0.98,3.45,0.0
20200102:2111,0.0,0.0,0.0,0.0,0.85,3.38,0.0
20200102:2211,0.0,0.0,0.0,0.0,0.7,3.31,0.0
20200102:2311,0.0,0.0,0.0,0.0,0.57,3.38,0.0
20200103:0011,0.0,0.0,0.0,0.0,0.45,3.38,0.0
20200103:0111,0.0,0.0,0.0,0.0,0.27,3.45,0.0
20200103:0211,0.0,0.0,0.0,0.0,0.06,3.52,0.0
20200103:0311,0.0,0.0,0.0,0.0,-0.11,3.52,0.0
20200103:0411,0.0,0.0,0.0,0.0,-0.36,3.52,0.0
20200103:0511,0.0,0.0,0.0,0.0,-0.65,3.66,0.0
20200103:0611,0.0,0.0,0.0,0.0,-0.95,3.72,0.0
20200103:0711,0.0,0.0,0.0,0.0,-0.97,3.72,0.0
20200103:0811,349.64,89.75,2.49,7.31,-0.74,3.79,0.0
20200103:0911,495.27,110.39,4.25,11.24,-0.1,3.38,0.0
20200103:1011,521.14,125.62,5.07,13.17,0.69,4.48,0.0
20200103:1111,31.63,87.91,2.51,12.95,1.07,4.69,0.0
20200103:1211,0.0,26.25,0.75,10.58,1.36,4.62,0.0
20200103:1311,0.0,12.25,0.35,6.27,1.52,4.41,0.0
20200103:1411,0.0,0.0,0.0,0.0,1.42,4.41,0.0
20200103:1511,0.0,0.0,0.0,0.0,1.56,4.48,0.0
20200103:1611,0.0,0.0,0.0,0.0,1.88,4.55,0.0
20200103:1711,0.0,0.0,0.0,0.0,2.17,4.69,0.0
20200103:1811,0.0,0.0,0.0,0.0,2.45,4.97,0.0
20200103:1911,0.0,0.0,0.0,0.0,2.08,4.76,0.0
