Latitude (decimal degrees):	50.888
Longitude (decimal degrees):	20.608
Elevation (m):	278
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -7 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,2.24,5.66,0.0
20200101:0110,0.0,0.0,0.0,0.0,1.75,5.31,0.0
20200101:0210,0.0,0.0,0.0,0.0,1.44,4.83,0.0
20200101:0310,0.0,0.0,0.0,0.0,0.81,4.41,0.0
20200101:0410,0.0,0.0,0.0,0.0,0.58,4.21,0.0
20200101:0510,0.0,0.0,0.0,0.0,0.45,4.0,0.0
20200101:0610,0.0,0.0,0.0,0.0,0.44,3.86,0.0
20200101:0710,0.0,8.71,0.26,2.87,-0.59,3.72,0.0
20200101:0810,58.01,72.1,2.03,9.05,0.0,3.79,0.0
20200101:0910,320.59,150.12,4.73,13.48,0.55,4.21,0.0
20200101:1010,0.0,57.47,1.7,15.81,1.03,4.28,0.0
20200101:1110,48.59,118.22,3.55,15.81,1.48,4.34,0.0
20200101:1210,359.1,141.36,4.99,13.49,1.71,4.55,0.0
20200101:1310,128.47,88.95,2.55,9.06,1.74,4.69,0.0
20200101:1410,60.14,17.93,0.57,2.88,1.6,4.55,0.0
20200101:1510,0.0,0.0,0.0,0.0,1.23,3.93,0.0
20200101:1610,0.0,0.0,0.0,0.0,1.07,4.21,0.0
20200101:1710,0.0,0.0,0.0,0.0,1.02,4.21,0.0
20200101:1810,0.0,0.0,0.0,0.0,0.71,4.14,0.0
20200101:1910,0.0,0.0,0.0,0.0,0.22,4.07,0.0
20200101:2010,0.0,0.0,0.0,0.0,-0.21,3.79,0.0
20200101:2110,0.0,0.0,0.0,0.0,-0.51,3.72,0.0
20200101:2210,0.0,0.0,0.0,0.0,-0.74,3.79,0.0
20200101:2310,0.0,0.0,0.0,0.0,-1.03,3.86,0.0
20200102:0010,0.0,0.0,0.0,0.0,-1.13,3.93,0.0
20200102:0110,0.0,0.0,0.0,0.0,-1.42,3.93,0.0
20200102:0210,0.0,0.0,0.0,0.0,-1.61,3.79,0.0
20200102:0310,0.0,0.0,0.0,0.0,-1.72,3.66,0.0
20200102:0410,0.0,0.0,0.0,0.0,-2.01,3.38,0.0
20200102:0510,0.0,0.0,0.0,0.0,-2.07,3.31,0.0
20200102:0610,0.0,0.0,0.0,0.0,-1.9,3.38,0.0
20200102:0710,43.38,17.93,0.51,2.89,-1.65,3.52,0.0
20200102:0810,128.8,93.85,2.52,9.09,-0.5,3.66,0.0
20200102:0910,154.52,137.06,3.98,13.54,1.31,3.79,0.0
20200102:1010,355.97,177.63,5.84,15.88,3.04,3.59,0.0
20200102:1110,241.91,169.35,5.27,15.9,4.17,3.66,0.0
20200102:1210,76.5,114.72,3.42,13.6,4.82,3.86,0.0
20200102:1310,127.2,92.18,2.62,9.18,4.65,3.72,0.0
20200102:1410,107.53,21.73,0.72,3.01,3.69,3.59,0.0
20200102:1510,0.0,0.0,0.0,0.0,2.26,3.45,0.0
20200102:1610,0.0,0.0,0.0,0.0,1.29,3.24,0.0
20200102:1710,0.0,0.0,0.0,0.0,0.56,2.97,0.0
