Latitude (decimal degrees):	51.828
Longitude (decimal degrees):	19.434
Elevation (m):	206
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -9 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,1.34,4.07,0.0
20200101:0110,0.0,0.0,0.0,0.0,1.01,3.59,0.0
20200101:0210,0.0,0.0,0.0,0.0,0.55,3.45,0.0
20200101:0310,0.0,0.0,0.0,0.0,0.28,3.38,0.0
20200101:0410,0.0,0.0,0.0,0.0,0.09,3.24,0.0
20200101:0510,0.0,0.0,0.0,0.0,0.07,3.38,0.0
20200101:0610,0.0,0.0,0.0,0.0,0.32,3.45,0.0
20200101:0710,0.0,0.0,0.0,0.0,-0.26,3.38,0.0
20200101:0810,45.61,59.25,1.62,7.86,0.07,3.17,0.0
20200101:0910,77.91,104.03,2.96,12.34,0.57,4.07,0.0
20200101:1010,26.14,98.61,2.88,14.78,0.94,4.14,0.0
20200101:1110,0.0,32.29,0.94,14.96,1.06,4.62,0.0
20200101:1210,210.1,131.72,4.0,12.86,1.26,4.83,0.0
20200101:1310,0.0,22.69,0.66,8.69,1.28,4.9,0.0
20200101:1410,128.71,18.69,0.68,2.76,1.24,4.83,0.0
20200101:1510,0.0,0.0,0.0,0.0,1.15,3.86,0.0
20200101:1610,0.0,0.0,0.0,0.0,1.13,3.93,0.0
20200101:1710,0.0,0.0,0.0,0.0,0.91,3.93,0.0
20200101:1810,0.0,0.0,0.0,0.0,0.89,4.0,0.0
20200101:1910,0.0,0.0,0.0,0.0,0.64,4.0,0.0
20200101:2010,0.0,0.0,0.0,0.0,0.15,3.72,0.0
20200101:2110,0.0,0.0,0.0,0.0,-0.14,3.38,0.0
20200101:2210,0.0,0.0,0.0,0.0,-0.39,3.31,0.0
20200101:2310,0.0,0.0,0.0,0.0,-0.64,3.52,0.0
20200102:0010,0.0,0.0,0.0,0.0,-0.88,3.72,0.0
20200102:0110,0.0,0.0,0.0,0.0,-1.22,3.79,0.0
20200102:0210,0.0,0.0,0.0,0.0,-1.36,3.93,0.0
20200102:0310,0.0,0.0,0.0,0.0,-1.34,4.0,0.0
20200102:0410,0.0,0.0,0.0,0.0,-1.48,3.93,0.0
20200102:0510,0.0,0.0,0.0,0.0,-1.47,4.07,0.0
20200102:0610,0.0,0.0,0.0,0.0,-1.38,4.14,0.0
20200102:0710,0.0,0.0,0.0,0.0,-1.17,3.86,0.0
20200102:0810,70.59,70.05,1.85,7.9,-0.58,3.93,0.0
20200102:0910,306.64,145.72,4.28,12.4,0.68,4.0,0.0
20200102:1010,260.3,164.14,4.91,14.85,2.08,3.66,0.0
20200102:1110,206.73,157.6,4.71,15.05,3.05,3.52,0.0
20200102:1210,104.42,117.89,3.44,12.97,3.71,3.93,0.0
20200102:1310,70.18,75.3,2.13,8.8,3.58,3.66,0.0
20200102:1410,82.51,20.98,0.66,2.89,2.86,3.45,0.0
20200102:1510,0.0,0.0,0.0,0.0,1.62,3.31,0.0
20200102:1610,0.0,0.0,0.0,0.0,0.65,3.03,0.0
20200102:1710,0.0,0.0,0.0,0.0,-0.12,2.9,0.0
20200102:1810,0.0,0.0,0.0,0.0,-0.65,2.9,0.0
20200102:1910,0.0,0.0,0.0,0.0,-0.82,3.1,0.0
20200102:2010,0.0,0.0,0.0,0.0,-0.87,3.24,0.0
20200102:2110,0.0,0.0,0.0,0.0,-0.74,3.45,0.0
20200102:2210,0.0,0.0,0.0,0.0,-0.5,3.72,0.0
20200102:2310,0.0,0.0,0.0,0.0,-0.28,3.86,0.0
20200103:0010,0.0,0.0,0.0,0.0,-0.36,3.86,0.0
20200103:0110,0.0,0.0,0.0,0.0,-0.72,3.66,0.0
20200103:0210,0.0,0.0,0.0,0.0,-1.16,3.52,0.0
20200103:0310,0.0,0.0,0.0,0.0,-1.48,3.45,0.0
20200103:0410,0.0,0.0,0.0,0.0,-1.6,3.45,0.0
20200103:0510,0.0,0.0,0.0,0.0,-1.53,3.45,0.0
20200103:0610,0.0,0.0,0.0,0.0,-1.34,3.52,0.0
20200103:0710,0.0,0.0,0.0,0.0,-1.0,3.45,0.0
20200103:0810,15.04,46.03,1.32,7.95,0.04,3.52,0.0
20200103:0910,3.68,60.02,1.75,12.46,1.37,3.38,0.0
20200103:1010,3.24,75.66,2.2,14.94,2.3,3.72,0.0
20200103:1110,573.5,121.77,6.15,15.15,3.02,3.86,0.0
20200103:1210,531.76,97.26,5.29,13.08,3.36,3.93,0.0
20200103:1310,104.15,82.16,2.33,8.93,3.27,4.41,0.0
20200103:1410,118.99,21.03,0.73,3.02,2.93,4.28,0.0
20200103:1510,0.0,0.0,0.0,0.0,2.63,4.28,0.0
20200103:1610,0.0,0.0,0.0,0.0,2.45,4.48,0.0
