Latitude (decimal degrees):	52.808
Longitude (decimal degrees):	21.891
Elevation (m):	128
Radiation database:	PVGIS-SARAH2


Slope: 41 deg. (optimum)
Azimuth: -8 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,0.0,2.69,4.48,0.0
20200101:0111,0.0,0.0,0.0,0.0,2.38,4.21,0.0
20200101:0211,0.0,0.0,0.0,0.0,2.07,3.93,0.0
20200101:0311,0.0,0.0,0.0,0.0,1.78,3.72,0.0
20200101:0411,0.0,0.0,0.0,0.0,1.39,3.45,0.0
20200101:0511,0.0,0.0,0.0,0.0,0.76,3.1,0.0
20200101:0611,0.0,0.0,0.0,0.0,-0.03,2.9,0.0
20200101:0711,0.0,0.0,0.0,0.0,-0.55,2.97,0.0
20200101:0811,261.52,97.68,2.45,7.91,-0.35,2.76,0.0
20200101:0911,0.0,43.84,1.23,11.97,0.41,2.69,0.0
20200101:1011,226.82,147.5,4.22,13.99,1.24,3.38,0.0
20200101:1111,0.0,46.47,1.3,13.8,1.89,3.93,0.0
20200101:1211,0.0,25.42,0.71,11.4,2.04,4.07,0.0
20200101:1311,0.0,11.4,0.32,7.02,1.66,4.28,0.0
20200101:1411,0.0,0.0,0.0,0.0,1.3,4.41,0.0
20200101:1511,0.0,0.0,0.0,0.0,1.15,4.28,0.0
20200101:1611,0.0,0.0,0.0,0.0,1.16,4.28,0.0
20200101:1711,0.0,0.0,0.0,0.0,1.17,4.28,0.0
20200101:1811,0.0,0.0,0.0,0.0,1.3,4.28,0.0
20200101:1911,0.0,0.0,0.0,0.0,1.64,4.14,0.0
20200101:2011,0.0,0.0,0.0,0.0,1.58,4.14,0.0
20200101:2111,0.0,0.0,0.0,0.0,1.37,4.07,0.0
20200101:2211,0.0,0.0,0.0,0.0,1.17,3.93,0.0
20200101:2311,0.0,0.0,0.0,0.0,0.82,3.86,0.0
20200102:0011,0.0,0.0,0.0,0.0,0.4,3.86,0.0
