Latitude (decimal degrees):	52.397
Longitude (decimal degrees):	16.922
Elevation (m):	78
Radiation database:	PVGIS-SARAH2


Slope: 43 deg. (optimum)
Azimuth: -6 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,0.0,1.67,3.31,0.0
20200101:0111,0.0,0.0,0.0,0.0,1.13,2.97,0.0
20200101:0211,0.0,0.0,0.0,0.0,0.67,2.9,0.0
20200101:0311,0.0,0.0,0.0,0.0,0.36,2.97,0.0
20200101:0411,0.0,0.0,0.0,0.0,0.1,2.83,0.0
20200101:0511,0.0,0.0,0.0,0.0,-0.05,2.83,0.0
20200101:0611,0.0,0.0,0.0,0.0,0.08,2.76,0.0
20200101:0711,0.0,0.0,0.0,0.0,0.56,2.97,0.0
20200101:0811,5.87,30.46,0.95,6.49,0.81,3.93,0.0
20200101:0911,0.0,37.11,1.17,11.21,1.12,4.07,0.0
20200101:1011,27.82,93.86,2.97,13.96,1.59,4.07,0.0
20200101:1111,3.34,74.88,2.37,14.52,2.07,4.14,0.0
20200101:1211,0.0,25.03,0.79,12.82,2.46,4.21,0.0
20200101:1311,0.0,32.8,1.03,9.03,2.62,4.28,0.0
20200101:1411,0.0,2.59,0.08,3.45,2.69,4.0,0.0
20200101:1511,0.0,0.0,0.0,0.0,2.48,3.66,0.0
20200101:1611,0.0,0.0,0.0,0.0,2.11,3.66,0.0
20200101:1711,0.0,0.0,0.0,0.0,1.56,3.38,0.0
20200101:1811,0.0,0.0,0.0,0.0,1.05,3.17,0.0
20200101:1911,0.0,0.0,0.0,0.0,1.41,3.86,0.0
20200101:2011,0.0,0.0,0.0,0.0,1.01,3.38,0.0
20200101:2111,0.0,0.0,0.0,0.0,0.54,2.97,0.0
20200101:2211,0.0,0.0,0.0,0.0,0.22,2.69,0.0
20200101:2311,0.0,0.0,0.0,0.0,-0.18,2.62,0.0
20200102:0011,0.0,0.0,0.0,0.0,-0.57,2.62,0.0
20200102:0111,0.0,0.0,0.0,0.0,-0.9,2.83,0.0
20200102:0211,0.0,0.0,0.0,0.0,-1.04,3.17,0.0
20200102:0311,0.0,0.0,0.0,0.0,-1.2,3.38,0.0
20200102:0411,0.0,0.0,0.0,0.0,-1.28,3.24,0.0
20200102:0511,0.0,0.0,0.0,0.0,-1.3,3.03,0.0
20200102:0611,0.0,0.0,0.0,0.0,-1.44,3.03,0.0
20200102:0711,0.0,0.0,0.0,0.0,-1.27,2.97,0.0
20200102:0811,99.17,66.31,1.74,6.53,-1.0,2.55,0.0
20200102:0911,63.92,91.94,2.8,11.26,0.21,2.34,0.0
20200102:1011,353.14,162.51,5.39,14.04,1.73,2.21,0.0
20200102:1111,528.09,148.44,6.32,14.61,2.85,2.28,0.0
20200102:1211,495.03,128.89,5.55,12.93,3.62,2.55,0.0
20200102:1311,115.25,89.3,2.64,9.14,3.68,2.41,0.0
20200102:1411,194.71,30.88,1.12,3.57,2.78,2.55,0.0
20200102:1511,0.0,0.0,0.0,0.0,1.29,2.76,0.0
20200102:1611,0.0,0.0,0.0,0.0,0.39,2.76,0.0
20200102:1711,0.0,0.0,0.0,0.0,-0.04,2.83,0.0
20200102:1811,0.0,0.0,0.0,0.0,-0.24,2.9,0.0
20200102:1911,0.0,0.0,0.0,0.0,-0.42,2.76,0.0
20200102:2011,0.0,0.0,0.0,0.0,-0.53,2.83,0.0
20200102:2111,0.0,0.0,0.0,0.0,-0.47,3.03,0.0
20200102:2211,0.0,0.0,0.0,0.0,-0.36,3.24,0.0
20200102:2311,0.0,0.0,0.0,0.0,-0.4,3.31,0.0
20200103:0011,0.0,0.0,0.0,0.0,-0.53,3.31,0.0
20200103:0111,0.0,0.0,0.0,0.0,-0.66,3.31,0.0
20200103:0211,0.0,0.0,0.0,0.0,-0.72,3.17,0.0
20200103:0311,0.0,0.0,0.0,0.0,-0.61,3.17,0.0
20200103:0411,0.0,0.0,0.0,0.0,-0.35,3.24,0.0
20200103:0511,0.0,0.0,0.0,0.0,0.13,3.38,0.0
20200103:0611,0.0,0.0,0.0,0.0,0.79,3.45,0.0
20200103:0711,0.0,0.0,0.0,0.0,1.45,3.52,0.0
20200103:0811,28.96,43.94,1.31,6.57,1.72,3.66,0.0
20200103:0911,429.25,122.13,4.49,11.32,2.13,3.52,0.0
20200103:1011,124.04,128.13,4.0,14.12,2.47,3.31,0.0
20200103:1111,204.86,149.13,4.76,14.71,2.98,3.52,0.0
20200103:1211,68.78,103.77,3.27,13.04,3.8,4.41,0.0
20200103:1311,44.81,67.87,2.1,9.27,4.46,4.69,0.0
20200103:1411,128.3,31.32,1.01,3.7,4.69,4.55,0.0
20200103:1511,0.0,0.0,0.0,0.0,4.66,4.55,0.0
20200103:1611,0.0,0.0,0.0,0.0,4.68,4.55,0.0
20200103:1711,0.0,0.0,0.0,0.0,4.9,4.76,0.0
20200103:1811,0.0,0.0,0.0,0.0,5.09,4.9,0.0
20200103:1911,0.0,0.0,0.0,0.0,5.4,5.17,0.0
20200103:2011,0.0,0.0,0.0,0.0,5.69,5.45,0.0
20200103:2111,0.0,0.0,0.0,0.0,5.9,5.79,0.0
20200103:2211,0.0,0.0,0.0,0.0,5.92,5.93,0.0
20200103:2311,0.0,0.0,0.0,0.0,6.04,5.86,0.0
20200104:0011,0.0,0.0,0.0,0.0,6.09,5.59,0.0
20200104:0111,0.0,0.0,0.0,0.0,5.98,5.38,0.0
20200104:0211,0.0,0.0,0.0,0.0,5.31,5.24,0.0
20200104:0311,0.0,0.0,0.0,0.0,4.39,5.24,0.0
20200104:0411,0.0,0.0,0.0,0.0,3.65,5.17,0.0
20200104:0511,0.0,0.0,0.0,0.0,3.3,5.24,0.0
20200104:0611,0.0,0.0,0.0,0.0,2.99,5.31,0.0
20200104:0711,0.0,0.0,0.0,0.0,2.9,5.24,0.0
20200104:0811,201.07,80.11,2.07,6.62,3.12,5.31,0.0
20200104:0911,19.76,70.09,2.2,11.39,3.74,5.72,0.0
20200104:1011,260.5,152.72,4.9,14.2,4.03,6.07,0.0
20200104:1111,0.0,66.46,2.1,14.81,4.28,6.41,0.0
20200104:1211,0.0,34.52,1.09,13.16,4.34,7.1,0.0
20200104:1311,28.2,60.83,1.91,9.4,3.79,7.31,0.0
20200104:1411,43.86,24.27,0.76,3.84,3.55,7.38,0.0
20200104:1511,0.0,0.0,0.0,0.0,3.3,7.59,0.0
20200104:1611,0.0,0.0,0.0,0.0,3.41,7.86,0.0
20200104:1711,0.0,0.0,0.0,0.0,3.16,7.52,0.0
20200104:1811,0.0,0.0,0.0,0.0,2.31,6.21,0.0
20200104:1911,0.0,0.0,0.0,0.0,2.09,6.34,0.0
20200104:2011,0.0,0.0,0.0,0.0,2.11,6.34,0.0
20200104:2111,0.0,0.0,0.0,0.0,1.95,6.48,0.0
20200104:2211,0.0,0.0,0.0,0.0,1.99,6.34,0.0
20200104:2311,0.0,0.0,0.0,0.0,1.6,5.52,0.0
20200105:0011,0.0,0.0,0.0,0.0,1.4,5.38,0.0
20200105:0111,0.0,0.0,0.0,0.0,1.09,5.1,0.0
20200105:0211,0.0,0.0,0.0,0.0,0.83,4.9,0.0
20200105:0311,0.0,0.0,0.0,0.0,0.53,4.55,0.0
20200105:0411,0.0,0.0,0.0,0.0,0.24,4.28,0.0
20200105:0511,0.0,0.0,0.0,0.0,-0.09,4.07,0.0
20200105:0611,0.0,0.0,0.0,0.0,-0.44,4.0,0.0
20200105:0711,0.0,0.0,0.0,0.0,-0.51,3.93,0.0
20200105:0811,335.9,85.15,2.48,6.68,-0.3,3.52,0.0
20200105:0911,475.21,121.78,4.76,11.47,0.45,3.38,0.0
20200105:1011,623.76,118.36,6.4,14.3,1.25,3.17,0.0
20200105:1111,597.76,131.1,6.64,14.92,1.99,3.31,0.0
20200105:1211,589.97,101.04,5.93,13.28,2.54,3.1,0.0
20200105:1311,346.57,102.39,3.7,9.53,2.63,2.69,0.0
20200105:1411,212.4,34.27,1.28,3.98,2.05,2.41,0.0
20200105:1511,0.0,0.0,0.0,0.0,0.75,2.48,0.0
20200105:1611,0.0,0.0,0.0,0.0,-0.23,2.48,0.0
20200105:1711,0.0,0.0,0.0,0.0,-0.88,2.48,0.0
20200105:1811,0.0,0.0,0.0,0.0,-1.28,2.41,0.0
20200105:1911,0.0,0.0,0.0,0.0,-1.38,2.41,0.0
20200105:2011,0.0,0.0,0.0,0.0,-1.45,2.41,0.0
20200105:2111,0.0,0.0,0.0,0.0,-1.28,2.41,0.0
20200105:2211,0.0,0.0,0.0,0.0,-0.87,2.48,0.0
20200105:2311,0.0,0.0,0.0,0.0,-0.36,2.62,0.0
20200106:0011,0.0,0.0,0.0,0.0,0.15,2.9,0.0
20200106:0111,0.0,0.0,0.0,0.0,0.56,3.24,0.0
20200106:0211,0.0,0.0,0.0,0.0,0.8,3.38,0.0
20200106:0311,0.0,0.0,0.0,0.0,1.05,3.38,0.0
20200106:0411,0.0,0.0,0.0,0.0,1.22,3.17,0.0
20200106:0511,0.0,0.0,0.0,0.0,1.34,2.97,0.0
20200106:0611,0.0,0.0,0.0,0.0,1.35,2.97,0.0
20200106:0711,0.0,0.0,0.0,0.0,1.68,3.31,0.0
20200106:0811,78.92,60.31,1.66,6.75,1.99,3.24,0.0
20200106:0911,0.0,12.95,0.41,11.55,2.66,3.24,0.0
20200106:1011,0.0,37.11,1.17,14.4,3.18,3.24,0.0
20200106:1111,0.0,38.84,1.22,15.04,3.67,2.69,0.0
20200106:1211,0.0,37.11,1.17,13.42,3.97,2.62,0.0
20200106:1311,0.0,25.03,0.79,9.67,3.84,2.9,0.0
20200106:1411,0.0,6.9,0.22,4.13,3.65,2.76,0.0
20200106:1511,0.0,0.0,0.0,0.0,3.38,2.62,0.0
20200106:1611,0.0,0.0,0.0,0.0,3.28,2.55,0.0
20200106:1711,0.0,0.0,0.0,0.0,3.21,2.55,0.0
20200106:1811,0.0,0.0,0.0,0.0,3.1,2.55,0.0
20200106:1911,0.0,0.0,0.0,0.0,2.8,2.76,0.0
20200106:2011,0.0,0.0,0.0,0.0,2.57,2.55,0.0
20200106:2111,0.0,0.0,0.0,0.0,2.25,2.48,0.0
20200106:2211,0.0,0.0,0.0,0.0,2.04,2.48,0.0
20200106:2311,0.0,0.0,0.0,0.0,1.9,2.48,0.0
20200107:0011,0.0,0.0,0.0,0.0,1.68,2.41,0.0
20200107:0111,0.0,0.0,0.0,0.0,1.43,2.28,0.0
