Latitude (decimal degrees):	50.466
Longitude (decimal degrees):	23.392
Elevation (m):	275
Radiation database:	PVGIS-SARAH2


Slope: 41 deg. (optimum)
Azimuth: -7 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,2.47,5.93,0.0
20200101:0110,0.0,0.0,0.0,0.0,2.11,5.79,0.0
20200101:0210,0.0,0.0,0.0,0.0,1.67,5.45,0.0
20200101:0310,0.0,0.0,0.0,0.0,1.33,5.17,0.0
20200101:0410,0.0,0.0,0.0,0.0,1.12,4.83,0.0
20200101:0510,0.0,0.0,0.0,0.0,0.86,4.41,0.0
20200101:0610,0.0,0.0,0.0,0.0,0.47,4.0,0.0
20200101:0710,59.81,35.05,0.93,4.43,0.0,3.66,0.0
20200101:0810,76.26,88.71,2.46,10.37,0.19,3.17,0.0
20200101:0910,58.63,112.59,3.26,14.48,1.01,4.83,0.0
20200101:1010,0.0,68.16,1.96,16.41,1.57,4.76,0.0
20200101:1110,0.0,42.82,1.23,15.97,2.01,4.34,0.0
20200101:1210,0.0,27.96,0.8,13.2,2.34,3.93,0.0
20200101:1310,4.01,40.94,1.18,8.38,2.28,3.72,0.0
20200101:1410,0.0,0.0,0.0,0.0,1.93,3.45,0.0
20200101:1510,0.0,0.0,0.0,0.0,1.17,3.45,0.0
20200101:1610,0.0,0.0,0.0,0.0,0.72,3.52,0.0
20200101:1710,0.0,0.0,0.0,0.0,0.58,3.72,0.0
20200101:1810,0.0,0.0,0.0,0.0,0.42,3.93,0.0
20200101:1910,0.0,0.0,0.0,0.0,0.61,3.72,0.0
20200101:2010,0.0,0.0,0.0,0.0,0.61,4.0,0.0
20200101:2110,0.0,0.0,0.0,0.0,0.47,4.07,0.0
20200101:2210,0.0,0.0,0.0,0.0,0.2,4.07,0.0
20200101:2310,0.0,0.0,0.0,0.0,0.0,4.07,0.0
20200102:0010,0.0,0.0,0.0,0.0,-0.23,4.07,0.0
20200102:0110,0.0,0.0,0.0,0.0,-0.15,4.14,0.0
20200102:0210,0.0,0.0,0.0,0.0,-0.2,4.0,0.0
20200102:0310,0.0,0.0,0.0,0.0,-0.58,3.59,0.0
20200102:0410,0.0,0.0,0.0,0.0,-0.9,3.31,0.0
20200102:0510,0.0,0.0,0.0,0.0,-1.25,3.17,0.0
20200102:0610,0.0,0.0,0.0,0.0,-1.37,3.31,0.0
20200102:0710,14.85,24.88,0.7,4.45,-0.9,3.72,0.0
20200102:0810,39.97,76.29,2.16,10.41,-0.42,3.59,0.0
20200102:0910,38.94,105.68,3.06,14.54,0.36,3.72,0.0
20200102:1010,179.16,164.49,4.89,16.49,1.49,4.0,0.0
20200102:1110,215.82,164.82,5.02,16.06,2.42,4.0,0.0
20200102:1210,79.11,112.87,3.29,13.31,2.86,3.59,0.0
20200102:1310,63.42,70.91,1.98,8.5,2.97,3.86,0.0
20200102:1410,0.0,0.0,0.0,0.0,2.65,3.52,0.0
20200102:1510,0.0,0.0,0.0,0.0,1.86,3.38,0.0
20200102:1610,0.0,0.0,0.0,0.0,1.42,3.52,0.0
20200102:1710,0.0,0.0,0.0,0.0,1.1,3.52,0.0
