Latitude (decimal degrees):	51.116
Longitude (decimal degrees):	17.001
Elevation (m):	119
Radiation database:	PVGIS-SARAH2


Slope: 44 deg. (optimum)
Azimuth: -4 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,3.78,4.34,0.0
20200101:0110,0.0,0.0,0.0,0.0,3.19,4.0,0.0
20200101:0210,0.0,0.0,0.0,0.0,3.13,3.79,0.0
20200101:0310,0.0,0.0,0.0,0.0,2.91,3.72,0.0
20200101:0410,0.0,0.0,0.0,0.0,2.8,3.72,0.0
20200101:0510,0.0,0.0,0.0,0.0,2.73,3.45,0.0
20200101:0610,0.0,0.0,0.0,0.0,2.5,3.1,0.0
20200101:0710,0.0,0.0,0.0,0.0,2.13,3.31,0.0
20200101:0810,350.1,87.42,2.92,7.53,2.4,3.93,0.0
20200101:0910,499.56,120.84,5.36,12.39,2.69,4.14,0.0
20200101:1010,357.69,165.77,5.95,15.23,2.91,4.28,0.0
20200101:1110,9.47,86.97,2.86,15.8,3.28,4.28,0.0
20200101:1210,79.36,114.97,3.76,14.03,3.48,4.14,0.0
20200101:1310,160.45,103.47,3.23,10.1,3.62,4.07,0.0
20200101:1410,103.28,35.7,1.12,4.34,3.49,3.31,0.0
20200101:1510,0.0,0.0,0.0,0.0,2.63,2.62,0.0
20200101:1610,0.0,0.0,0.0,0.0,1.77,2.48,0.0
20200101:1710,0.0,0.0,0.0,0.0,0.92,2.34,0.0
20200101:1810,0.0,0.0,0.0,0.0,0.18,2.07,0.0
20200101:1910,0.0,0.0,0.0,0.0,0.19,2.55,0.0
20200101:2010,0.0,0.0,0.0,0.0,-0.43,2.28,0.0
20200101:2110,0.0,0.0,0.0,0.0,-1.23,1.86,0.0
20200101:2210,0.0,0.0,0.0,0.0,-2.13,1.38,0.0
20200101:2310,0.0,0.0,0.0,0.0,-3.08,1.59,0.0
20200102:0010,0.0,0.0,0.0,0.0,-3.61,1.93,0.0
20200102:0110,0.0,0.0,0.0,0.0,-3.72,2.0,0.0
20200102:0210,0.0,0.0,0.0,0.0,-3.67,2.14,0.0
20200102:0310,0.0,0.0,0.0,0.0,-3.45,2.28,0.0
20200102:0410,0.0,0.0,0.0,0.0,-3.13,2.48,0.0
20200102:0510,0.0,0.0,0.0,0.0,-2.81,2.41,0.0
