Latitude (decimal degrees):	49.299
Longitude (decimal degrees):	19.956
Elevation (m):	834
Radiation database:	PVGIS-SARAH2


Slope: 39 deg. (optimum)
Azimuth: -15 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,-2.88,2.48,0.0
20200101:0110,0.0,0.0,0.0,0.0,-3.15,2.48,0.0
20200101:0210,0.0,0.0,0.0,0.0,-3.37,2.28,0.0
20200101:0310,0.0,0.0,0.0,0.0,-4.06,2.07,0.0
20200101:0410,0.0,0.0,0.0,0.0,-4.47,1.93,0.0
20200101:0510,0.0,0.0,0.0,0.0,-4.57,1.86,0.0
20200101:0610,0.0,0.0,0.0,0.0,-5.43,1.66,0.0
20200101:0710,0.0,15.7,0.42,3.63,-5.52,1.66,0.0
20200101:0810,61.1,84.08,2.04,10.1,-5.81,1.45,0.0
20200101:0910,34.49,106.82,2.71,14.8,-4.56,1.79,0.0
20200101:1010,130.56,161.14,4.24,17.32,-3.83,1.93,0.0
20200101:1110,76.65,145.96,3.81,17.44,-3.48,2.0,0.0
20200101:1210,0.0,59.53,1.49,15.13,-3.4,2.0,0.0
20200101:1310,101.67,96.04,2.55,10.62,-3.46,2.0,0.0
20200101:1410,0.0,15.7,0.42,4.29,-4.2,1.59,0.0
20200101:1510,0.0,0.0,0.0,0.0,-5.48,1.52,0.0
20200101:1610,0.0,0.0,0.0,0.0,-6.85,1.45,0.0
20200101:1710,0.0,0.0,0.0,0.0,-7.29,1.52,0.0
20200101:1810,0.0,0.0,0.0,0.0,-7.72,1.52,0.0
20200101:1910,0.0,0.0,0.0,0.0,-7.68,1.66,0.0
20200101:2010,0.0,0.0,0.0,0.0,-7.91,1.66,0.0
20200101:2110,0.0,0.0,0.0,0.0,-7.41,1.66,0.0
20200101:2210,0.0,0.0,0.0,0.0,-6.71,1.59,0.0
20200101:2310,0.0,0.0,0.0,0.0,-6.34,1.59,0.0
20200102:0010,0.0,0.0,0.0,0.0,-6.56,1.72,0.0
20200102:0110,0.0,0.0,0.0,0.0,-7.03,1.79,0.0
20200102:0210,0.0,0.0,0.0,0.0,-6.58,1.79,0.0
20200102:0310,0.0,0.0,0.0,0.0,-6.38,1.79,0.0
20200102:0410,0.0,0.0,0.0,0.0,-6.63,1.86,0.0
20200102:0510,0.0,0.0,0.0,0.0,-5.85,1.86,0.0
20200102:0610,0.0,0.0,0.0,0.0,-4.07,1.66,0.0
20200102:0710,0.0,19.83,0.53,3.65,-4.69,1.59,0.0
20200102:0810,28.41,72.72,1.8,10.14,-4.13,1.52,0.0
20200102:0910,65.63,125.47,3.17,14.85,-2.33,1.52,0.0
20200102:1010,33.23,129.73,3.3,17.4,-0.03,1.52,0.0
20200102:1110,73.75,150.2,3.9,17.53,1.82,1.38,0.0
20200102:1210,7.99,91.33,2.31,15.23,2.51,1.31,0.0
20200102:1310,11.87,67.36,1.71,10.74,2.33,1.31,0.0
20200102:1410,0.0,4.13,0.11,4.42,1.8,1.38,0.0
20200102:1510,0.0,0.0,0.0,0.0,1.17,1.45,0.0
20200102:1610,0.0,0.0,0.0,0.0,0.44,1.45,0.0
20200102:1710,0.0,0.0,0.0,0.0,-0.23,1.45,0.0
20200102:1810,0.0,0.0,0.0,0.0,-1.04,1.52,0.0
20200102:1910,0.0,0.0,0.0,0.0,-4.15,1.66,0.0
20200102:2010,0.0,0.0,0.0,0.0,-4.72,1.72,0.0
20200102:2110,0.0,0.0,0.0,0.0,-5.38,1.79,0.0
20200102:2210,0.0,0.0,0.0,0.0,-5.87,1.86,0.0
20200102:2310,0.0,0.0,0.0,0.0,-6.46,2.0,0.0
20200103:0010,0.0,0.0,0.0,0.0,-6.25,2.0,0.0
20200103:0110,0.0,0.0,0.0,0.0,-5.29,2.0,0.0
20200103:0210,0.0,0.0,0.0,0.0,-4.86,2.0,0.0
20200103:0310,0.0,0.0,0.0,0.0,-5.15,2.0,0.0
20200103:0410,0.0,0.0,0.0,0.0,-5.44,2.07,0.0
20200103:0510,0.0,0.0,0.0,0.0,-5.88,2.07,0.0
20200103:0610,0.0,0.0,0.0,0.0,-6.59,2.07,0.0
20200103:0710,0.0,18.18,0.49,3.67,-9.86,2.21,0.0
20200103:0810,129.33,103.86,2.46,10.18,-9.45,2.07,0.0
20200103:0910,84.09,130.15,3.3,14.92,-6.85,1.93,0.0
20200103:1010,218.0,180.12,4.9,17.48,-4.31,1.93,0.0
20200103:1110,149.55,169.12,4.55,17.63,-3.53,2.07,0.0
20200103:1210,0.0,63.97,1.6,15.35,-3.14,2.0,0.0
20200103:1310,0.0,39.09,0.98,10.86,-3.44,1.93,0.0
20200103:1410,0.0,21.49,0.58,4.55,-4.22,2.0,0.0
20200103:1510,0.0,0.0,0.0,0.0,-5.3,2.07,0.0
20200103:1610,0.0,0.0,0.0,0.0,-5.86,2.14,0.0
20200103:1710,0.0,0.0,0.0,0.0,-6.31,2.14,0.0
20200103:1810,0.0,0.0,0.0,0.0,-6.49,2.21,0.0
20200103:1910,0.0,0.0,0.0,0.0,-7.65,2.41,0.0
20200103:2010,0.0,0.0,0.0,0.0,-7.5,2.48,0.0
20200103:2110,0.0,0.0,0.0,0.0,-6.65,2.62,0.0
20200103:2210,0.0,0.0,0.0,0.0,-5.59,2.69,0.0
20200103:2310,0.0,0.0,0.0,0.0,-5.46,2.48,0.0
20200104:0010,0.0,0.0,0.0,0.0,-5.3,2.41,0.0
20200104:0110,0.0,0.0,0.0,0.0,-5.09,2.48,0.0
20200104:0210,0.0,0.0,0.0,0.0,-4.74,2.62,0.0
20200104:0310,0.0,0.0,0.0,0.0,-4.22,2.62,0.0
20200104:0410,0.0,0.0,0.0,0.0,-3.83,2.41,0.0
20200104:0510,0.0,0.0,0.0,0.0,-3.3,2.28,0.0
20200104:0610,0.0,0.0,0.0,0.0,-3.18,2.14,0.0
20200104:0710,0.0,16.53,0.44,3.71,-3.02,2.07,0.0
20200104:0810,4.02,54.1,1.35,10.23,-2.63,1.93,0.0
20200104:0910,0.0,73.74,1.84,14.99,-2.28,2.62,0.0
20200104:1010,0.0,31.98,0.8,17.57,-2.43,2.55,0.0
20200104:1110,0.0,53.31,1.33,17.74,-2.69,2.69,0.0
20200104:1210,28.99,108.63,2.79,15.47,-3.11,2.62,0.0
20200104:1310,23.36,75.37,1.93,10.99,-3.46,2.9,0.0
20200104:1410,0.0,20.66,0.55,4.69,-4.0,2.34,0.0
20200104:1510,0.0,0.0,0.0,0.0,-4.61,2.14,0.0
20200104:1610,0.0,0.0,0.0,0.0,-4.9,2.21,0.0
20200104:1710,0.0,0.0,0.0,0.0,-5.05,2.41,0.0
20200104:1810,0.0,0.0,0.0,0.0,-5.13,2.62,0.0
20200104:1910,0.0,0.0,0.0,0.0,-4.65,2.9,0.0
20200104:2010,0.0,0.0,0.0,0.0,-4.76,3.03,0.0
20200104:2110,0.0,0.0,0.0,0.0,-4.67,3.72,0.0
20200104:2210,0.0,0.0,0.0,0.0,-5.21,3.66,0.0
20200104:2310,0.0,0.0,0.0,0.0,-6.28,2.97,0.0
20200105:0010,0.0,0.0,0.0,0.0,-6.73,2.83,0.0
20200105:0110,0.0,0.0,0.0,0.0,-7.79,3.24,0.0
20200105:0210,0.0,0.0,0.0,0.0,-8.24,2.48,0.0
20200105:0310,0.0,0.0,0.0,0.0,-8.06,3.1,0.0
20200105:0410,0.0,0.0,0.0,0.0,-8.17,3.52,0.0
20200105:0510,0.0,0.0,0.0,0.0,-8.3,4.14,0.0
20200105:0610,0.0,0.0,0.0,0.0,-8.52,4.55,0.0
20200105:0710,0.0,19.83,0.53,3.75,-9.59,2.55,0.0
20200105:0810,40.0,78.45,1.93,10.29,-9.49,2.69,0.0
20200105:0910,3.09,76.07,1.91,15.06,-9.05,3.03,0.0
20200105:1010,0.0,77.3,1.93,17.67,-8.82,3.52,0.0
20200105:1110,0.0,41.76,1.04,17.86,-8.52,3.24,0.0
20200105:1210,0.0,24.88,0.62,15.6,-8.46,3.31,0.0
20200105:1310,0.0,13.33,0.33,11.13,-8.45,3.31,0.0
20200105:1410,0.0,4.13,0.11,4.83,-8.72,2.83,0.0
20200105:1510,0.0,0.0,0.0,0.0,-9.15,2.34,0.0
20200105:1610,0.0,0.0,0.0,0.0,-9.4,2.14,0.0
20200105:1710,0.0,0.0,0.0,0.0,-9.99,1.86,0.0
20200105:1810,0.0,0.0,0.0,0.0,-10.74,1.72,0.0
20200105:1910,0.0,0.0,0.0,0.0,-11.43,1.52,0.0
20200105:2010,0.0,0.0,0.0,0.0,-11.89,1.31,0.0
20200105:2110,0.0,0.0,0.0,0.0,-12.04,1.17,0.0
20200105:2210,0.0,0.0,0.0,0.0,-11.55,1.03,0.0
20200105:2310,0.0,0.0,0.0,0.0,-11.47,1.1,0.0
20200106:0010,0.0,0.0,0.0,0.0,-11.45,1.17,0.0
20200106:0110,0.0,0.0,0.0,0.0,-10.54,1.24,0.0
20200106:0210,0.0,0.0,0.0,0.0,-10.72,1.1,0.0
