Latitude (decimal degrees):	51.961
Longitude (decimal degrees):	15.523
Elevation (m):	118
Radiation database:	PVGIS-SARAH2


Slope: 43 deg. (optimum)
Azimuth: -8 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,2.52,3.24,0.0
20200101:0110,0.0,0.0,0.0,0.0,2.34,3.1,0.0
20200101:0210,0.0,0.0,0.0,0.0,2.31,3.03,0.0
20200101:0310,0.0,0.0,0.0,0.0,2.25,3.03,0.0
20200101:0410,0.0,0.0,0.0,0.0,2.36,2.9,0.0
20200101:0510,0.0,0.0,0.0,0.0,2.4,2.83,0.0
20200101:0610,0.0,0.0,0.0,0.0,2.43,2.9,0.0
20200101:0710,0.0,0.0,0.0,0.0,2.42,3.52,0.0
20200101:0810,42.3,46.54,1.31,6.3,2.47,3.59,0.0
20200101:0910,4.0,54.4,1.69,11.24,2.7,3.59,0.0
20200101:1010,0.0,66.62,2.06,14.22,2.96,3.66,0.0
20200101:1110,0.0,49.32,1.53,15.0,3.15,3.59,0.0
20200101:1210,0.0,51.05,1.58,13.49,3.38,3.52,0.0
20200101:1310,34.34,68.8,2.12,9.84,3.5,3.52,0.0
20200101:1410,171.69,39.17,1.31,4.35,3.43,3.31,0.0
20200101:1510,0.0,0.0,0.0,0.0,2.7,2.83,0.0
20200101:1610,0.0,0.0,0.0,0.0,2.01,2.9,0.0
20200101:1710,0.0,0.0,0.0,0.0,1.43,2.9,0.0
20200101:1810,0.0,0.0,0.0,0.0,0.98,2.76,0.0
20200101:1910,0.0,0.0,0.0,0.0,1.44,3.03,0.0
20200101:2010,0.0,0.0,0.0,0.0,1.07,2.9,0.0
20200101:2110,0.0,0.0,0.0,0.0,0.67,2.76,0.0
20200101:2210,0.0,0.0,0.0,0.0,0.26,2.62,0.0
20200101:2310,0.0,0.0,0.0,0.0,-0.1,2.41,0.0
20200102:0010,0.0,0.0,0.0,0.0,-0.69,2.14,0.0
20200102:0110,0.0,0.0,0.0,0.0,-1.51,2.07,0.0
20200102:0210,0.0,0.0,0.0,0.0,-2.04,2.21,0.0
20200102:0310,0.0,0.0,0.0,0.0,-1.96,2.55,0.0
20200102:0410,0.0,0.0,0.0,0.0,-1.51,2.83,0.0
20200102:0510,0.0,0.0,0.0,0.0,-1.13,2.9,0.0
20200102:0610,0.0,0.0,0.0,0.0,-0.85,2.83,0.0
20200102:0710,0.0,0.0,0.0,0.0,-0.7,3.1,0.0
20200102:0810,234.27,85.76,2.09,6.34,-0.2,3.1,0.0
20200102:0910,247.03,131.85,3.86,11.29,1.29,2.9,0.0
20200102:1010,397.82,161.63,5.58,14.29,2.99,2.55,0.0
20200102:1110,418.28,165.42,6.0,15.09,4.34,2.34,0.0
20200102:1210,210.8,143.97,4.53,13.6,5.0,2.48,0.0
20200102:1310,60.51,80.22,2.44,9.96,4.8,2.48,0.0
20200102:1410,12.42,22.36,0.7,4.48,3.74,2.62,0.0
20200102:1510,0.0,0.0,0.0,0.0,2.07,2.76,0.0
20200102:1610,0.0,0.0,0.0,0.0,1.07,2.69,0.0
20200102:1710,0.0,0.0,0.0,0.0,0.53,2.83,0.0
20200102:1810,0.0,0.0,0.0,0.0,0.3,2.97,0.0
20200102:1910,0.0,0.0,0.0,0.0,0.82,3.38,0.0
20200102:2010,0.0,0.0,0.0,0.0,0.73,3.45,0.0
20200102:2110,0.0,0.0,0.0,0.0,0.59,3.38,0.0
20200102:2210,0.0,0.0,0.0,0.0,0.49,3.38,0.0
20200102:2310,0.0,0.0,0.0,0.0,0.39,3.38,0.0
20200103:0010,0.0,0.0,0.0,0.0,0.44,3.31,0.0
20200103:0110,0.0,0.0,0.0,0.0,0.48,3.1,0.0
20200103:0210,0.0,0.0,0.0,0.0,0.61,3.1,0.0
20200103:0310,0.0,0.0,0.0,0.0,0.56,3.17,0.0
20200103:0410,0.0,0.0,0.0,0.0,0.82,3.31,0.0
20200103:0510,0.0,0.0,0.0,0.0,1.13,3.38,0.0
20200103:0610,0.0,0.0,0.0,0.0,1.19,3.38,0.0
20200103:0710,0.0,0.0,0.0,0.0,0.67,3.52,0.0
20200103:0810,268.42,80.95,2.12,6.38,1.09,3.72,0.0
20200103:0910,47.57,83.65,2.55,11.35,2.39,3.93,0.0
20200103:1010,132.0,131.97,4.07,14.37,3.82,3.59,0.0
20200103:1110,0.0,67.49,2.09,15.18,4.75,4.14,0.0
20200103:1210,19.64,84.82,2.65,13.71,5.41,4.69,0.0
20200103:1310,29.98,67.56,2.09,10.08,5.62,4.62,0.0
20200103:1410,0.0,9.52,0.29,4.61,5.65,4.55,0.0
20200103:1510,0.0,0.0,0.0,0.0,5.62,4.55,0.0
20200103:1610,0.0,0.0,0.0,0.0,5.79,4.55,0.0
20200103:1710,0.0,0.0,0.0,0.0,5.85,4.55,0.0
20200103:1810,0.0,0.0,0.0,0.0,6.0,4.55,0.0
20200103:1910,0.0,0.0,0.0,0.0,6.3,5.24,0.0
20200103:2010,0.0,0.0,0.0,0.0,6.44,5.45,0.0
20200103:2110,0.0,0.0,0.0,0.0,6.51,5.59,0.0
20200103:2210,0.0,0.0,0.0,0.0,6.48,5.66,0.0
20200103:2310,0.0,0.0,0.0,0.0,6.54,5.31,0.0
20200104:0010,0.0,0.0,0.0,0.0,6.61,5.31,0.0
20200104:0110,0.0,0.0,0.0,0.0,6.17,5.45,0.0
20200104:0210,0.0,0.0,0.0,0.0,5.24,5.03,0.0
20200104:0310,0.0,0.0,0.0,0.0,4.14,4.97,0.0
20200104:0410,0.0,0.0,0.0,0.0,3.41,4.83,0.0
20200104:0510,0.0,0.0,0.0,0.0,3.2,4.9,0.0
20200104:0610,0.0,0.0,0.0,0.0,3.27,4.9,0.0
20200104:0710,0.0,0.0,0.0,0.0,3.63,4.9,0.0
20200104:0810,0.0,10.38,0.32,6.43,3.87,5.17,0.0
20200104:0910,220.79,123.19,3.67,11.42,4.06,5.66,0.0
20200104:1010,107.77,127.73,3.94,14.46,4.44,6.21,0.0
20200104:1110,0.0,38.07,1.18,15.29,4.65,5.72,0.0
20200104:1210,0.0,31.15,0.97,13.83,4.44,6.76,0.0
20200104:1310,59.37,79.51,2.44,10.21,3.98,6.9,0.0
20200104:1410,0.0,16.44,0.51,4.74,3.55,6.97,0.0
20200104:1510,0.0,0.0,0.0,0.0,3.47,7.17,0.0
20200104:1610,0.0,0.0,0.0,0.0,3.7,7.31,0.0
20200104:1710,0.0,0.0,0.0,0.0,3.32,6.76,0.0
20200104:1810,0.0,0.0,0.0,0.0,2.79,5.79,0.0
20200104:1910,0.0,0.0,0.0,0.0,2.86,5.93,0.0
20200104:2010,0.0,0.0,0.0,0.0,2.62,6.0,0.0
20200104:2110,0.0,0.0,0.0,0.0,2.22,6.0,0.0
20200104:2210,0.0,0.0,0.0,0.0,1.98,6.0,0.0
20200104:2310,0.0,0.0,0.0,0.0,1.88,5.66,0.0
20200105:0010,0.0,0.0,0.0,0.0,1.51,5.17,0.0
20200105:0110,0.0,0.0,0.0,0.0,1.23,4.83,0.0
20200105:0210,0.0,0.0,0.0,0.0,0.86,4.55,0.0
20200105:0310,0.0,0.0,0.0,0.0,0.41,4.34,0.0
20200105:0410,0.0,0.0,0.0,0.0,0.15,4.28,0.0
20200105:0510,0.0,0.0,0.0,0.0,-0.06,4.07,0.0
20200105:0610,0.0,0.0,0.0,0.0,-0.39,3.79,0.0
20200105:0710,0.0,0.0,0.0,0.0,-0.62,3.45,0.0
20200105:0810,316.68,83.79,2.31,6.48,-0.58,3.1,0.0
20200105:0910,493.8,119.88,4.77,11.49,0.19,2.62,0.0
20200105:1010,619.72,120.82,6.41,14.55,1.13,2.83,0.0
20200105:1110,424.44,164.6,6.11,15.4,1.87,2.9,0.0
20200105:1210,319.87,151.07,5.17,13.95,2.32,2.97,0.0
20200105:1310,437.1,90.28,4.26,10.34,2.45,3.03,0.0
20200105:1410,190.27,46.7,1.55,4.88,2.03,2.41,0.0
20200105:1510,0.0,0.0,0.0,0.0,1.09,2.21,0.0
20200105:1610,0.0,0.0,0.0,0.0,0.1,2.21,0.0
20200105:1710,0.0,0.0,0.0,0.0,-0.23,2.21,0.0
20200105:1810,0.0,0.0,0.0,0.0,-0.29,2.21,0.0
20200105:1910,0.0,0.0,0.0,0.0,0.2,2.07,0.0
20200105:2010,0.0,0.0,0.0,0.0,0.38,2.28,0.0
20200105:2110,0.0,0.0,0.0,0.0,0.68,2.55,0.0
20200105:2210,0.0,0.0,0.0,0.0,0.81,2.76,0.0
20200105:2310,0.0,0.0,0.0,0.0,1.06,2.83,0.0
20200106:0010,0.0,0.0,0.0,0.0,1.21,2.76,0.0
20200106:0110,0.0,0.0,0.0,0.0,1.44,2.9,0.0
20200106:0210,0.0,0.0,0.0,0.0,1.78,2.9,0.0
20200106:0310,0.0,0.0,0.0,0.0,2.08,2.83,0.0
20200106:0410,0.0,0.0,0.0,0.0,2.33,2.69,0.0
20200106:0510,0.0,0.0,0.0,0.0,2.33,2.55,0.0
20200106:0610,0.0,0.0,0.0,0.0,2.27,2.55,0.0
20200106:0710,0.0,0.0,0.0,0.0,2.68,3.17,0.0
20200106:0810,23.23,41.71,1.23,6.55,2.9,3.24,0.0
20200106:0910,35.04,80.34,2.47,11.57,3.37,3.1,0.0
20200106:1010,0.0,28.55,0.88,14.65,3.82,2.69,0.0
20200106:1110,0.0,37.2,1.15,15.52,4.45,2.9,0.0
20200106:1210,0.0,39.8,1.23,14.08,4.68,2.62,0.0
20200106:1310,0.0,46.72,1.45,10.49,4.98,2.55,0.0
20200106:1410,0.0,13.84,0.43,5.03,4.75,2.34,0.0
20200106:1510,0.0,0.0,0.0,0.0,4.22,2.21,0.0
20200106:1610,0.0,0.0,0.0,0.0,3.53,2.21,0.0
20200106:1710,0.0,0.0,0.0,0.0,3.32,2.34,0.0
20200106:1810,0.0,0.0,0.0,0.0,3.17,2.41,0.0
20200106:1910,0.0,0.0,0.0,0.0,3.3,2.76,0.0
20200106:2010,0.0,0.0,0.0,0.0,2.98,2.69,0.0
20200106:2110,0.0,0.0,0.0,0.0,2.63,2.62,0.0
20200106:2210,0.0,0.0,0.0,0.0,2.19,2.48,0.0
20200106:2310,0.0,0.0,0.0,0.0,1.65,2.41,0.0
20200107:0010,0.0,0.0,0.0,0.0,1.37,2.34,0.0
20200107:0110,0.0,0.0,0.0,0.0,0.72,2.34,0.0
20200107:0210,0.0,0.0,0.0,0.0,0.19,2.34,0.0
20200107:0310,0.0,0.0,0.0,0.0,-0.35,2.34,0.0
20200107:0410,0.0,0.0,0.0,0.0,-0.75,2.28,0.0
20200107:0510,0.0,0.0,0.0,0.0,-0.93,2.21,0.0
20200107:0610,0.0,0.0,0.0,0.0,-1.1,2.21,0.0
20200107:0710,0.0,0.0,0.0,0.0,-0.82,2.55,0.0
20200107:0810,321.7,80.76,2.33,6.62,-0.31,2.76,0.0
20200107:0910,518.09,105.66,4.8,11.66,0.94,2.9,0.0
20200107:1010,539.59,137.07,6.17,14.76,2.13,3.31,0.0
20200107:1110,100.13,132.99,4.18,15.64,3.15,3.38,0.0
20200107:1210,0.0,46.72,1.45,14.22,3.72,3.31,0.0
20200107:1310,0.0,35.47,1.1,10.63,3.8,2.97,0.0
20200107:1410,0.0,18.17,0.56,5.19,3.6,3.03,0.0
20200107:1510,0.0,0.0,0.0,0.0,3.57,2.97,0.0
20200107:1610,0.0,0.0,0.0,0.0,3.53,2.76,0.0
20200107:1710,0.0,0.0,0.0,0.0,3.58,2.69,0.0
20200107:1810,0.0,0.0,0.0,0.0,3.66,2.83,0.0
20200107:1910,0.0,0.0,0.0,0.0,3.46,2.69,0.0
20200107:2010,0.0,0.0,0.0,0.0,3.66,2.83,0.0
20200107:2110,0.0,0.0,0.0,0.0,3.82,2.69,0.0
20200107:2210,0.0,0.0,0.0,0.0,3.73,2.62,0.0
20200107:2310,0.0,0.0,0.0,0.0,3.52,3.03,0.0
20200108:0010,0.0,0.0,0.0,0.0,3.13,3.24,0.0
20200108:0110,0.0,0.0,0.0,0.0,2.88,3.24,0.0
20200108:0210,0.0,0.0,0.0,0.0,2.57,3.52,0.0
20200108:0310,0.0,0.0,0.0,0.0,2.31,3.66,0.0
20200108:0410,0.0,0.0,0.0,0.0,2.13,3.79,0.0
20200108:0510,0.0,0.0,0.0,0.0,2.33,4.0,0.0
20200108:0610,0.0,0.0,0.0,0.0,2.8,4.07,0.0
20200108:0710,0.0,0.0,0.0,0.0,3.69,4.14,0.0
20200108:0810,0.0,6.06,0.19,6.7,4.08,4.14,0.0
20200108:0910,23.03,70.79,2.2,11.76,4.43,4.48,0.0
20200108:1010,0.0,24.23,0.75,14.88,4.73,4.55,0.0
20200108:1110,0.0,21.63,0.67,15.77,4.99,4.69,0.0
20200108:1210,0.0,32.01,0.99,14.37,5.38,4.69,0.0
20200108:1310,0.0,42.4,1.31,10.79,5.71,4.69,0.0
20200108:1410,0.0,17.3,0.54,5.35,5.97,4.55,0.0
20200108:1510,0.0,0.0,0.0,0.0,6.11,4.41,0.0
20200108:1610,0.0,0.0,0.0,0.0,6.2,4.34,0.0
20200108:1710,0.0,0.0,0.0,0.0,6.42,4.21,0.0
20200108:1810,0.0,0.0,0.0,0.0,6.65,4.0,0.0
20200108:1910,0.0,0.0,0.0,0.0,6.59,3.79,0.0
20200108:2010,0.0,0.0,0.0,0.0,6.67,3.72,0.0
20200108:2110,0.0,0.0,0.0,0.0,6.72,3.59,0.0
20200108:2210,0.0,0.0,0.0,0.0,6.75,3.38,0.0
20200108:2310,0.0,0.0,0.0,0.0,6.75,3.17,0.0
20200109:0010,0.0,0.0,0.0,0.0,6.74,2.83,0.0
20200109:0110,0.0,0.0,0.0,0.0,6.67,2.69,0.0
20200109:0210,0.0,0.0,0.0,0.0,6.64,2.69,0.0
20200109:0310,0.0,0.0,0.0,0.0,6.63,2.55,0.0
20200109:0410,0.0,0.0,0.0,0.0,6.61,2.34,0.0
20200109:0510,0.0,0.0,0.0,0.0,6.61,2.34,0.0
20200109:0610,0.0,0.0,0.0,0.0,6.62,2.41,0.0
20200109:0710,0.0,0.0,0.0,0.0,6.67,2.48,0.0
20200109:0810,106.55,64.29,1.72,6.78,6.81,2.55,0.0
