Data;Godzina;Krajowe zapotrzebowanie na moc;Sumaryczna generacja JWCD;Generacja PI;Generacja IRZ;Sumaryczna generacja nJWCD;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej
2020-01-01;1;14602,075;6759,338;-13,300;76,887;8185,025;-770,088;451,263
2020-01-01;2;14053,125;6417,150;-12,863;75,700;7933,488;-732,563;451,288
2020-01-01;3;13563,775;6193,225;-13,838;76,750;7963,450;-1017,200;439,563
2020-01-01;4;13111,763;5836,988;-32,625;77,238;7869,338;-880,213;320,613
2020-01-01;5;12942,725;5735,763;-157,725;76,962;7770,013;-749,300;348,625
2020-01-01;6;12969,750;5731,725;-251,575;77,150;7824,513;-678,000;347,900
2020-01-01;7;13124,850;5786,038;-375,188;78,987;7813,788;-464,313;368,638
2020-01-01;8;13035,925;5974,300;-423,538;78,813;7641,313;-682,813;533,188
2020-01-01;9;12978,088;5752,813;-424,013;75,588;7688,488;-567,688;534,163
2020-01-01;10;13482,563;6007,438;-363,625;76,163;7778,975;-470,338;533,675
2020-01-01;11;14094,813;6015,863;-205,075;74,337;7941,950;-197,950;545,538
2020-01-01;12;14645,188;5998,125;-131,325;75,588;8167,050;-87,925;701,213
2020-01-01;13;15126,638;5943,300;-9,200;79,887;8281,313;122,313;787,550
2020-01-01;14;15676,050;6221,275;-9,425;75,762;8391,913;196,413;876,675
2020-01-01;15;15778,700;6377,725;136,488;78,600;8382,813;188,500;838,025
2020-01-01;16;15864,663;5951,000;62,963;78,087;8380,188;557,563;983,425
2020-01-01;17;17042,988;6856,213;272,500;76,688;8510,250;544,800;1139,738
2020-01-01;18;17353,363;7742,813;399,538;75,312;8809,413;-334,100;1143,475
2020-01-01;19;17432,138;7752,100;356,813;74,088;8933,613;-388,225;1144,013
2020-01-01;20;17496,413;8018,050;314,400;76,000;8768,175;-423,400;1144,100
2020-01-01;21;17222,500;7670,088;198,250;75,275;8499,350;-38,563;1102,650
2020-01-01;22;16506,925;7172,138;28,200;76,362;8335,025;150,300;862,325
2020-01-01;23;15782,588;7183,763;-9,400;75,975;8154,238;-98,638;560,563
2020-01-01;24;14801,138;6792,925;-11,613;75,725;8044,788;-405,513;385,313
2020-01-02;1;13978,000;7241,300;-336,100;73,188;7895,300;-1142,963;329,675
2020-01-02;2;13548,888;7367,650;-650,125;74,313;7888,625;-1422,775;370,938
2020-01-02;3;13335,450;7287,825;-753,150;75,663;7915,025;-1379,938;270,038
2020-01-02;4;13273,150;7125,938;-758,813;75,063;7904,125;-1309,588;319,013
2020-01-02;5;13678,600;7140,675;-839,138;77,213;8025,463;-992,463;346,463
2020-01-02;6;14682,000;7375,000;-941,288;77,350;8282,863;-493,525;460,913
2020-01-02;7;17356,050;8509,713;-114,913;85,950;8476,675;-158,000;644,000
