Data;Godzina;CRO;CROs;CROz;Stan zakontraktowania;Niezbilansowanie
20230301;1;610,02;610,02;610,02;-817,06;-1252,34
20230301;2;609,99;609,99;609,99;-788,99;-1037,82
20230301;3;598,19;598,19;598,19;-614,78;-829,30
20230301;4;598,19;598,19;598,19;-624,78;-835,04
20230301;5;606,74;606,74;606,74;-691,05;-894,82
20230301;6;742,61;742,61;742,61;-1374,90;-1419,07
20230301;7;804,78;804,78;804,78;-3200,61;-3133,72
20230301;8;818,29;818,29;818,29;-2453,56;-2497,02
20230301;9;799,47;799,47;799,47;-1928,88;-1918,46
20230301;10;700,08;700,08;700,08;-616,83;-506,31
20230301;11;527,73;527,73;527,73;461,14;270,61
20230301;12;527,46;527,46;527,46;538,87;431,82
20230301;13;463,61;463,61;463,61;1126,75;1137,74
20230301;14;464,46;464,46;464,46;1046,11;1128,37
20230301;15;477,85;477,85;477,85;666,09;757,91
20230301;16;682,71;682,71;682,71;-586,36;-736,20
20230301;17;799,50;799,50;799,50;-1961,58;-2254,02
20230301;18;877,82;877,82;877,82;-2909,22;-2780,54
20230301;19;877,80;877,80;877,80;-2690,42;-2658,46
20230301;20;854,67;854,67;854,67;-2667,92;-2681,22
20230301;21;838,04;838,04;838,04;-2634,98;-2652,27
20230301;22;791,91;791,91;791,91;-2102,79;-2153,97
20230301;23;756,53;756,53;756,53;-2283,24;-2407,03
20230301;24;742,62;742,62;742,62;-1472,88;-1567,50
20230302;1;632,71;632,71;632,71;-1013,36;-1140,63
20230302;2;631,84;631,84;631,84;-944,68;-1095,24
20230302;3;633,96;633,96;633,96;-1182,28;-1492,13
20230302;4;631,04;631,04;631,04;-1164,05;-1504,63
20230302;5;630,71;630,71;630,71;-1031,07;-1207,16
20230302;6;742,00;742,00;742,00;-1507,02;-1792,53
20230302;7;800,49;800,49;800,49;-2597,51;-2803,26
20230302;8;836,02;836,02;836,02;-2381,92;-2523,30
20230302;9;898,62;898,62;898,62;-2686,19;-3084,53
20230302;10;826,53;826,53;826,53;-2036,48;-2243,89
20230302;11;826,54;826,54;826,54;-1982,79;-2238,22
20230302;12;802,82;802,82;802,82;-1376,21;-1314,50
20230302;13;800,49;800,49;800,49;-1384,88;-1306,88
20230302;14;799,85;799,85;799,85;-1079,46;-1141,96
20230302;15;742,01;742,01;742,01;-518,65;-513,95
20230302;16;800,49;800,49;800,49;-1124,13;-1359,69
20230302;17;863,01;863,01;863,01;-2081,18;-2100,07
20230302;18;899,63;899,63;899,63;-2649,56;-2426,08
20230302;19;901,21;901,21;901,21;-2490,34;-2615,98
20230302;20;899,62;899,62;899,62;-2207,16;-2199,55
20230302;21;899,64;899,64;899,64;-2516,66;-2529,39
20230302;22;826,52;826,52;826,52;-1620,26;-1586,37
20230302;23;753,73;753,73;753,73;-1242,43;-1275,74
20230302;24;661,98;661,98;661,98;-756,28;-899,07
20230303;1;737,28;737,28;737,28;-1296,97;-1782,82
20230303;2;737,27;737,27;737,27;-1267,93;-1624,99
20230303;3;632,02;632,02;632,02;-1135,68;-1615,13
20230303;4;704,35;704,35;704,35;-1256,51;-1667,68
20230303;5;737,27;737,27;737,27;-1370,86;-1739,75
20230303;6;737,28;737,28;737,28;-1539,52;-1716,11
20230303;7;772,47;772,47;772,47;-2404,69;-2394,32
20230303;8;820,09;820,09;820,09;-2359,79;-2490,23
20230303;9;833,06;833,06;833,06;-2827,85;-2910,61
20230303;10;831,20;831,20;831,20;-2994,16;-3213,09
20230303;11;830,00;830,00;830,00;-2947,36;-3200,73
20230303;12;830,68;830,68;830,68;-2875,91;-2788,40
20230303;13;812,87;812,87;812,87;-2076,07;-2106,49
20230303;14;787,54;787,54;787,54;-1689,47;-1646,52
20230303;15;782,84;782,84;782,84;-843,80;-717,16
20230303;16;769,85;769,85;769,85;-512,05;-616,04
20230303;17;782,84;782,84;782,84;-619,22;-450,50
20230303;18;769,77;769,77;769,77;-433,70;-258,21
20230303;19;787,55;787,55;787,55;-953,25;-1039,08
20230303;20;769,76;769,76;769,76;-570,86;-406,96
20230303;21;737,28;737,28;737,28;-87,85;82,11
20230303;22;565,44;565,44;565,44;292,24;176,21
20230303;23;529,31;529,31;529,31;192,51;29,61
20230303;24;492,08;492,08;492,08;619,98;283,48
20230304;1;406,63;406,63;406,63;1650,62;693,47
20230304;2;396,06;396,06;396,06;1918,18;783,19
20230304;3;406,63;406,63;406,63;1951,84;1128,30
20230304;4;423,89;423,89;423,89;1722,65;908,21
20230304;5;423,90;423,90;423,90;1625,51;1028,66
20230304;6;423,89;423,89;423,89;1227,45;807,48
20230304;7;443,37;443,37;443,37;1226,70;1204,75
20230304;8;472,46;472,46;472,46;966,54;754,28
20230304;9;509,71;509,71;509,71;371,32;-125,04
20230304;10;516,17;516,17;516,17;-157,10;-410,36
20230304;11;516,19;516,19;516,19;-30,19;-52,61
20230304;12;500,57;500,57;500,57;-10,08;147,31
