Data;Godzina;Krajowe zapotrzebowanie na moc;Sumaryczna generacja JWCD;Sumaryczna generacja nJWCD;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej
2023-03-01;1;18660,738;11791,263;6778,613;-541,313;943,925
2023-03-01;2;18228,975;11688,688;6698,250;-777,738;943,900
2023-03-01;3;17926,850;11394,838;6691,638;-748,513;943,950
2023-03-01;4;18022,550;11420,475;6633,788;-620,525;943,875
2023-03-01;5;18349,113;11615,638;6570,650;-422,775;943,663
2023-03-01;6;19350,325;12331,150;6536,125;-111,325;944,150
2023-03-01;7;21781,675;15059,363;6591,988;-706,075;916,750
2023-03-01;8;23486,425;15764,188;7443,163;-187,075;473,325
2023-03-01;9;24122,688;15145,863;9106,613;-761,988;644,138
2023-03-01;10;23607,213;13192,625;10223,438;-718,050;921,888
2023-03-01;11;22770,438;11511,238;11031,363;-678,438;944,813
2023-03-01;12;22732,913;11266,838;11618,375;-1047,300;943,900
2023-03-01;13;22651,625;10668,463;11760,425;-675,975;945,150
2023-03-01;14;22580,475;10695,775;11379,413;-417,313;945,500
2023-03-01;15;22390,313;11093,138;10306,138;46,013;943,625
2023-03-01;16;22693,025;12710,988;8593,238;450,900;942,775
2023-03-01;17;23059,750;14899,038;6620,550;602,888;944,713
2023-03-01;18;23814,863;16670,650;5667,450;537,438;944,600
2023-03-01;19;24558,475;16905,950;5879,188;834,613;940,175
2023-03-01;20;24645,913;16998,313;6195,700;577,825;875,475
2023-03-01;21;23972,925;16153,525;6171,275;716,038;937,138
2023-03-01;22;22400,575;14904,650;6047,813;521,488;943,563
2023-03-01;23;20834,913;13912,625;5862,938;132,725;939,925
2023-03-01;24;19419,663;12364,063;5729,225;403,800;942,400
2023-03-02;1;18470,813;11393,125;5661,113;587,850;945,675
2023-03-02;2;18037,163;11361,913;5701,388;429,338;943,938
2023-03-02;3;17836,700;11636,613;5673,025;204,600;944,563
2023-03-02;4;17884,125;11642,825;5621,875;306,863;944,738
2023-03-02;5;18281,313;11750,900;5596,650;621,588;944,913
2023-03-02;6;19318,788;12708,525;5569,750;585,838;945,025
2023-03-02;7;21663,863;14309,963;5635,050;964,963;942,788
2023-03-02;8;23465,325;15647,400;6333,313;556,738;927,275
2023-03-02;9;24175,800;15957,050;7623,050;-319,400;916,963
2023-03-02;10;24052,650;14772,300;8721,350;-372,475;943,700
2023-03-02;11;23448,963;13952,825;9461,588;-908,838;945,700
2023-03-02;12;23507,000;13315,875;10032,725;-787,250;946,000
2023-03-02;13;23407,450;13297,363;10218,775;-999,638;944,663
2023-03-02;14;23440,925;13190,875;9924,400;-542,675;944,875
2023-03-02;15;23108,475;12630,000;9185,025;420,738;944,450
2023-03-02;16;23174,338;13789,350;7953,313;532,100;943,775
2023-03-02;17;23364,663;14857,713;6447,688;1117,900;943,738
2023-03-02;18;23907,263;16265,813;5728,488;984,175;943,575
2023-03-02;19;24584,150;16889,525;5848,513;917,138;943,550
2023-03-02;20;24533,250;16776,088;5866,375;958,625;944,500
2023-03-02;21;23950,313;16117,450;5894,813;1003,075;945,075
2023-03-02;22;22364,788;14571,550;5870,375;999,650;944,625
2023-03-02;23;20774,575;13174,763;5975,588;718,800;944,988
2023-03-02;24;19476,163;11930,063;6072,388;709,625;945,075
2023-03-03;1;18683,713;12111,575;6203,438;-323,163;945,100
2023-03-03;2;18104,400;12194,738;6233,763;-858,563;945,013
2023-03-03;3;17912,738;12187,838;6396,363;-1080,213;944,738
2023-03-03;4;17907,575;12387,200;6606,463;-1431,475;944,988
2023-03-03;5;18386,163;12525,738;6580,088;-1054,438;945,113
2023-03-03;6;19254,813;12713,575;6582,313;-404,600;944,913
2023-03-03;7;21468,900;14173,550;6643,388;-204,250;944,563
2023-03-03;8;23440,725;16278,613;6996,650;-773,025;944,775
2023-03-03;9;24411,138;16910,388;7455,575;-883,050;944,763
2023-03-03;10;24877,138;16040,975;8068,100;-150,400;944,713
2023-03-03;11;24390,350;15142,213;8384,475;-54,225;931,850
2023-03-03;12;24523,925;15048,700;9129,138;-421,150;779,525
2023-03-03;13;24412,650;14223,413;9718,625;-440,363;930,638
2023-03-03;14;24371,538;13756,088;10026,613;-339,425;944,850
2023-03-03;15;23962,700;12924,775;9966,825;138,125;944,963
2023-03-03;16;23827,663;12840,250;9358,063;694,813;945,125
2023-03-03;17;23727,463;13431,813;9051,388;301,413;945,200
2023-03-03;18;24095,875;13689,850;9272,313;193,100;945,175
2023-03-03;19;24421,738;14308,250;9729,625;-559,175;945,125
2023-03-03;20;24196,888;13329,863;10406,675;-474,788;944,575
2023-03-03;21;23551,725;12015,213;10956,875;-345,750;938,513
