Data;Godzina;CRO;CROs;CROz;Stan zakontraktowania;Niezbilansowanie
20190801;1;217,68;217,68;217,68;1253,31;1253,31
20190801;2;217,68;217,68;217,68;1239,10;1239,10
20190801;3;217,68;217,68;217,68;1180,22;1180,22
20190801;4;225,30;225,30;225,30;1120,09;1120,09
20190801;5;234,90;234,90;234,90;1067,39;1067,39
20190801;6;217,68;217,68;217,68;1352,75;1352,75
20190801;7;250,39;250,39;250,39;1032,83;1032,83
20190801;8;288,20;288,20;288,20;1097,21;1097,21
20190801;9;261,72;261,72;261,72;1064,43;1094,43
20190801;10;288,20;288,20;288,20;983,69;1013,69
20190801;11;290,80;290,80;290,80;962,27;992,27
20190801;12;291,03;291,03;291,03;672,07;702,07
20190801;13;291,03;291,03;291,03;689,18;739,18
20190801;14;291,03;291,03;291,03;626,09;676,09
20190801;15;291,03;291,03;291,03;733,00;733,00
20190801;16;261,72;261,72;261,72;1085,67;1085,67
20190801;17;290,80;290,80;290,80;914,43;914,43
20190801;18;250,39;250,39;250,39;1112,55;1112,55
20190801;19;250,27;250,27;250,27;1216,43;1216,43
20190801;20;250,27;250,27;250,27;1220,63;1220,63
20190801;21;291,03;291,03;291,03;859,30;879,30
20190801;22;291,02;291,02;291,02;830,57;830,57
20190801;23;261,84;261,84;261,84;855,92;855,92
20190801;24;250,15;250,15;250,15;1049,97;1049,97
20190802;1;248,27;248,27;248,27;926,42;926,42
20190802;2;239,38;239,38;239,38;1111,57;1111,57
20190802;3;239,26;239,26;239,26;1123,12;1123,12
20190802;4;239,38;239,38;239,38;1056,94;1056,94
20190802;5;248,40;248,40;248,40;928,51;928,51
20190802;6;215,50;215,50;215,50;1420,66;1420,66
20190802;7;248,27;248,27;248,27;1175,34;1175,34
20190802;8;248,15;248,15;248,15;1258,28;1258,28
20190802;9;274,34;274,34;274,34;1048,99;1048,99
20190802;10;273,74;273,74;273,74;1054,66;1054,66
20190802;11;273,36;273,36;273,36;1054,51;1114,51
20190802;12;273,36;273,36;273,36;970,75;1030,75
20190802;13;273,36;273,36;273,36;1066,05;1106,05
20190802;14;272,97;272,97;272,97;953,38;993,38
20190802;15;272,97;272,97;272,97;1016,14;1040,14
20190802;16;270,34;270,34;270,34;1292,03;1312,03
20190802;17;272,97;272,97;272,97;1175,50;1175,50
20190802;18;258,42;258,42;258,42;1194,77;1194,77
20190802;19;258,42;258,42;258,42;1180,79;1180,79
20190802;20;258,42;258,42;258,42;1272,44;1272,44
20190802;21;258,42;258,42;258,42;1285,14;1285,14
20190802;22;272,77;272,77;272,77;1011,89;1013,89
20190802;23;239,38;239,38;239,38;1038,86;1038,86
20190802;24;235,60;235,60;235,60;1133,46;1133,46
20190803;1;286,72;286,72;286,72;899,04;899,04
20190803;2;224,46;224,46;224,46;1188,34;1188,34
20190803;3;171,20;171,20;171,20;1413,24;1413,24
20190803;4;185,00;185,00;185,00;1238,92;1238,92
20190803;5;197,66;197,66;197,66;1178,06;1178,06
20190803;6;171,20;171,20;171,20;1358,10;1358,10
20190803;7;77,33;77,33;77,33;1374,58;1374,58
20190803;8;77,90;77,90;77,90;1322,88;1322,88
20190803;9;194,00;194,00;194,00;1164,64;1164,64
20190803;10;254,71;254,71;254,71;1128,60;1128,60
20190803;11;233,93;233,93;233,93;1172,51;1213,44
20190803;12;233,93;233,93;233,93;1179,13;1209,13
20190803;13;206,00;206,00;206,00;1247,64;1267,64
20190803;14;201,10;201,10;201,10;1350,99;1370,99
20190803;15;160,00;160,00;160,00;1516,12;1516,12
20190803;16;160,00;160,00;160,00;1556,02;1556,02
20190803;17;160,00;160,00;160,00;1515,87;1515,87
20190803;18;160,00;160,00;160,00;1436,37;1436,37
20190803;19;160,00;160,00;160,00;1314,34;1314,34
20190803;20;201,10;201,10;201,10;1130,58;1130,58
20190803;21;248,30;248,30;248,30;1040,64;1060,64
20190803;22;246,52;246,52;246,52;945,87;945,87
20190803;23;287,79;287,79;287,79;747,83;747,83
20190803;24;232,00;232,00;232,00;1116,68;1116,68
20190804;1;288,11;288,11;288,11;882,80;882,80
20190804;2;248,80;248,80;248,80;958,47;958,47
20190804;3;248,80;248,80;248,80;961,16;961,16
20190804;4;248,80;248,80;248,80;977,07;977,07
20190804;5;270,74;270,74;270,74;885,14;885,14
20190804;6;238,10;238,10;238,10;1092,45;1092,45
20190804;7;288,29;288,29;288,29;676,95;1032,64
20190804;8;160,00;160,00;160,00;1175,91;1175,91
20190804;9;160,00;160,00;160,00;1270,78;1270,78
20190804;10;160,00;160,00;160,00;1291,95;1291,95
20190804;11;77,12;77,12;77,12;1534,51;1534,51
20190804;12;77,57;77,57;77,57;1486,54;1567,03
20190804;13;160,00;160,00;160,00;1389,33;1517,83
20190804;14;77,45;77,45;77,45;1480,92;1589,42
20190804;15;160,00;160,00;160,00;1346,78;1455,28
20190804;16;160,00;160,00;160,00;1353,49;1461,99
20190804;17;248,80;248,80;248,80;1183,31;1291,81
20190804;18;278,64;278,64;278,64;1096,04;1204,55
20190804;19;279,67;279,67;279,67;956,93;1065,43
20190804;20;288,29;288,29;288,29;891,85;1000,35
20190804;21;289,37;289,37;289,37;635,71;774,21
20190804;22;289,40;289,40;289,40;538,74;677,24
20190804;23;288,29;288,29;288,29;718,28;718,28
20190804;24;278,64;278,64;278,64;944,64;944,64
20190805;1;222,04;222,04;222,04;1720,53;1720,53
20190805;2;228,80;228,80;228,80;1406,47;1406,47
20190805;3;228,80;228,80;228,80;1471,62;1471,62
20190805;4;230,89;230,89;230,89;1355,73;1355,73
20190805;5;222,40;222,40;222,40;1310,63;1310,63
20190805;6;222,16;222,16;222,16;1478,20;1478,20
20190805;7;254,21;254,21;254,21;1058,29;1058,29
20190805;8;254,21;254,21;254,21;1429,78;1429,78
20190805;9;266,26;266,26;266,26;1001,59;1001,59
20190805;10;272,93;272,93;272,93;912,83;912,83
