Latitude (decimal degrees):	51.271
Longitude (decimal degrees):	15.553
Elevation (m):	173
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -2 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,4.5,3.31,0.0
20190101:0110,0.0,0.0,4.84,3.59,0.0
20190101:0210,0.0,0.0,5.18,3.93,0.0
20190101:0310,0.0,0.0,5.35,4.28,0.0
20190101:0410,0.0,0.0,5.48,4.76,0.0
20190101:0510,0.0,0.0,5.44,5.1,0.0
20190101:0610,0.0,0.0,5.27,5.52,0.0
20190101:0710,0.0,0.0,6.03,6.07,0.0
20190101:0810,56.55,6.85,6.0,6.41,0.0
20190101:0910,61.37,11.86,6.0,6.55,0.0
20190101:1010,24.5,14.9,5.82,6.62,0.0
20190101:1110,60.8,15.69,5.53,6.76,0.0
20190101:1210,26.32,14.15,5.29,6.76,0.0
20190101:1310,24.5,10.43,5.2,6.62,0.0
20190101:1410,9.07,4.85,5.06,7.79,0.0
20190101:1510,0.0,0.0,4.92,7.24,0.0
20190101:1610,0.0,0.0,4.26,7.17,0.0
20190101:1710,0.0,0.0,3.71,7.31,0.0
20190101:1810,0.0,0.0,3.15,7.59,0.0
20190101:1910,0.0,0.0,2.69,8.07,0.0
20190101:2010,0.0,0.0,1.87,8.55,0.0
20190101:2110,0.0,0.0,1.39,7.79,0.0
20190101:2210,0.0,0.0,1.26,7.66,0.0
20190101:2310,0.0,0.0,1.36,7.59,0.0
20190102:0010,0.0,0.0,1.15,7.52,0.0
20190102:0110,0.0,0.0,1.16,7.24,0.0
20190102:0210,0.0,0.0,1.46,7.03,0.0
20190102:0310,0.0,0.0,1.57,6.9,0.0
20190102:0410,0.0,0.0,1.43,6.76,0.0
20190102:0510,0.0,0.0,1.38,6.69,0.0
20190102:0610,0.0,0.0,0.97,6.69,0.0
20190102:0710,0.0,0.0,-0.04,6.34,0.0
20190102:0810,47.45,6.88,-0.1,6.14,0.0
20190102:0910,51.72,11.92,-0.13,5.52,0.0
20190102:1010,25.41,14.97,-0.08,4.76,0.0
20190102:1110,43.56,15.78,0.0,4.9,0.0
20190102:1210,139.24,14.25,0.2,4.97,0.0
20190102:1310,196.75,10.55,0.03,5.24,0.0
