Latitude (decimal degrees):	53.825
Longitude (decimal degrees):	22.347
Elevation (m):	132
Radiation database:	PVGIS-SARAH2


Slope: 39 deg. (optimum)
Azimuth: -2 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0011,0.0,0.0,1.01,4.55,0.0
20190101:0111,0.0,0.0,0.88,4.9,0.0
20190101:0211,0.0,0.0,0.8,5.17,0.0
20190101:0311,0.0,0.0,0.84,5.38,0.0
20190101:0411,0.0,0.0,1.03,5.52,0.0
20190101:0511,0.0,0.0,1.36,5.72,0.0
20190101:0611,0.0,0.0,1.65,5.93,0.0
20190101:0711,0.0,0.0,2.43,5.79,0.0
20190101:0811,15.47,7.21,3.0,6.21,0.0
20190101:0911,47.33,11.1,3.79,6.62,0.0
20190101:1011,43.69,13.01,4.35,6.76,0.0
20190101:1111,253.75,12.75,4.8,6.9,0.0
20190101:1211,18.21,10.36,4.97,6.62,0.0
20190101:1311,158.93,6.03,5.08,6.55,0.0
20190101:1411,0.0,0.0,4.56,7.31,0.0
20190101:1511,0.0,0.0,4.1,5.93,0.0
20190101:1611,0.0,0.0,3.87,6.07,0.0
20190101:1711,0.0,0.0,3.54,6.14,0.0
20190101:1811,0.0,0.0,3.41,6.21,0.0
20190101:1911,0.0,0.0,2.93,5.72,0.0
20190101:2011,0.0,0.0,2.83,5.59,0.0
20190101:2111,0.0,0.0,2.39,5.31,0.0
20190101:2211,0.0,0.0,1.5,4.83,0.0
20190101:2311,0.0,0.0,0.93,4.41,0.0
20190102:0011,0.0,0.0,0.82,4.07,0.0
20190102:0111,0.0,0.0,0.56,3.66,0.0
20190102:0211,0.0,0.0,0.45,3.52,0.0
20190102:0311,0.0,0.0,0.49,3.59,0.0
20190102:0411,0.0,0.0,0.55,4.34,0.0
20190102:0511,0.0,0.0,0.62,5.45,0.0
20190102:0611,0.0,0.0,0.36,5.17,0.0
20190102:0711,0.0,0.0,0.31,4.83,0.0
20190102:0811,40.53,7.25,0.27,4.9,0.0
20190102:0911,25.49,11.17,0.55,5.45,0.0
20190102:1011,134.02,13.09,0.77,6.62,0.0
20190102:1111,88.3,12.84,0.77,6.69,0.0
20190102:1211,190.28,10.47,0.71,5.45,0.0
20190102:1311,61.03,6.15,0.6,5.45,0.0
20190102:1411,0.0,0.0,0.12,6.34,0.0
20190102:1511,0.0,0.0,-0.27,6.34,0.0
20190102:1611,0.0,0.0,-0.55,6.55,0.0
20190102:1711,0.0,0.0,-0.92,6.69,0.0
20190102:1811,0.0,0.0,-1.29,6.76,0.0
20190102:1911,0.0,0.0,-1.7,6.0,0.0
20190102:2011,0.0,0.0,-1.82,6.62,0.0
20190102:2111,0.0,0.0,-1.98,6.76,0.0
20190102:2211,0.0,0.0,-2.32,6.34,0.0
20190102:2311,0.0,0.0,-2.43,6.83,0.0
20190103:0011,0.0,0.0,-2.71,6.28,0.0
20190103:0111,0.0,0.0,-2.93,6.28,0.0
20190103:0211,0.0,0.0,-2.99,6.07,0.0
20190103:0311,0.0,0.0,-3.14,6.21,0.0
20190103:0411,0.0,0.0,-3.42,6.21,0.0
20190103:0511,0.0,0.0,-3.72,6.28,0.0
20190103:0611,0.0,0.0,-3.85,5.59,0.0
20190103:0711,0.0,0.0,-3.42,5.79,0.0
20190103:0811,315.27,7.3,-3.32,5.66,0.0
20190103:0911,153.58,11.23,-3.05,7.38,0.0
20190103:1011,161.43,13.17,-2.72,7.93,0.0
20190103:1111,60.08,12.95,-2.56,7.31,0.0
20190103:1211,38.23,10.58,-2.45,6.76,0.0
20190103:1311,14.56,6.28,-2.42,6.21,0.0
20190103:1411,0.0,0.0,-2.59,5.86,0.0
20190103:1511,0.0,0.0,-2.87,5.38,0.0
20190103:1611,0.0,0.0,-3.32,5.1,0.0
20190103:1711,0.0,0.0,-3.67,4.97,0.0
20190103:1811,0.0,0.0,-3.82,4.97,0.0
20190103:1911,0.0,0.0,-3.88,4.62,0.0
20190103:2011,0.0,0.0,-3.88,4.14,0.0
20190103:2111,0.0,0.0,-3.81,4.28,0.0
