Latitude (decimal degrees):	53.482
Longitude (decimal degrees):	18.736
Elevation (m):	14
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -3 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0011,0.0,0.0,2.68,5.52,0.0
20190101:0111,0.0,0.0,3.16,5.79,0.0
20190101:0211,0.0,0.0,3.71,5.79,0.0
20190101:0311,0.0,0.0,4.39,6.0,0.0
20190101:0411,0.0,0.0,5.05,6.28,0.0
20190101:0511,0.0,0.0,5.46,6.48,0.0
20190101:0611,0.0,0.0,5.53,6.76,0.0
20190101:0711,0.0,0.0,6.24,7.24,0.0
20190101:0811,23.58,6.28,6.27,7.59,0.0
20190101:0911,168.52,10.65,6.09,7.93,0.0
20190101:1011,45.34,13.08,6.05,8.0,0.0
20190101:1111,64.38,13.35,6.14,8.34,0.0
20190101:1211,48.06,11.44,6.32,8.76,0.0
20190101:1311,26.3,7.52,5.95,8.83,0.0
20190101:1411,0.0,0.0,5.48,8.41,0.0
20190101:1511,0.0,0.0,5.04,8.14,0.0
20190101:1611,0.0,0.0,4.86,8.14,0.0
20190101:1711,0.0,0.0,4.55,7.79,0.0
20190101:1811,0.0,0.0,4.29,7.45,0.0
20190101:1911,0.0,0.0,3.54,7.1,0.0
20190101:2011,0.0,0.0,3.17,6.97,0.0
20190101:2111,0.0,0.0,2.66,6.76,0.0
20190101:2211,0.0,0.0,2.15,6.34,0.0
20190101:2311,0.0,0.0,1.56,5.66,0.0
20190102:0011,0.0,0.0,2.01,5.59,0.0
20190102:0111,0.0,0.0,2.46,6.28,0.0
20190102:0211,0.0,0.0,2.35,6.41,0.0
20190102:0311,0.0,0.0,1.99,6.41,0.0
20190102:0411,0.0,0.0,1.32,6.0,0.0
20190102:0511,0.0,0.0,1.09,6.48,0.0
20190102:0611,0.0,0.0,1.04,6.62,0.0
20190102:0711,0.0,0.0,0.68,6.97,0.0
20190102:0811,94.82,6.32,0.46,7.24,0.0
20190102:0911,29.92,10.71,0.64,8.0,0.0
20190102:1011,304.85,13.16,0.76,7.93,0.0
20190102:1111,261.35,13.44,0.82,8.48,0.0
20190102:1211,308.92,11.55,0.98,8.41,0.0
20190102:1311,44.56,7.64,0.85,7.45,0.0
20190102:1411,0.0,0.0,0.55,8.55,0.0
20190102:1511,0.0,0.0,0.39,8.21,0.0
20190102:1611,0.0,0.0,0.3,8.14,0.0
20190102:1711,0.0,0.0,0.25,8.34,0.0
20190102:1811,0.0,0.0,0.37,8.28,0.0
20190102:1911,0.0,0.0,-0.5,7.93,0.0
20190102:2011,0.0,0.0,-0.55,7.59,0.0
20190102:2111,0.0,0.0,-0.65,7.52,0.0
20190102:2211,0.0,0.0,-0.65,7.66,0.0
20190102:2311,0.0,0.0,-0.68,7.72,0.0
20190103:0011,0.0,0.0,-0.72,7.72,0.0
20190103:0111,0.0,0.0,-0.88,7.72,0.0
20190103:0211,0.0,0.0,-1.04,7.1,0.0
20190103:0311,0.0,0.0,-1.0,6.62,0.0
20190103:0411,0.0,0.0,-1.0,6.14,0.0
20190103:0511,0.0,0.0,-1.18,5.52,0.0
20190103:0611,0.0,0.0,-1.29,5.31,0.0
20190103:0711,0.0,0.0,-1.65,5.45,0.0
20190103:0811,63.55,6.37,-1.63,5.52,0.0
20190103:0911,292.08,10.78,-0.99,5.93,0.0
20190103:1011,28.11,13.24,-0.33,5.1,0.0
20190103:1111,48.97,13.54,-0.01,5.38,0.0
20190103:1211,34.46,11.66,-0.38,6.0,0.0
20190103:1311,119.76,7.76,-0.53,6.21,0.0
20190103:1411,0.0,0.0,-1.07,5.24,0.0
20190103:1511,0.0,0.0,-1.77,4.69,0.0
20190103:1611,0.0,0.0,-2.2,4.28,0.0
20190103:1711,0.0,0.0,-2.36,3.86,0.0
20190103:1811,0.0,0.0,-2.61,3.66,0.0
20190103:1911,0.0,0.0,-2.39,4.28,0.0
20190103:2011,0.0,0.0,-2.31,3.79,0.0
20190103:2111,0.0,0.0,-2.41,3.24,0.0
20190103:2211,0.0,0.0,-2.53,2.97,0.0
20190103:2311,0.0,0.0,-2.48,2.76,0.0
20190104:0011,0.0,0.0,-2.4,2.69,0.0
20190104:0111,0.0,0.0,-2.85,2.83,0.0
