Latitude (decimal degrees):	50.261
Longitude (decimal degrees):	19.012
Elevation (m):	266
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -5 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,-0.49,2.76,0.0
20190101:0110,0.0,0.0,-0.3,3.1,0.0
20190101:0210,0.0,0.0,-0.2,3.45,0.0
20190101:0310,0.0,0.0,0.03,3.86,0.0
20190101:0410,0.0,0.0,0.62,4.34,0.0
20190101:0510,0.0,0.0,1.21,4.76,0.0
20190101:0610,0.0,0.0,1.75,5.03,0.0
20190101:0710,4.53,2.54,2.0,5.52,0.0
20190101:0810,30.82,8.97,2.39,5.93,0.0
20190101:0910,73.69,13.68,2.69,6.28,0.0
20190101:1010,292.56,16.29,3.08,6.48,0.0
20190101:1110,128.07,16.54,3.6,6.69,0.0
20190101:1210,153.46,14.43,4.1,7.45,0.0
20190101:1310,82.69,10.15,4.51,7.31,0.0
20190101:1410,4.53,4.05,4.64,6.69,0.0
20190101:1510,0.0,0.0,4.76,6.34,0.0
20190101:1610,0.0,0.0,4.8,6.21,0.0
20190101:1710,0.0,0.0,4.58,6.14,0.0
20190101:1810,0.0,0.0,4.08,6.14,0.0
20190101:1910,0.0,0.0,4.21,6.55,0.0
20190101:2010,0.0,0.0,3.53,5.86,0.0
20190101:2110,0.0,0.0,2.99,6.21,0.0
20190101:2210,0.0,0.0,2.11,6.76,0.0
20190101:2310,0.0,0.0,1.36,6.83,0.0
20190102:0010,0.0,0.0,0.93,7.1,0.0
20190102:0110,0.0,0.0,0.74,7.1,0.0
20190102:0210,0.0,0.0,0.61,7.24,0.0
20190102:0310,0.0,0.0,0.51,7.59,0.0
20190102:0410,0.0,0.0,0.53,8.07,0.0
20190102:0510,0.0,0.0,0.99,8.55,0.0
20190102:0610,0.0,0.0,0.98,7.79,0.0
20190102:0710,2.72,2.56,0.9,7.93,0.0
20190102:0810,66.15,9.01,0.91,7.24,0.0
20190102:0910,66.17,13.73,1.01,5.93,0.0
20190102:1010,74.33,16.36,0.85,6.21,0.0
20190102:1110,48.95,16.64,0.96,6.28,0.0
20190102:1210,134.38,14.54,1.0,6.83,0.0
20190102:1310,286.6,10.27,0.5,7.03,0.0
20190102:1410,3.63,4.18,-0.19,6.76,0.0
20190102:1510,0.0,0.0,-0.94,6.62,0.0
20190102:1610,0.0,0.0,-1.39,6.28,0.0
20190102:1710,0.0,0.0,-1.48,6.41,0.0
20190102:1810,0.0,0.0,-1.63,6.62,0.0
20190102:1910,0.0,0.0,-2.04,6.21,0.0
