Latitude (decimal degrees):	50.072
Longitude (decimal degrees):	19.882
Elevation (m):	202
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -2 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.17,2.48,0.0
20190101:0110,0.0,0.0,-0.07,2.62,0.0
20190101:0210,0.0,0.0,-0.34,2.83,0.0
20190101:0310,0.0,0.0,-0.66,3.03,0.0
20190101:0410,0.0,0.0,-0.61,3.24,0.0
20190101:0510,0.0,0.0,0.02,3.52,0.0
20190101:0610,0.0,0.0,0.56,3.86,0.0
20190101:0710,2.72,3.08,1.03,4.41,0.0
20190101:0810,80.69,9.45,1.9,4.83,0.0
20190101:0910,78.1,14.07,2.55,5.17,0.0
20190101:1010,21.75,16.55,3.06,5.59,0.0
20190101:1110,48.93,16.67,3.57,5.86,0.0
20190101:1210,141.7,14.42,4.2,6.28,0.0
20190101:1310,38.97,10.0,4.54,6.69,0.0
20190101:1410,33.06,3.79,4.47,6.62,0.0
20190101:1510,0.0,0.0,4.05,6.48,0.0
20190101:1610,0.0,0.0,4.11,6.48,0.0
20190101:1710,0.0,0.0,4.17,6.28,0.0
20190101:1810,0.0,0.0,3.92,5.93,0.0
20190101:1910,0.0,0.0,4.03,5.72,0.0
20190101:2010,0.0,0.0,3.48,5.86,0.0
20190101:2110,0.0,0.0,3.04,6.0,0.0
20190101:2210,0.0,0.0,2.44,6.34,0.0
20190101:2310,0.0,0.0,1.92,6.9,0.0
20190102:0010,0.0,0.0,0.97,6.76,0.0
20190102:0110,0.0,0.0,0.6,6.55,0.0
20190102:0210,0.0,0.0,0.34,6.55,0.0
20190102:0310,0.0,0.0,0.48,6.9,0.0
20190102:0410,0.0,0.0,0.39,7.17,0.0
20190102:0510,0.0,0.0,0.44,7.03,0.0
20190102:0610,0.0,0.0,0.79,7.31,0.0
20190102:0710,8.16,3.1,0.85,7.45,0.0
20190102:0810,41.69,9.49,0.97,7.31,0.0
20190102:0910,57.09,14.12,0.91,6.76,0.0
20190102:1010,141.93,16.63,1.0,5.72,0.0
20190102:1110,30.81,16.77,0.9,5.52,0.0
20190102:1210,58.0,14.53,1.02,5.17,0.0
20190102:1310,37.15,10.12,0.43,6.14,0.0
20190102:1410,13.59,3.91,-0.31,5.79,0.0
20190102:1510,0.0,0.0,-0.89,5.59,0.0
20190102:1610,0.0,0.0,-1.24,5.66,0.0
20190102:1710,0.0,0.0,-1.44,5.86,0.0
20190102:1810,0.0,0.0,-1.65,6.07,0.0
20190102:1910,0.0,0.0,-1.85,5.93,0.0
20190102:2010,0.0,0.0,-2.24,6.07,0.0
20190102:2110,0.0,0.0,-2.52,6.34,0.0
20190102:2210,0.0,0.0,-2.78,6.34,0.0
20190102:2310,0.0,0.0,-2.93,6.21,0.0
20190103:0010,0.0,0.0,-3.17,6.21,0.0
20190103:0110,0.0,0.0,-3.09,6.21,0.0
20190103:0210,0.0,0.0,-3.04,6.07,0.0
20190103:0310,0.0,0.0,-3.21,5.93,0.0
20190103:0410,0.0,0.0,-3.36,5.79,0.0
20190103:0510,0.0,0.0,-3.68,5.59,0.0
20190103:0610,0.0,0.0,-3.67,5.52,0.0
20190103:0710,85.5,3.13,-3.43,4.97,0.0
20190103:0810,186.12,9.53,-3.23,4.69,0.0
20190103:0910,320.92,14.18,-2.84,5.38,0.0
20190103:1010,206.15,16.71,-2.51,5.52,0.0
