Latitude (decimal degrees):	53.765
Longitude (decimal degrees):	20.488
Elevation (m):	118
Radiation database:	PVGIS-SARAH2


Slope: 39 deg. (optimum)
Azimuth: -2 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0011,0.0,0.0,1.22,5.38,0.0
20190101:0111,0.0,0.0,1.54,5.72,0.0
20190101:0211,0.0,0.0,1.76,5.79,0.0
20190101:0311,0.0,0.0,2.2,5.86,0.0
20190101:0411,0.0,0.0,2.67,5.93,0.0
20190101:0511,0.0,0.0,3.27,5.93,0.0
20190101:0611,0.0,0.0,3.92,6.07,0.0
20190101:0711,0.0,0.0,4.85,6.48,0.0
20190101:0811,19.15,6.65,5.2,6.9,0.0
20190101:0911,35.56,10.78,5.32,7.38,0.0
20190101:1011,308.83,12.95,5.36,7.66,0.0
20190101:1111,46.51,12.96,5.35,7.38,0.0
20190101:1211,41.03,10.82,5.4,7.66,0.0
20190101:1311,29.18,6.71,5.08,8.28,0.0
20190101:1411,0.0,0.0,4.62,7.59,0.0
20190101:1511,0.0,0.0,4.11,7.38,0.0
20190101:1611,0.0,0.0,3.8,7.38,0.0
20190101:1711,0.0,0.0,3.7,7.17,0.0
20190101:1811,0.0,0.0,3.51,6.97,0.0
20190101:1911,0.0,0.0,2.99,6.69,0.0
20190101:2011,0.0,0.0,2.52,6.34,0.0
20190101:2111,0.0,0.0,1.9,5.79,0.0
20190101:2211,0.0,0.0,1.07,5.24,0.0
20190101:2311,0.0,0.0,0.83,4.83,0.0
20190102:0011,0.0,0.0,0.81,4.48,0.0
20190102:0111,0.0,0.0,1.04,4.48,0.0
20190102:0211,0.0,0.0,0.94,4.69,0.0
20190102:0311,0.0,0.0,0.87,5.24,0.0
20190102:0411,0.0,0.0,0.65,5.38,0.0
20190102:0511,0.0,0.0,0.68,5.66,0.0
20190102:0611,0.0,0.0,0.48,6.28,0.0
20190102:0711,0.0,0.0,0.29,5.93,0.0
20190102:0811,8.21,6.69,0.18,6.14,0.0
20190102:0911,62.99,10.84,0.43,7.03,0.0
20190102:1011,160.85,13.02,0.56,6.62,0.0
20190102:1111,82.18,13.05,0.57,6.48,0.0
20190102:1211,38.3,10.93,0.6,7.03,0.0
20190102:1311,36.89,6.83,0.39,6.9,0.0
20190102:1411,0.0,0.0,0.18,7.79,0.0
20190102:1511,0.0,0.0,-0.1,7.45,0.0
20190102:1611,0.0,0.0,-0.19,7.1,0.0
20190102:1711,0.0,0.0,-0.34,7.17,0.0
