Latitude (decimal degrees):	52.396
Longitude (decimal degrees):	16.888
Elevation (m):	85
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -5 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0011,0.0,0.0,4.27,3.72,0.0
20190101:0111,0.0,0.0,4.75,4.0,0.0
20190101:0211,0.0,0.0,5.23,4.41,0.0
20190101:0311,0.0,0.0,5.72,4.83,0.0
20190101:0411,0.0,0.0,6.14,5.31,0.0
20190101:0511,0.0,0.0,6.31,5.79,0.0
20190101:0611,0.0,0.0,6.19,6.14,0.0
20190101:0711,0.0,0.0,7.06,6.55,0.0
20190101:0811,35.53,6.48,6.88,6.55,0.0
20190101:0911,22.67,11.2,6.73,7.03,0.0
20190101:1011,53.51,13.96,6.38,7.31,0.0
20190101:1111,25.39,14.52,6.27,7.24,0.0
20190101:1211,37.18,12.83,6.33,7.31,0.0
20190101:1311,200.21,9.04,6.5,7.93,0.0
20190101:1411,22.89,3.46,6.29,7.72,0.0
20190101:1511,0.0,0.0,5.43,7.1,0.0
20190101:1611,0.0,0.0,4.87,7.24,0.0
20190101:1711,0.0,0.0,4.4,6.9,0.0
20190101:1811,0.0,0.0,3.89,6.97,0.0
20190101:1911,0.0,0.0,3.16,7.38,0.0
20190101:2011,0.0,0.0,2.69,7.1,0.0
20190101:2111,0.0,0.0,2.73,7.17,0.0
20190101:2211,0.0,0.0,2.7,7.59,0.0
20190101:2311,0.0,0.0,1.82,7.52,0.0
20190102:0011,0.0,0.0,2.07,7.24,0.0
20190102:0111,0.0,0.0,2.91,6.97,0.0
20190102:0211,0.0,0.0,3.09,6.76,0.0
20190102:0311,0.0,0.0,2.92,6.48,0.0
20190102:0411,0.0,0.0,2.7,6.28,0.0
20190102:0511,0.0,0.0,2.3,6.21,0.0
20190102:0611,0.0,0.0,1.24,6.07,0.0
20190102:0711,0.0,0.0,1.16,5.52,0.0
20190102:0811,380.09,6.52,1.4,5.59,0.0
20190102:0911,291.9,11.25,1.5,6.14,0.0
20190102:1011,334.9,14.03,1.54,5.72,0.0
20190102:1111,433.82,14.61,1.5,6.97,0.0
20190102:1211,431.54,12.93,1.55,6.97,0.0
20190102:1311,97.42,9.16,1.44,6.55,0.0
20190102:1411,69.02,3.58,0.9,6.28,0.0
20190102:1511,0.0,0.0,0.13,5.86,0.0
20190102:1611,0.0,0.0,-0.43,5.72,0.0
20190102:1711,0.0,0.0,-0.78,5.79,0.0
20190102:1811,0.0,0.0,-0.86,5.79,0.0
20190102:1911,0.0,0.0,-1.44,5.31,0.0
20190102:2011,0.0,0.0,-1.62,5.17,0.0
20190102:2111,0.0,0.0,-1.72,5.1,0.0
20190102:2211,0.0,0.0,-1.75,5.1,0.0
20190102:2311,0.0,0.0,-1.69,5.1,0.0
20190103:0011,0.0,0.0,-1.61,5.03,0.0
20190103:0111,0.0,0.0,-1.54,4.9,0.0
20190103:0211,0.0,0.0,-1.45,4.69,0.0
20190103:0311,0.0,0.0,-1.39,4.48,0.0
20190103:0411,0.0,0.0,-1.21,4.28,0.0
20190103:0511,0.0,0.0,-1.3,4.21,0.0
20190103:0611,0.0,0.0,-1.51,3.93,0.0
20190103:0711,0.0,0.0,-1.32,3.66,0.0
20190103:0811,80.45,6.56,-1.12,3.66,0.0
20190103:0911,69.85,11.32,-0.49,3.45,0.0
20190103:1011,622.94,14.11,0.09,4.34,0.0
20190103:1111,207.39,14.71,0.42,4.62,0.0
20190103:1211,148.91,13.05,0.48,4.69,0.0
20190103:1311,436.73,9.28,-0.05,4.21,0.0
20190103:1411,3.63,3.71,-0.4,4.34,0.0
20190103:1511,0.0,0.0,-1.04,4.34,0.0
20190103:1611,0.0,0.0,-1.4,4.28,0.0
20190103:1711,0.0,0.0,-1.53,4.0,0.0
20190103:1811,0.0,0.0,-2.07,3.86,0.0
20190103:1911,0.0,0.0,-2.36,4.0,0.0
20190103:2011,0.0,0.0,-2.49,3.79,0.0
20190103:2111,0.0,0.0,-2.51,3.59,0.0
20190103:2211,0.0,0.0,-2.51,3.59,0.0
20190103:2311,0.0,0.0,-2.14,3.52,0.0
20190104:0011,0.0,0.0,-1.96,3.38,0.0
20190104:0111,0.0,0.0,-2.03,3.1,0.0
20190104:0211,0.0,0.0,-1.98,2.97,0.0
20190104:0311,0.0,0.0,-2.43,2.83,0.0
20190104:0411,0.0,0.0,-2.55,2.76,0.0
20190104:0511,0.0,0.0,-2.11,2.83,0.0
20190104:0611,0.0,0.0,-1.94,2.9,0.0
20190104:0711,0.0,0.0,-1.74,2.97,0.0
20190104:0811,9.07,6.61,-1.52,3.1,0.0
20190104:0911,27.21,11.38,-0.99,3.59,0.0
20190104:1011,53.51,14.2,-0.39,4.0,0.0
20190104:1111,58.95,14.81,0.43,5.45,0.0
20190104:1211,36.27,13.17,0.83,5.03,0.0
20190104:1311,27.21,9.41,0.82,4.14,0.0
20190104:1411,3.63,3.85,0.92,4.0,0.0
20190104:1511,0.0,0.0,0.9,3.79,0.0
20190104:1611,0.0,0.0,1.08,3.86,0.0
20190104:1711,0.0,0.0,1.32,3.86,0.0
20190104:1811,0.0,0.0,1.61,4.0,0.0
20190104:1911,0.0,0.0,1.42,4.14,0.0
20190104:2011,0.0,0.0,1.69,4.28,0.0
20190104:2111,0.0,0.0,1.76,4.48,0.0
20190104:2211,0.0,0.0,1.47,4.55,0.0
20190104:2311,0.0,0.0,0.98,4.21,0.0
20190105:0011,0.0,0.0,1.12,4.28,0.0
20190105:0111,0.0,0.0,1.59,4.28,0.0
20190105:0211,0.0,0.0,2.04,4.21,0.0
20190105:0311,0.0,0.0,2.26,4.14,0.0
20190105:0411,0.0,0.0,2.53,4.0,0.0
20190105:0511,0.0,0.0,2.98,4.28,0.0
20190105:0611,0.0,0.0,3.4,4.48,0.0
20190105:0711,0.0,0.0,4.02,4.83,0.0
20190105:0811,37.17,6.67,4.12,4.69,0.0
20190105:0911,44.44,11.46,4.13,4.34,0.0
20190105:1011,44.44,14.3,4.21,4.21,0.0
20190105:1111,434.6,14.93,4.36,4.0,0.0
20190105:1211,372.02,13.29,4.53,4.07,0.0
20190105:1311,97.87,9.54,4.34,5.03,0.0
20190105:1411,7.25,3.99,3.87,4.21,0.0
20190105:1511,0.0,0.0,3.29,4.07,0.0
20190105:1611,0.0,0.0,2.98,3.86,0.0
20190105:1711,0.0,0.0,2.77,3.86,0.0
20190105:1811,0.0,0.0,2.74,3.86,0.0
20190105:1911,0.0,0.0,2.53,4.28,0.0
20190105:2011,0.0,0.0,2.1,4.21,0.0
20190105:2111,0.0,0.0,1.8,4.07,0.0
20190105:2211,0.0,0.0,1.44,3.93,0.0
20190105:2311,0.0,0.0,1.14,3.79,0.0
20190106:0011,0.0,0.0,0.86,3.72,0.0
20190106:0111,0.0,0.0,0.76,3.72,0.0
20190106:0211,0.0,0.0,0.68,3.79,0.0
20190106:0311,0.0,0.0,0.73,3.93,0.0
20190106:0411,0.0,0.0,0.71,3.86,0.0
20190106:0511,0.0,0.0,0.55,3.66,0.0
20190106:0611,0.0,0.0,0.28,3.45,0.0
20190106:0711,0.0,0.0,0.46,3.59,0.0
20190106:0811,71.57,6.74,0.49,3.45,0.0
20190106:0911,53.51,11.55,0.75,3.45,0.0
20190106:1011,68.01,14.4,1.03,4.34,0.0
20190106:1111,64.39,15.05,1.32,4.21,0.0
20190106:1211,31.74,13.42,1.4,3.59,0.0
20190106:1311,11.79,9.69,1.27,3.03,0.0
20190106:1411,13.6,4.14,0.93,2.14,0.0
20190106:1511,0.0,0.0,0.46,1.72,0.0
20190106:1611,0.0,0.0,-0.28,1.59,0.0
20190106:1711,0.0,0.0,-0.71,1.52,0.0
20190106:1811,0.0,0.0,-1.16,1.52,0.0
20190106:1911,0.0,0.0,-0.55,1.17,0.0
20190106:2011,0.0,0.0,-0.7,1.31,0.0
20190106:2111,0.0,0.0,-1.05,1.45,0.0
20190106:2211,0.0,0.0,-1.33,1.66,0.0
20190106:2311,0.0,0.0,-1.55,1.79,0.0
20190107:0011,0.0,0.0,-1.78,1.72,0.0
20190107:0111,0.0,0.0,-2.01,1.66,0.0
20190107:0211,0.0,0.0,-2.04,1.86,0.0
20190107:0311,0.0,0.0,-1.93,2.0,0.0
20190107:0411,0.0,0.0,-1.86,2.0,0.0
20190107:0511,0.0,0.0,-1.83,1.93,0.0
20190107:0611,0.0,0.0,-1.64,2.0,0.0
20190107:0711,0.0,0.0,-2.0,1.86,0.0
20190107:0811,217.54,6.81,-1.61,1.79,0.0
20190107:0911,63.33,11.64,-1.07,2.07,0.0
20190107:1011,204.91,14.51,-0.49,2.34,0.0
20190107:1111,98.31,15.17,0.03,2.76,0.0
20190107:1211,169.92,13.56,0.34,2.76,0.0
20190107:1311,125.18,9.83,0.6,2.76,0.0
20190107:1411,124.04,4.29,0.73,2.9,0.0
20190107:1511,0.0,0.0,0.22,2.55,0.0
20190107:1611,0.0,0.0,-0.05,2.97,0.0
20190107:1711,0.0,0.0,-0.86,3.17,0.0
20190107:1811,0.0,0.0,-1.04,3.24,0.0
20190107:1911,0.0,0.0,0.14,3.17,0.0
20190107:2011,0.0,0.0,0.65,3.17,0.0
20190107:2111,0.0,0.0,1.27,3.31,0.0
20190107:2211,0.0,0.0,1.92,3.52,0.0
20190107:2311,0.0,0.0,2.61,4.0,0.0
20190108:0011,0.0,0.0,3.06,4.62,0.0
20190108:0111,0.0,0.0,3.28,5.1,0.0
20190108:0211,0.0,0.0,3.31,5.31,0.0
20190108:0311,0.0,0.0,3.05,5.45,0.0
20190108:0411,0.0,0.0,2.44,5.17,0.0
20190108:0511,0.0,0.0,1.64,4.34,0.0
20190108:0611,0.0,0.0,1.71,4.07,0.0
20190108:0711,0.0,0.0,2.84,4.69,0.0
20190108:0811,382.28,6.89,3.49,4.83,0.0
20190108:0911,278.22,11.73,4.13,4.97,0.0
20190108:1011,62.57,14.63,4.72,5.1,0.0
20190108:1111,267.15,15.31,5.03,5.24,0.0
20190108:1211,48.97,13.71,5.28,5.45,0.0
20190108:1311,24.49,9.99,5.0,5.38,0.0
20190108:1411,237.27,4.45,4.39,5.17,0.0
20190108:1511,0.0,0.0,3.94,4.9,0.0
20190108:1611,0.0,0.0,3.74,4.62,0.0
20190108:1711,0.0,0.0,3.66,4.48,0.0
20190108:1811,0.0,0.0,3.71,4.69,0.0
20190108:1911,0.0,0.0,3.75,5.31,0.0
20190108:2011,0.0,0.0,3.25,5.38,0.0
20190108:2111,0.0,0.0,2.69,5.24,0.0
20190108:2211,0.0,0.0,2.32,5.1,0.0
20190108:2311,0.0,0.0,2.08,4.9,0.0
20190109:0011,0.0,0.0,1.92,4.69,0.0
20190109:0111,0.0,0.0,1.75,4.48,0.0
20190109:0211,0.0,0.0,1.33,4.14,0.0
20190109:0311,0.0,0.0,1.07,3.86,0.0
20190109:0411,0.0,0.0,0.79,3.59,0.0
20190109:0511,0.0,0.0,0.71,3.1,0.0
20190109:0611,0.0,0.0,0.63,2.28,0.0
20190109:0711,0.0,0.0,0.91,2.07,0.0
20190109:0811,139.22,6.98,0.99,1.31,0.0
20190109:0911,183.03,11.84,1.24,2.0,0.0
20190109:1011,50.78,14.75,1.55,2.83,0.0
20190109:1111,22.67,15.45,1.93,3.45,0.0
20190109:1211,37.18,13.87,2.22,3.45,0.0
20190109:1311,41.72,10.15,2.16,3.86,0.0
20190109:1411,35.29,4.62,1.89,3.45,0.0
20190109:1511,0.0,0.0,1.58,3.45,0.0
20190109:1611,0.0,0.0,1.26,3.66,0.0
20190109:1711,0.0,0.0,0.85,3.86,0.0
20190109:1811,0.0,0.0,0.36,3.86,0.0
20190109:1911,0.0,0.0,0.17,3.52,0.0
20190109:2011,0.0,0.0,-0.11,3.45,0.0
20190109:2111,0.0,0.0,-0.42,3.38,0.0
20190109:2211,0.0,0.0,-0.63,3.31,0.0
20190109:2311,0.0,0.0,-0.72,3.1,0.0
20190110:0011,0.0,0.0,-0.82,2.97,0.0
20190110:0111,0.0,0.0,-0.76,2.9,0.0
20190110:0211,0.0,0.0,-0.69,2.97,0.0
20190110:0311,0.0,0.0,-0.57,2.83,0.0
20190110:0411,0.0,0.0,-0.32,2.83,0.0
20190110:0511,0.0,0.0,-0.17,2.69,0.0
20190110:0611,0.0,0.0,-0.01,2.83,0.0
20190110:0711,0.0,0.0,0.46,3.66,0.0
20190110:0811,140.28,7.07,0.53,3.59,0.0
20190110:0911,212.64,11.95,0.6,3.17,0.0
20190110:1011,98.56,14.88,0.88,4.48,0.0
20190110:1111,87.97,15.6,1.17,4.83,0.0
20190110:1211,73.54,14.03,1.23,4.48,0.0
20190110:1311,38.09,10.32,1.14,4.21,0.0
20190110:1411,9.98,4.79,0.77,2.97,0.0
20190110:1511,0.0,0.0,0.31,2.55,0.0
20190110:1611,0.0,0.0,-0.52,2.07,0.0
20190110:1711,0.0,0.0,-1.03,1.79,0.0
20190110:1811,0.0,0.0,-1.51,1.59,0.0
20190110:1911,0.0,0.0,-1.58,2.14,0.0
20190110:2011,0.0,0.0,-1.34,2.07,0.0
20190110:2111,0.0,0.0,-1.17,1.86,0.0
20190110:2211,0.0,0.0,-1.2,1.59,0.0
