Latitude (decimal degrees):	51.962
Longitude (decimal degrees):	15.532
Elevation (m):	118
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -7 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,5.62,3.52,0.0
20190101:0110,0.0,0.0,5.97,3.86,0.0
20190101:0210,0.0,0.0,6.3,4.21,0.0
20190101:0310,0.0,0.0,6.51,4.76,0.0
20190101:0410,0.0,0.0,6.63,5.1,0.0
20190101:0510,0.0,0.0,6.57,5.52,0.0
20190101:0610,0.0,0.0,6.43,5.86,0.0
20190101:0710,0.0,0.0,7.25,6.34,0.0
20190101:0810,64.36,6.3,7.06,6.41,0.0
20190101:0910,26.23,11.24,6.96,6.69,0.0
20190101:1010,27.13,14.22,6.61,6.83,0.0
20190101:1110,40.7,15.0,6.47,6.9,0.0
20190101:1210,117.9,13.49,6.43,6.83,0.0
20190101:1310,20.8,9.84,6.57,7.45,0.0
20190101:1410,3.62,4.35,6.31,7.66,0.0
20190101:1510,0.0,0.0,5.79,7.03,0.0
20190101:1610,0.0,0.0,5.13,6.76,0.0
20190101:1710,0.0,0.0,4.6,6.55,0.0
20190101:1810,0.0,0.0,3.97,7.03,0.0
20190101:1910,0.0,0.0,3.15,7.45,0.0
20190101:2010,0.0,0.0,2.69,7.17,0.0
20190101:2110,0.0,0.0,2.96,7.38,0.0
20190101:2210,0.0,0.0,3.08,7.52,0.0
20190101:2310,0.0,0.0,2.78,7.38,0.0
20190102:0010,0.0,0.0,2.63,7.17,0.0
20190102:0110,0.0,0.0,3.03,6.97,0.0
20190102:0210,0.0,0.0,3.17,6.83,0.0
20190102:0310,0.0,0.0,3.0,6.55,0.0
20190102:0410,0.0,0.0,2.87,6.41,0.0
20190102:0510,0.0,0.0,2.73,6.34,0.0
20190102:0610,0.0,0.0,2.28,6.41,0.0
20190102:0710,0.0,0.0,1.0,5.86,0.0
20190102:0810,47.26,6.34,0.78,5.59,0.0
20190102:0910,25.32,11.29,1.11,5.66,0.0
20190102:1010,39.79,14.29,1.14,4.9,0.0
20190102:1110,299.41,15.09,1.55,5.1,0.0
20190102:1210,369.66,13.59,1.77,5.52,0.0
20190102:1310,155.38,9.95,1.52,5.93,0.0
20190102:1410,7.23,4.47,1.12,5.52,0.0
20190102:1510,0.0,0.0,0.39,5.24,0.0
20190102:1610,0.0,0.0,-0.28,5.03,0.0
20190102:1710,0.0,0.0,-0.62,4.83,0.0
20190102:1810,0.0,0.0,-0.88,4.62,0.0
20190102:1910,0.0,0.0,-1.35,4.0,0.0
20190102:2010,0.0,0.0,-1.6,3.79,0.0
20190102:2110,0.0,0.0,-1.84,3.72,0.0
20190102:2210,0.0,0.0,-1.94,3.79,0.0
20190102:2310,0.0,0.0,-1.91,3.93,0.0
20190103:0010,0.0,0.0,-1.86,4.0,0.0
20190103:0110,0.0,0.0,-1.63,4.07,0.0
20190103:0210,0.0,0.0,-1.67,4.0,0.0
20190103:0310,0.0,0.0,-1.8,4.0,0.0
20190103:0410,0.0,0.0,-1.87,4.34,0.0
20190103:0510,0.0,0.0,-1.65,4.55,0.0
20190103:0610,0.0,0.0,-1.23,4.69,0.0
20190103:0710,0.0,0.0,-0.59,4.62,0.0
20190103:0810,64.95,6.38,-0.37,4.34,0.0
20190103:0910,18.09,11.35,0.12,4.0,0.0
20190103:1010,95.13,14.37,0.45,3.93,0.0
20190103:1110,405.1,15.18,0.8,4.41,0.0
20190103:1210,156.19,13.7,0.88,4.28,0.0
20190103:1310,41.6,10.08,0.14,4.0,0.0
20190103:1410,229.2,4.6,-0.04,3.72,0.0
20190103:1510,0.0,0.0,-0.82,3.17,0.0
20190103:1610,0.0,0.0,-1.37,3.24,0.0
20190103:1710,0.0,0.0,-1.75,3.17,0.0
20190103:1810,0.0,0.0,-2.09,3.1,0.0
20190103:1910,0.0,0.0,-2.07,3.24,0.0
20190103:2010,0.0,0.0,-2.26,3.17,0.0
20190103:2110,0.0,0.0,-2.34,3.03,0.0
20190103:2210,0.0,0.0,-2.61,2.83,0.0
20190103:2310,0.0,0.0,-2.67,2.62,0.0
20190104:0010,0.0,0.0,-2.7,2.48,0.0
20190104:0110,0.0,0.0,-2.91,2.34,0.0
20190104:0210,0.0,0.0,-3.04,2.34,0.0
20190104:0310,0.0,0.0,-3.11,2.34,0.0
