Latitude (decimal degrees):	52.767
Longitude (decimal degrees):	23.811
Elevation (m):	147
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -8 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,0.0,2.1,5.93,0.0
20200101:0111,0.0,0.0,0.0,0.0,1.74,5.52,0.0
20200101:0211,0.0,0.0,0.0,0.0,1.51,5.24,0.0
20200101:0311,0.0,0.0,0.0,0.0,0.94,5.03,0.0
20200101:0411,0.0,0.0,0.0,0.0,0.59,4.69,0.0
20200101:0511,0.0,0.0,0.0,0.0,0.42,4.41,0.0
20200101:0611,0.0,0.0,0.0,0.0,0.4,4.07,0.0
20200101:0711,10.73,14.17,0.37,2.98,0.47,3.59,0.0
20200101:0811,70.17,72.34,1.79,8.56,1.09,3.72,0.0
20200101:0911,7.29,67.69,1.79,12.38,1.75,3.24,0.0
20200101:1011,33.06,99.7,2.65,14.13,2.18,3.66,0.0
20200101:1111,85.01,115.93,3.09,13.65,2.34,3.66,0.0
20200101:1211,366.16,110.03,3.69,10.99,2.48,3.66,0.0
20200101:1311,157.97,67.93,1.67,6.37,2.09,3.45,0.0
20200101:1411,0.0,0.0,0.0,0.0,1.38,3.59,0.0
20200101:1511,0.0,0.0,0.0,0.0,0.66,4.14,0.0
20200101:1611,0.0,0.0,0.0,0.0,0.44,4.62,0.0
20200101:1711,0.0,0.0,0.0,0.0,0.17,4.62,0.0
20200101:1811,0.0,0.0,0.0,0.0,0.39,4.76,0.0
20200101:1911,0.0,0.0,0.0,0.0,0.34,4.14,0.0
20200101:2011,0.0,0.0,0.0,0.0,0.59,4.14,0.0
20200101:2111,0.0,0.0,0.0,0.0,0.73,4.21,0.0
20200101:2211,0.0,0.0,0.0,0.0,0.91,4.41,0.0
20200101:2311,0.0,0.0,0.0,0.0,0.97,4.55,0.0
20200102:0011,0.0,0.0,0.0,0.0,0.98,4.48,0.0
20200102:0111,0.0,0.0,0.0,0.0,0.88,4.28,0.0
20200102:0211,0.0,0.0,0.0,0.0,0.62,4.14,0.0
20200102:0311,0.0,0.0,0.0,0.0,0.27,4.14,0.0
20200102:0411,0.0,0.0,0.0,0.0,-0.13,4.21,0.0
20200102:0511,0.0,0.0,0.0,0.0,-0.47,4.28,0.0
20200102:0611,0.0,0.0,0.0,0.0,-0.82,4.07,0.0
20200102:0711,0.0,11.48,0.3,3.01,-0.25,4.14,0.0
20200102:0811,51.19,66.41,1.67,8.61,0.03,3.93,0.0
20200102:0911,119.74,117.63,3.04,12.45,0.75,3.59,0.0
20200102:1011,46.08,106.67,2.84,14.21,1.61,4.07,0.0
20200102:1111,3.25,65.91,1.74,13.75,2.4,4.21,0.0
20200102:1211,63.52,89.91,2.37,11.1,2.67,3.72,0.0
20200102:1311,47.17,51.06,1.28,6.49,2.75,4.28,0.0
20200102:1411,0.0,0.0,0.0,0.0,2.33,4.21,0.0
20200102:1511,0.0,0.0,0.0,0.0,1.96,4.21,0.0
20200102:1611,0.0,0.0,0.0,0.0,1.49,4.14,0.0
20200102:1711,0.0,0.0,0.0,0.0,1.07,3.93,0.0
20200102:1811,0.0,0.0,0.0,0.0,0.69,3.72,0.0
20200102:1911,0.0,0.0,0.0,0.0,0.56,3.66,0.0
20200102:2011,0.0,0.0,0.0,0.0,0.24,3.59,0.0
20200102:2111,0.0,0.0,0.0,0.0,0.13,3.59,0.0
20200102:2211,0.0,0.0,0.0,0.0,0.05,3.59,0.0
20200102:2311,0.0,0.0,0.0,0.0,-0.04,3.59,0.0
20200103:0011,0.0,0.0,0.0,0.0,-0.03,3.59,0.0
20200103:0111,0.0,0.0,0.0,0.0,-0.1,3.45,0.0
20200103:0211,0.0,0.0,0.0,0.0,-0.27,3.24,0.0
20200103:0311,0.0,0.0,0.0,0.0,-0.52,3.03,0.0
20200103:0411,0.0,0.0,0.0,0.0,-0.89,3.03,0.0
20200103:0511,0.0,0.0,0.0,0.0,-1.26,3.17,0.0
20200103:0611,0.0,0.0,0.0,0.0,-1.5,3.31,0.0
20200103:0711,157.23,26.69,0.7,3.05,-1.37,3.52,0.0
20200103:0811,407.1,97.25,2.95,8.66,-0.68,3.59,0.0
20200103:0911,545.25,112.52,4.65,12.52,0.44,3.38,0.0
20200103:1011,592.83,116.22,5.44,14.3,1.36,3.79,0.0
20200103:1111,559.55,112.03,5.23,13.85,1.78,4.28,0.0
20200103:1211,458.71,96.74,4.07,11.21,1.82,4.28,0.0
20200103:1311,306.54,64.23,2.14,6.62,1.5,4.62,0.0
20200103:1411,0.0,0.0,0.0,0.0,1.03,4.34,0.0
20200103:1511,0.0,0.0,0.0,0.0,0.88,4.41,0.0
20200103:1611,0.0,0.0,0.0,0.0,1.21,4.41,0.0
20200103:1711,0.0,0.0,0.0,0.0,1.52,4.14,0.0
20200103:1811,0.0,0.0,0.0,0.0,1.58,4.0,0.0
20200103:1911,0.0,0.0,0.0,0.0,0.6,4.07,0.0
20200103:2011,0.0,0.0,0.0,0.0,0.92,4.41,0.0
20200103:2111,0.0,0.0,0.0,0.0,1.55,4.83,0.0
20200103:2211,0.0,0.0,0.0,0.0,2.03,4.97,0.0
20200103:2311,0.0,0.0,0.0,0.0,2.19,4.9,0.0
20200104:0011,0.0,0.0,0.0,0.0,2.2,4.97,0.0
20200104:0111,0.0,0.0,0.0,0.0,2.23,5.31,0.0
20200104:0211,0.0,0.0,0.0,0.0,2.29,5.52,0.0
20200104:0311,0.0,0.0,0.0,0.0,2.5,5.59,0.0
20200104:0411,0.0,0.0,0.0,0.0,2.69,5.52,0.0
20200104:0511,0.0,0.0,0.0,0.0,2.93,5.38,0.0
20200104:0611,0.0,0.0,0.0,0.0,2.94,4.97,0.0
20200104:0711,61.98,21.02,0.53,3.09,2.35,4.62,0.0
20200104:0811,0.0,38.86,1.02,8.72,2.43,5.1,0.0
20200104:0911,68.24,104.02,2.72,12.59,2.51,5.17,0.0
20200104:1011,0.0,35.33,0.93,14.4,2.71,5.59,0.0
20200104:1111,0.0,37.09,0.98,13.96,2.81,5.72,0.0
20200104:1211,13.89,67.38,1.79,11.34,3.03,6.21,0.0
20200104:1311,22.86,42.99,1.12,6.75,2.8,6.07,0.0
20200104:1411,0.0,0.0,0.0,0.0,2.47,5.59,0.0
20200104:1511,0.0,0.0,0.0,0.0,2.32,5.17,0.0
20200104:1611,0.0,0.0,0.0,0.0,2.23,5.1,0.0
20200104:1711,0.0,0.0,0.0,0.0,1.84,4.69,0.0
20200104:1811,0.0,0.0,0.0,0.0,1.13,4.0,0.0
20200104:1911,0.0,0.0,0.0,0.0,1.0,4.28,0.0
20200104:2011,0.0,0.0,0.0,0.0,0.77,4.07,0.0
20200104:2111,0.0,0.0,0.0,0.0,0.75,4.07,0.0
20200104:2211,0.0,0.0,0.0,0.0,0.59,4.21,0.0
20200104:2311,0.0,0.0,0.0,0.0,0.57,4.55,0.0
20200105:0011,0.0,0.0,0.0,0.0,0.6,5.38,0.0
20200105:0111,0.0,0.0,0.0,0.0,0.64,5.1,0.0
20200105:0211,0.0,0.0,0.0,0.0,0.55,4.76,0.0
20200105:0311,0.0,0.0,0.0,0.0,0.27,4.69,0.0
20200105:0411,0.0,0.0,0.0,0.0,0.05,4.9,0.0
20200105:0511,0.0,0.0,0.0,0.0,-0.18,5.03,0.0
20200105:0611,0.0,0.0,0.0,0.0,-0.69,4.76,0.0
20200105:0711,40.64,18.95,0.49,3.14,-1.21,5.03,0.0
20200105:0811,260.03,108.27,2.65,8.79,-0.82,4.97,0.0
20200105:0911,267.82,143.31,3.86,12.68,-0.37,4.14,0.0
20200105:1011,38.88,106.62,2.84,14.5,-0.01,5.86,0.0
20200105:1111,105.43,127.96,3.42,14.08,0.17,5.72,0.0
20200105:1211,0.0,37.09,0.98,11.47,0.24,4.76,0.0
20200105:1311,0.0,19.43,0.51,6.89,0.12,4.48,0.0
20200105:1411,0.0,0.0,0.0,0.0,-0.2,3.93,0.0
20200105:1511,0.0,0.0,0.0,0.0,-0.99,3.45,0.0
20200105:1611,0.0,0.0,0.0,0.0,-1.81,2.97,0.0
20200105:1711,0.0,0.0,0.0,0.0,-2.49,2.69,0.0
20200105:1811,0.0,0.0,0.0,0.0,-2.88,2.62,0.0
20200105:1911,0.0,0.0,0.0,0.0,-3.34,2.69,0.0
20200105:2011,0.0,0.0,0.0,0.0,-3.51,2.55,0.0
20200105:2111,0.0,0.0,0.0,0.0,-3.51,2.14,0.0
20200105:2211,0.0,0.0,0.0,0.0,-3.69,1.86,0.0
20200105:2311,0.0,0.0,0.0,0.0,-3.98,1.86,0.0
20200106:0011,0.0,0.0,0.0,0.0,-3.68,1.93,0.0
20200106:0111,0.0,0.0,0.0,0.0,-3.52,2.0,0.0
20200106:0211,0.0,0.0,0.0,0.0,-3.76,2.21,0.0
20200106:0311,0.0,0.0,0.0,0.0,-3.73,2.34,0.0
20200106:0411,0.0,0.0,0.0,0.0,-3.78,2.34,0.0
20200106:0511,0.0,0.0,0.0,0.0,-3.61,2.48,0.0
20200106:0611,0.0,0.0,0.0,0.0,-3.17,2.76,0.0
20200106:0711,69.82,24.32,0.6,3.2,-2.29,3.1,0.0
20200106:0811,0.0,9.71,0.26,8.86,-1.67,3.24,0.0
20200106:0911,46.14,95.16,2.51,12.77,-1.12,3.1,0.0
20200106:1011,12.88,86.59,2.3,14.61,-0.68,3.24,0.0
20200106:1111,0.0,60.05,1.58,14.21,-0.3,3.66,0.0
20200106:1211,0.0,42.39,1.12,11.61,-0.24,3.52,0.0
20200106:1311,0.0,16.78,0.44,7.03,-0.21,3.93,0.0
20200106:1411,0.0,0.0,0.0,0.0,-0.33,3.59,0.0
20200106:1511,0.0,0.0,0.0,0.0,-0.34,3.1,0.0
20200106:1611,0.0,0.0,0.0,0.0,-0.29,2.83,0.0
20200106:1711,0.0,0.0,0.0,0.0,-0.26,2.69,0.0
20200106:1811,0.0,0.0,0.0,0.0,-0.19,2.62,0.0
20200106:1911,0.0,0.0,0.0,0.0,-0.22,2.55,0.0
20200106:2011,0.0,0.0,0.0,0.0,-0.23,2.55,0.0
20200106:2111,0.0,0.0,0.0,0.0,-0.19,2.48,0.0
20200106:2211,0.0,0.0,0.0,0.0,-0.28,2.21,0.0
20200106:2311,0.0,0.0,0.0,0.0,-0.26,2.0,0.0
20200107:0011,0.0,0.0,0.0,0.0,-0.24,2.0,0.0
20200107:0111,0.0,0.0,0.0,0.0,-0.12,2.0,0.0
20200107:0211,0.0,0.0,0.0,0.0,-0.19,2.07,0.0
20200107:0311,0.0,0.0,0.0,0.0,-0.19,2.14,0.0
20200107:0411,0.0,0.0,0.0,0.0,-0.23,2.0,0.0
20200107:0511,0.0,0.0,0.0,0.0,-0.42,1.93,0.0
20200107:0611,0.0,0.0,0.0,0.0,-0.54,1.86,0.0
20200107:0711,0.0,10.6,0.28,3.26,-0.16,1.86,0.0
20200107:0811,4.49,44.12,1.16,8.95,0.13,1.79,0.0
20200107:0911,0.0,48.57,1.28,12.87,0.52,2.0,0.0
20200107:1011,0.0,37.09,0.98,14.73,0.76,2.14,0.0
20200107:1111,0.0,35.33,0.93,14.34,1.11,2.28,0.0
20200107:1211,0.0,29.14,0.77,11.75,1.22,2.21,0.0
20200107:1311,0.0,20.31,0.53,7.18,1.17,2.0,0.0
20200107:1411,0.0,0.0,0.0,0.0,0.65,1.86,0.0
20200107:1511,0.0,0.0,0.0,0.0,-0.2,2.14,0.0
20200107:1611,0.0,0.0,0.0,0.0,-0.8,2.14,0.0
20200107:1711,0.0,0.0,0.0,0.0,-1.46,2.14,0.0
20200107:1811,0.0,0.0,0.0,0.0,-2.35,2.14,0.0
20200107:1911,0.0,0.0,0.0,0.0,-2.18,2.0,0.0
20200107:2011,0.0,0.0,0.0,0.0,-2.85,2.14,0.0
20200107:2111,0.0,0.0,0.0,0.0,-3.27,2.28,0.0
20200107:2211,0.0,0.0,0.0,0.0,-3.51,2.28,0.0
20200107:2311,0.0,0.0,0.0,0.0,-3.65,2.34,0.0
20200108:0011,0.0,0.0,0.0,0.0,-3.72,2.21,0.0
20200108:0111,0.0,0.0,0.0,0.0,-3.8,2.21,0.0
20200108:0211,0.0,0.0,0.0,0.0,-3.85,2.55,0.0
20200108:0311,0.0,0.0,0.0,0.0,-3.78,2.55,0.0
20200108:0411,0.0,0.0,0.0,0.0,-3.63,2.41,0.0
20200108:0511,0.0,0.0,0.0,0.0,-3.32,2.55,0.0
20200108:0611,0.0,0.0,0.0,0.0,-2.92,2.69,0.0
20200108:0711,0.0,7.07,0.19,3.34,-1.82,2.83,0.0
20200108:0811,4.45,42.3,1.12,9.03,-0.88,2.83,0.0
20200108:0911,0.0,15.9,0.42,12.98,0.2,3.72,0.0
20200108:1011,79.48,125.46,3.35,14.85,1.28,3.52,0.0
20200108:1111,0.0,32.68,0.86,14.48,1.93,3.59,0.0
20200108:1211,0.0,53.87,1.42,11.9,2.47,4.41,0.0
20200108:1311,4.27,34.31,0.91,7.34,2.62,4.69,0.0
20200108:1411,0.0,0.0,0.0,0.0,2.36,4.48,0.0
20200108:1511,0.0,0.0,0.0,0.0,2.16,4.41,0.0
20200108:1611,0.0,0.0,0.0,0.0,2.26,4.76,0.0
20200108:1711,0.0,0.0,0.0,0.0,2.51,4.69,0.0
20200108:1811,0.0,0.0,0.0,0.0,2.69,4.69,0.0
20200108:1911,0.0,0.0,0.0,0.0,2.75,4.41,0.0
20200108:2011,0.0,0.0,0.0,0.0,2.71,4.34,0.0
20200108:2111,0.0,0.0,0.0,0.0,2.77,4.34,0.0
20200108:2211,0.0,0.0,0.0,0.0,2.77,4.21,0.0
20200108:2311,0.0,0.0,0.0,0.0,2.82,4.21,0.0
20200109:0011,0.0,0.0,0.0,0.0,2.92,4.0,0.0
20200109:0111,0.0,0.0,0.0,0.0,3.03,3.72,0.0
20200109:0211,0.0,0.0,0.0,0.0,3.1,3.45,0.0
20200109:0311,0.0,0.0,0.0,0.0,3.21,3.17,0.0
20200109:0411,0.0,0.0,0.0,0.0,3.31,3.03,0.0
20200109:0511,0.0,0.0,0.0,0.0,3.45,2.9,0.0
20200109:0611,0.0,0.0,0.0,0.0,3.65,2.9,0.0
20200109:0711,0.0,7.07,0.19,3.41,3.42,2.48,0.0
