Latitude (decimal degrees):	51.277
Longitude (decimal degrees):	15.573
Elevation (m):	187
Radiation database:	PVGIS-SARAH2


Slope: 43 deg. (optimum)
Azimuth: -7 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,2.85,3.52,0.0
20200101:0110,0.0,0.0,0.0,0.0,2.85,3.38,0.0
20200101:0210,0.0,0.0,0.0,0.0,2.75,3.17,0.0
20200101:0310,0.0,0.0,0.0,0.0,2.62,3.03,0.0
20200101:0410,0.0,0.0,0.0,0.0,2.58,3.03,0.0
20200101:0510,0.0,0.0,0.0,0.0,2.4,2.9,0.0
20200101:0610,0.0,0.0,0.0,0.0,2.13,2.69,0.0
20200101:0710,0.0,0.0,0.0,0.0,2.22,3.1,0.0
20200101:0810,156.3,79.02,2.03,6.85,2.04,3.45,0.0
20200101:0910,366.48,136.84,4.55,11.86,2.21,3.72,0.0
20200101:1010,562.99,139.51,6.44,14.9,2.48,3.72,0.0
20200101:1110,538.67,148.88,6.71,15.68,2.73,3.59,0.0
20200101:1210,520.58,126.58,6.06,14.14,3.04,3.45,0.0
20200101:1310,379.4,105.55,4.17,10.42,3.11,3.31,0.0
20200101:1410,171.29,46.14,1.49,4.84,2.79,2.83,0.0
20200101:1510,0.0,0.0,0.0,0.0,1.8,2.48,0.0
20200101:1610,0.0,0.0,0.0,0.0,0.79,2.41,0.0
20200101:1710,0.0,0.0,0.0,0.0,-0.02,2.41,0.0
20200101:1810,0.0,0.0,0.0,0.0,-0.61,2.28,0.0
20200101:1910,0.0,0.0,0.0,0.0,-0.5,2.34,0.0
20200101:2010,0.0,0.0,0.0,0.0,-0.82,2.41,0.0
20200101:2110,0.0,0.0,0.0,0.0,-0.96,2.41,0.0
20200101:2210,0.0,0.0,0.0,0.0,-1.13,2.48,0.0
20200101:2310,0.0,0.0,0.0,0.0,-1.38,2.34,0.0
20200102:0010,0.0,0.0,0.0,0.0,-1.92,2.07,0.0
20200102:0110,0.0,0.0,0.0,0.0,-2.42,1.86,0.0
20200102:0210,0.0,0.0,0.0,0.0,-2.94,1.86,0.0
20200102:0310,0.0,0.0,0.0,0.0,-3.4,1.93,0.0
20200102:0410,0.0,0.0,0.0,0.0,-3.61,2.0,0.0
20200102:0510,0.0,0.0,0.0,0.0,-3.34,2.28,0.0
20200102:0610,0.0,0.0,0.0,0.0,-3.0,2.34,0.0
20200102:0710,0.0,0.0,0.0,0.0,-2.98,2.41,0.0
20200102:0810,194.3,86.18,2.19,6.88,-2.12,2.41,0.0
20200102:0910,513.2,124.09,5.11,11.92,0.76,2.28,0.0
20200102:1010,600.11,137.73,6.68,14.97,3.62,2.0,0.0
20200102:1110,573.77,149.46,6.98,15.77,5.22,1.72,0.0
20200102:1210,588.11,117.52,6.44,14.25,5.84,1.52,0.0
20200102:1310,310.5,117.87,4.03,10.54,5.45,1.45,0.0
20200102:1410,208.17,49.15,1.65,4.96,3.83,1.52,0.0
20200102:1510,0.0,0.0,0.0,0.0,1.26,1.59,0.0
20200102:1610,0.0,0.0,0.0,0.0,-0.85,1.72,0.0
20200102:1710,0.0,0.0,0.0,0.0,-2.03,1.79,0.0
20200102:1810,0.0,0.0,0.0,0.0,-2.78,2.0,0.0
20200102:1910,0.0,0.0,0.0,0.0,-2.54,2.34,0.0
20200102:2010,0.0,0.0,0.0,0.0,-2.29,2.41,0.0
20200102:2110,0.0,0.0,0.0,0.0,-2.08,2.48,0.0
20200102:2210,0.0,0.0,0.0,0.0,-1.87,2.48,0.0
20200102:2310,0.0,0.0,0.0,0.0,-1.55,2.55,0.0
20200103:0010,0.0,0.0,0.0,0.0,-1.18,2.62,0.0
20200103:0110,0.0,0.0,0.0,0.0,-1.01,2.55,0.0
20200103:0210,0.0,0.0,0.0,0.0,-1.07,2.55,0.0
20200103:0310,0.0,0.0,0.0,0.0,-1.02,2.69,0.0
20200103:0410,0.0,0.0,0.0,0.0,-1.06,2.83,0.0
20200103:0510,0.0,0.0,0.0,0.0,-0.9,2.97,0.0
20200103:0610,0.0,0.0,0.0,0.0,-0.47,3.17,0.0
20200103:0710,0.0,0.0,0.0,0.0,-1.05,3.38,0.0
20200103:0810,82.74,62.0,1.7,6.93,0.08,3.66,0.0
20200103:0910,204.32,126.58,3.84,11.97,1.61,3.86,0.0
20200103:1010,97.95,129.25,4.06,15.05,2.94,3.93,0.0
20200103:1110,204.85,158.82,5.14,15.87,3.83,4.07,0.0
20200103:1210,0.0,63.93,2.0,14.36,4.29,4.97,0.0
20200103:1310,3.62,49.01,1.54,10.66,4.46,5.1,0.0
20200103:1410,0.0,12.09,0.38,5.09,4.39,4.83,0.0
20200103:1510,0.0,0.0,0.0,0.0,3.97,4.62,0.0
20200103:1610,0.0,0.0,0.0,0.0,3.87,4.76,0.0
20200103:1710,0.0,0.0,0.0,0.0,3.97,4.9,0.0
20200103:1810,0.0,0.0,0.0,0.0,4.35,4.9,0.0
20200103:1910,0.0,0.0,0.0,0.0,4.5,5.45,0.0
20200103:2010,0.0,0.0,0.0,0.0,4.77,5.59,0.0
20200103:2110,0.0,0.0,0.0,0.0,5.1,5.66,0.0
20200103:2210,0.0,0.0,0.0,0.0,5.08,5.66,0.0
20200103:2310,0.0,0.0,0.0,0.0,5.02,5.52,0.0
20200104:0010,0.0,0.0,0.0,0.0,5.42,5.66,0.0
20200104:0110,0.0,0.0,0.0,0.0,5.74,5.79,0.0
20200104:0210,0.0,0.0,0.0,0.0,5.18,6.0,0.0
20200104:0310,0.0,0.0,0.0,0.0,3.99,5.31,0.0
20200104:0410,0.0,0.0,0.0,0.0,3.01,4.97,0.0
20200104:0510,0.0,0.0,0.0,0.0,2.33,4.83,0.0
20200104:0610,0.0,0.0,0.0,0.0,2.04,4.69,0.0
20200104:0710,0.0,0.0,0.0,0.0,2.42,4.76,0.0
20200104:0810,27.38,44.19,1.33,6.97,2.54,4.97,0.0
20200104:0910,3.76,59.46,1.87,12.04,2.82,5.45,0.0
20200104:1010,0.0,68.25,2.14,15.13,3.24,6.41,0.0
20200104:1110,3.09,75.71,2.38,15.97,3.4,5.79,0.0
20200104:1210,0.0,23.33,0.73,14.47,3.41,6.28,0.0
20200104:1310,0.0,19.01,0.6,10.79,2.77,6.21,0.0
20200104:1410,44.27,36.24,1.11,5.23,2.21,6.41,0.0
20200104:1510,0.0,0.0,0.0,0.0,2.07,6.62,0.0
20200104:1610,0.0,0.0,0.0,0.0,2.24,7.03,0.0
20200104:1710,0.0,0.0,0.0,0.0,2.34,7.17,0.0
20200104:1810,0.0,0.0,0.0,0.0,2.08,6.76,0.0
20200104:1910,0.0,0.0,0.0,0.0,2.07,6.07,0.0
20200104:2010,0.0,0.0,0.0,0.0,1.53,6.21,0.0
20200104:2110,0.0,0.0,0.0,0.0,0.95,6.0,0.0
20200104:2210,0.0,0.0,0.0,0.0,0.79,6.07,0.0
20200104:2310,0.0,0.0,0.0,0.0,0.71,5.93,0.0
20200105:0010,0.0,0.0,0.0,0.0,0.3,5.45,0.0
20200105:0110,0.0,0.0,0.0,0.0,0.04,5.1,0.0
20200105:0210,0.0,0.0,0.0,0.0,-0.11,4.97,0.0
20200105:0310,0.0,0.0,0.0,0.0,-0.52,4.69,0.0
20200105:0410,0.0,0.0,0.0,0.0,-0.64,4.62,0.0
20200105:0510,0.0,0.0,0.0,0.0,-0.78,4.34,0.0
20200105:0610,0.0,0.0,0.0,0.0,-1.06,4.0,0.0
20200105:0710,0.0,0.0,0.0,0.0,-1.17,3.66,0.0
20200105:0810,200.93,86.63,2.25,7.03,-1.17,3.17,0.0
20200105:0910,546.42,110.82,5.22,12.11,-0.58,3.1,0.0
20200105:1010,617.5,129.66,6.79,15.22,0.14,3.86,0.0
20200105:1110,608.23,135.83,7.14,16.08,0.73,3.66,0.0
20200105:1210,577.43,118.53,6.5,14.6,1.17,3.38,0.0
20200105:1310,355.38,114.14,4.3,10.92,1.29,3.31,0.0
20200105:1410,238.01,52.81,1.87,5.37,1.05,2.69,0.0
20200105:1510,0.0,0.0,0.0,0.0,0.24,2.28,0.0
20200105:1610,0.0,0.0,0.0,0.0,-0.54,2.07,0.0
20200105:1710,0.0,0.0,0.0,0.0,-0.89,2.07,0.0
20200105:1810,0.0,0.0,0.0,0.0,-1.01,2.14,0.0
20200105:1910,0.0,0.0,0.0,0.0,-1.03,2.07,0.0
20200105:2010,0.0,0.0,0.0,0.0,-1.15,2.07,0.0
20200105:2110,0.0,0.0,0.0,0.0,-1.12,2.14,0.0
20200105:2210,0.0,0.0,0.0,0.0,-1.19,2.28,0.0
20200105:2310,0.0,0.0,0.0,0.0,-1.22,2.34,0.0
20200106:0010,0.0,0.0,0.0,0.0,-1.03,2.34,0.0
20200106:0110,0.0,0.0,0.0,0.0,-0.35,2.34,0.0
20200106:0210,0.0,0.0,0.0,0.0,0.19,2.48,0.0
20200106:0310,0.0,0.0,0.0,0.0,0.5,2.48,0.0
20200106:0410,0.0,0.0,0.0,0.0,0.91,2.48,0.0
20200106:0510,0.0,0.0,0.0,0.0,0.98,2.48,0.0
