Latitude (decimal degrees):	50.837
Longitude (decimal degrees):	19.113
Elevation (m):	281
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -4 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,2.73,4.97,0.0
20200101:0110,0.0,0.0,0.0,0.0,2.33,4.48,0.0
20200101:0210,0.0,0.0,0.0,0.0,2.19,4.21,0.0
20200101:0310,0.0,0.0,0.0,0.0,2.11,4.14,0.0
20200101:0410,0.0,0.0,0.0,0.0,1.99,4.0,0.0
20200101:0510,0.0,0.0,0.0,0.0,1.83,3.86,0.0
20200101:0610,0.0,0.0,0.0,0.0,1.63,3.79,0.0
20200101:0710,0.0,0.0,0.0,0.0,0.65,3.66,0.0
20200101:0810,0.0,9.56,0.29,8.55,0.98,4.55,0.0
20200101:0910,20.81,82.92,2.5,13.17,1.38,4.48,0.0
20200101:1010,0.0,53.02,1.59,15.73,1.69,4.34,0.0
20200101:1110,70.28,127.31,3.88,15.96,1.86,4.48,0.0
20200101:1210,96.81,121.62,3.67,13.87,2.1,4.69,0.0
20200101:1310,73.79,81.18,2.37,9.63,2.15,4.69,0.0
20200101:1410,159.59,29.49,0.99,3.6,2.07,4.69,0.0
20200101:1510,0.0,0.0,0.0,0.0,1.83,3.79,0.0
20200101:1610,0.0,0.0,0.0,0.0,1.55,3.72,0.0
20200101:1710,0.0,0.0,0.0,0.0,1.03,3.59,0.0
20200101:1810,0.0,0.0,0.0,0.0,0.56,3.45,0.0
20200101:1910,0.0,0.0,0.0,0.0,-0.28,3.86,0.0
20200101:2010,0.0,0.0,0.0,0.0,-0.69,3.45,0.0
20200101:2110,0.0,0.0,0.0,0.0,-1.19,2.97,0.0
20200101:2210,0.0,0.0,0.0,0.0,-1.68,2.9,0.0
20200101:2310,0.0,0.0,0.0,0.0,-1.9,2.97,0.0
20200102:0010,0.0,0.0,0.0,0.0,-1.75,2.97,0.0
20200102:0110,0.0,0.0,0.0,0.0,-1.9,3.1,0.0
20200102:0210,0.0,0.0,0.0,0.0,-2.06,3.31,0.0
20200102:0310,0.0,0.0,0.0,0.0,-2.04,3.59,0.0
20200102:0410,0.0,0.0,0.0,0.0,-1.86,3.66,0.0
20200102:0510,0.0,0.0,0.0,0.0,-1.76,3.52,0.0
20200102:0610,0.0,0.0,0.0,0.0,-1.78,3.52,0.0
20200102:0710,0.0,0.0,0.0,0.0,-1.61,3.66,0.0
20200102:0810,95.17,82.74,2.26,8.58,-0.51,3.52,0.0
20200102:0910,127.81,128.26,3.77,13.23,1.56,3.45,0.0
20200102:1010,441.65,172.46,6.24,15.8,3.34,3.31,0.0
20200102:1110,422.9,175.52,6.3,16.06,4.61,3.24,0.0
20200102:1210,227.83,150.75,4.66,13.97,5.4,2.9,0.0
20200102:1310,196.21,108.14,3.15,9.75,5.03,2.69,0.0
