Latitude (decimal degrees):	53.574
Longitude (decimal degrees):	14.823
Elevation (m):	11
Radiation database:	PVGIS-SARAH2


Slope: 43 deg. (optimum)
Azimuth: -11 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,0.0,0.82,2.97,0.0
20200101:0111,0.0,0.0,0.0,0.0,0.48,3.24,0.0
20200101:0211,0.0,0.0,0.0,0.0,0.32,3.17,0.0
20200101:0311,0.0,0.0,0.0,0.0,0.08,2.97,0.0
20200101:0411,0.0,0.0,0.0,0.0,-0.15,2.9,0.0
20200101:0511,0.0,0.0,0.0,0.0,-0.34,2.9,0.0
20200101:0611,0.0,0.0,0.0,0.0,-0.27,2.97,0.0
20200101:0711,0.0,0.0,0.0,0.0,0.0,3.24,0.0
20200101:0811,0.0,19.94,0.61,4.79,0.13,3.31,0.0
20200101:0911,4.59,45.95,1.4,9.61,1.06,3.52,0.0
20200101:1011,0.0,37.28,1.14,12.56,2.08,3.45,0.0
20200101:1111,144.08,130.9,3.92,13.4,2.86,3.79,0.0
20200101:1211,0.0,44.22,1.35,12.06,3.28,4.41,0.0
20200101:1311,0.0,29.48,0.9,8.64,3.24,4.28,0.0
20200101:1411,0.0,2.6,0.08,3.44,3.06,4.14,0.0
20200101:1511,0.0,0.0,0.0,0.0,2.23,3.79,0.0
20200101:1611,0.0,0.0,0.0,0.0,1.65,3.72,0.0
20200101:1711,0.0,0.0,0.0,0.0,1.17,3.66,0.0
20200101:1811,0.0,0.0,0.0,0.0,0.9,3.52,0.0
20200101:1911,0.0,0.0,0.0,0.0,0.79,3.03,0.0
20200101:2011,0.0,0.0,0.0,0.0,0.43,2.69,0.0
20200101:2111,0.0,0.0,0.0,0.0,-0.08,2.48,0.0
20200101:2211,0.0,0.0,0.0,0.0,-0.67,2.48,0.0
20200101:2311,0.0,0.0,0.0,0.0,-1.07,2.69,0.0
20200102:0011,0.0,0.0,0.0,0.0,-1.23,2.9,0.0
20200102:0111,0.0,0.0,0.0,0.0,-1.44,3.17,0.0
20200102:0211,0.0,0.0,0.0,0.0,-1.55,3.45,0.0
20200102:0311,0.0,0.0,0.0,0.0,-1.57,3.38,0.0
20200102:0411,0.0,0.0,0.0,0.0,-1.68,3.24,0.0
20200102:0511,0.0,0.0,0.0,0.0,-1.78,3.38,0.0
20200102:0611,0.0,0.0,0.0,0.0,-1.77,3.59,0.0
20200102:0711,0.0,0.0,0.0,0.0,-1.43,3.17,0.0
20200102:0811,116.5,47.65,1.22,4.83,-1.33,3.03,0.0
20200102:0911,168.97,106.22,2.88,9.66,-0.26,2.97,0.0
20200102:1011,180.34,133.33,3.89,12.63,1.23,2.62,0.0
20200102:1111,216.79,145.43,4.39,13.49,2.47,2.83,0.0
20200102:1211,170.68,125.26,3.76,12.16,3.1,2.97,0.0
20200102:1311,53.44,68.82,2.04,8.76,3.07,3.1,0.0
20200102:1411,0.0,13.87,0.42,3.56,2.27,3.17,0.0
20200102:1511,0.0,0.0,0.0,0.0,0.92,3.31,0.0
20200102:1611,0.0,0.0,0.0,0.0,0.08,3.38,0.0
20200102:1711,0.0,0.0,0.0,0.0,-0.38,3.52,0.0
20200102:1811,0.0,0.0,0.0,0.0,-0.68,3.66,0.0
20200102:1911,0.0,0.0,0.0,0.0,-0.4,3.31,0.0
20200102:2011,0.0,0.0,0.0,0.0,-0.52,3.52,0.0
20200102:2111,0.0,0.0,0.0,0.0,-0.48,3.72,0.0
20200102:2211,0.0,0.0,0.0,0.0,-0.46,3.72,0.0
20200102:2311,0.0,0.0,0.0,0.0,-0.25,3.72,0.0
20200103:0011,0.0,0.0,0.0,0.0,0.18,3.72,0.0
20200103:0111,0.0,0.0,0.0,0.0,0.75,3.86,0.0
