Latitude (decimal degrees):	50.267
Longitude (decimal degrees):	19.017
Elevation (m):	266
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -5 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,3.26,4.62,0.0
20200101:0110,0.0,0.0,0.0,0.0,2.85,4.07,0.0
20200101:0210,0.0,0.0,0.0,0.0,2.8,3.79,0.0
20200101:0310,0.0,0.0,0.0,0.0,2.68,3.66,0.0
20200101:0410,0.0,0.0,0.0,0.0,2.32,3.52,0.0
20200101:0510,0.0,0.0,0.0,0.0,2.28,3.52,0.0
20200101:0610,0.0,0.0,0.0,0.0,1.98,3.38,0.0
20200101:0710,0.0,2.62,0.08,2.54,1.03,3.24,0.0
20200101:0810,13.11,52.57,1.53,8.97,1.45,3.86,0.0
20200101:0910,0.0,24.41,0.71,13.68,1.76,4.07,0.0
20200101:1010,0.0,64.52,1.89,16.28,2.02,4.0,0.0
20200101:1110,8.85,94.22,2.78,16.54,2.27,3.72,0.0
20200101:1210,0.0,60.16,1.76,14.42,2.44,3.86,0.0
20200101:1310,110.07,93.68,2.7,10.14,2.47,3.86,0.0
20200101:1410,180.83,32.98,1.15,4.05,2.47,3.52,0.0
20200101:1510,0.0,0.0,0.0,0.0,2.26,2.97,0.0
20200101:1610,0.0,0.0,0.0,0.0,1.53,2.69,0.0
20200101:1710,0.0,0.0,0.0,0.0,1.03,2.55,0.0
20200101:1810,0.0,0.0,0.0,0.0,0.67,2.55,0.0
20200101:1910,0.0,0.0,0.0,0.0,-0.42,3.03,0.0
20200101:2010,0.0,0.0,0.0,0.0,-0.85,2.83,0.0
20200101:2110,0.0,0.0,0.0,0.0,-1.4,2.41,0.0
20200101:2210,0.0,0.0,0.0,0.0,-2.08,2.14,0.0
20200101:2310,0.0,0.0,0.0,0.0,-2.69,2.21,0.0
20200102:0010,0.0,0.0,0.0,0.0,-3.03,2.34,0.0
20200102:0110,0.0,0.0,0.0,0.0,-3.22,2.34,0.0
20200102:0210,0.0,0.0,0.0,0.0,-3.24,2.41,0.0
20200102:0310,0.0,0.0,0.0,0.0,-3.19,2.55,0.0
20200102:0410,0.0,0.0,0.0,0.0,-2.99,2.76,0.0
20200102:0510,0.0,0.0,0.0,0.0,-2.81,2.62,0.0
20200102:0610,0.0,0.0,0.0,0.0,-2.85,2.41,0.0
20200102:0710,58.03,16.86,0.48,2.56,-2.81,2.69,0.0
20200102:0810,139.22,96.82,2.57,9.01,-1.42,2.62,0.0
20200102:0910,257.48,152.67,4.59,13.73,1.37,2.34,0.0
20200102:1010,629.65,138.75,7.03,16.35,3.66,2.62,0.0
20200102:1110,652.48,129.07,7.24,16.63,5.08,2.55,0.0
20200102:1210,483.54,142.04,5.89,14.53,5.81,2.48,0.0
20200102:1310,156.39,106.03,3.06,10.26,5.55,2.21,0.0
20200102:1410,0.0,11.33,0.33,4.17,4.37,2.55,0.0
20200102:1510,0.0,0.0,0.0,0.0,2.41,2.83,0.0
20200102:1610,0.0,0.0,0.0,0.0,0.81,2.76,0.0
20200102:1710,0.0,0.0,0.0,0.0,-0.31,2.55,0.0
20200102:1810,0.0,0.0,0.0,0.0,-1.45,2.21,0.0
20200102:1910,0.0,0.0,0.0,0.0,-2.36,2.0,0.0
20200102:2010,0.0,0.0,0.0,0.0,-2.68,2.07,0.0
20200102:2110,0.0,0.0,0.0,0.0,-2.96,2.55,0.0
20200102:2210,0.0,0.0,0.0,0.0,-2.74,2.76,0.0
20200102:2310,0.0,0.0,0.0,0.0,-2.43,2.83,0.0
20200103:0010,0.0,0.0,0.0,0.0,-2.15,2.83,0.0
20200103:0110,0.0,0.0,0.0,0.0,-1.83,3.03,0.0
20200103:0210,0.0,0.0,0.0,0.0,-1.42,3.24,0.0
20200103:0310,0.0,0.0,0.0,0.0,-1.1,3.45,0.0
20200103:0410,0.0,0.0,0.0,0.0,-0.9,3.52,0.0
20200103:0510,0.0,0.0,0.0,0.0,-0.74,3.59,0.0
20200103:0610,0.0,0.0,0.0,0.0,-0.55,3.79,0.0
20200103:0710,80.28,18.64,0.54,2.58,-0.38,4.41,0.0
20200103:0810,398.17,94.8,3.36,9.05,0.36,4.55,0.0
20200103:0910,572.73,112.24,5.68,13.79,1.6,4.76,0.0
20200103:1010,666.09,112.84,7.01,16.44,2.95,4.9,0.0
20200103:1110,702.22,97.16,7.26,16.73,3.72,5.03,0.0
20200103:1210,630.83,86.2,6.24,14.65,4.1,4.97,0.0
20200103:1310,428.84,86.57,4.03,10.39,3.95,5.17,0.0
20200103:1410,120.68,37.76,1.12,4.3,3.04,4.62,0.0
20200103:1510,0.0,0.0,0.0,0.0,1.58,4.34,0.0
20200103:1610,0.0,0.0,0.0,0.0,0.88,4.48,0.0
20200103:1710,0.0,0.0,0.0,0.0,0.82,4.76,0.0
20200103:1810,0.0,0.0,0.0,0.0,0.94,4.9,0.0
20200103:1910,0.0,0.0,0.0,0.0,0.24,5.59,0.0
20200103:2010,0.0,0.0,0.0,0.0,0.43,5.86,0.0
20200103:2110,0.0,0.0,0.0,0.0,0.72,5.93,0.0
