Latitude (decimal degrees):	54.202
Longitude (decimal degrees):	16.176
Elevation (m):	29
Radiation database:	PVGIS-SARAH2


Slope: 43 deg. (optimum)
Azimuth: 1 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,0.0,2.91,3.52,0.0
20200101:0111,0.0,0.0,0.0,0.0,2.69,3.79,0.0
20200101:0211,0.0,0.0,0.0,0.0,2.77,4.14,0.0
20200101:0311,0.0,0.0,0.0,0.0,2.8,4.07,0.0
20200101:0411,0.0,0.0,0.0,0.0,2.91,4.21,0.0
20200101:0511,0.0,0.0,0.0,0.0,3.18,4.28,0.0
20200101:0611,0.0,0.0,0.0,0.0,3.43,4.41,0.0
20200101:0711,0.0,0.0,0.0,0.0,3.72,5.1,0.0
20200101:0811,0.0,4.33,0.13,4.8,3.96,5.45,0.0
20200101:0911,0.0,18.18,0.56,9.39,4.41,5.79,0.0
20200101:1011,0.0,55.39,1.71,12.11,4.58,6.34,0.0
20200101:1111,0.0,14.71,0.45,12.74,4.59,6.14,0.0
20200101:1211,0.0,24.23,0.75,11.23,4.55,6.62,0.0
20200101:1311,30.64,52.33,1.55,7.7,4.27,6.48,0.0
20200101:1411,0.0,1.73,0.05,2.44,4.01,6.76,0.0
20200101:1511,0.0,0.0,0.0,0.0,3.51,6.48,0.0
20200101:1611,0.0,0.0,0.0,0.0,3.14,6.34,0.0
20200101:1711,0.0,0.0,0.0,0.0,2.67,6.07,0.0
20200101:1811,0.0,0.0,0.0,0.0,2.46,5.86,0.0
20200101:1911,0.0,0.0,0.0,0.0,2.25,5.79,0.0
20200101:2011,0.0,0.0,0.0,0.0,2.15,5.38,0.0
20200101:2111,0.0,0.0,0.0,0.0,1.96,5.17,0.0
20200101:2211,0.0,0.0,0.0,0.0,1.64,5.1,0.0
20200101:2311,0.0,0.0,0.0,0.0,1.2,5.17,0.0
20200102:0011,0.0,0.0,0.0,0.0,0.85,5.45,0.0
20200102:0111,0.0,0.0,0.0,0.0,0.63,5.45,0.0
20200102:0211,0.0,0.0,0.0,0.0,0.53,5.24,0.0
20200102:0311,0.0,0.0,0.0,0.0,0.32,5.24,0.0
