Latitude (decimal degrees):	50.062
Longitude (decimal degrees):	19.824
Elevation (m):	253
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -3 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,3.11,4.76,0.0
20200101:0110,0.0,0.0,0.0,0.0,2.72,4.34,0.0
20200101:0210,0.0,0.0,0.0,0.0,2.54,4.07,0.0
20200101:0310,0.0,0.0,0.0,0.0,2.3,3.86,0.0
20200101:0410,0.0,0.0,0.0,0.0,2.09,3.66,0.0
20200101:0510,0.0,0.0,0.0,0.0,1.8,3.52,0.0
20200101:0610,0.0,0.0,0.0,0.0,1.64,3.31,0.0
20200101:0710,0.0,12.02,0.39,3.06,0.75,3.38,0.0
20200101:0810,12.4,54.02,1.59,9.44,1.25,4.0,0.0
20200101:0910,101.17,124.82,3.7,14.06,1.67,3.86,0.0
20200101:1010,0.0,41.8,1.23,16.56,1.9,3.86,0.0
20200101:1110,0.0,33.96,1.0,16.69,2.07,3.93,0.0
20200101:1210,0.0,40.93,1.21,14.44,2.24,4.14,0.0
20200101:1310,185.31,104.19,3.06,10.03,2.23,4.21,0.0
20200101:1410,182.93,31.63,1.08,3.82,2.15,4.0,0.0
20200101:1510,0.0,0.0,0.0,0.0,1.8,3.38,0.0
20200101:1610,0.0,0.0,0.0,0.0,1.54,3.52,0.0
20200101:1710,0.0,0.0,0.0,0.0,1.12,3.38,0.0
20200101:1810,0.0,0.0,0.0,0.0,0.84,3.24,0.0
20200101:1910,0.0,0.0,0.0,0.0,0.12,3.38,0.0
20200101:2010,0.0,0.0,0.0,0.0,-0.15,3.1,0.0
20200101:2110,0.0,0.0,0.0,0.0,-0.57,2.76,0.0
20200101:2210,0.0,0.0,0.0,0.0,-1.17,2.62,0.0
20200101:2310,0.0,0.0,0.0,0.0,-1.56,2.62,0.0
20200102:0010,0.0,0.0,0.0,0.0,-1.86,2.69,0.0
20200102:0110,0.0,0.0,0.0,0.0,-1.94,2.76,0.0
20200102:0210,0.0,0.0,0.0,0.0,-1.95,2.83,0.0
20200102:0310,0.0,0.0,0.0,0.0,-1.7,3.03,0.0
20200102:0410,0.0,0.0,0.0,0.0,-1.65,3.1,0.0
20200102:0510,0.0,0.0,0.0,0.0,-1.55,3.03,0.0
20200102:0610,0.0,0.0,0.0,0.0,-1.59,2.9,0.0
20200102:0710,0.0,12.82,0.41,3.08,-1.55,3.03,0.0
20200102:0810,82.28,86.33,2.42,9.47,0.05,2.9,0.0
20200102:0910,117.05,132.23,3.91,14.12,2.75,2.97,0.0
20200102:1010,282.47,180.3,5.73,16.63,5.03,2.97,0.0
20200102:1110,493.13,171.69,6.79,16.78,6.25,2.83,0.0
20200102:1210,292.79,158.95,5.12,14.55,6.72,2.48,0.0
20200102:1310,179.89,108.21,3.14,10.15,6.08,2.34,0.0
20200102:1410,0.0,9.58,0.28,3.95,4.32,2.41,0.0
20200102:1510,0.0,0.0,0.0,0.0,1.84,2.48,0.0
20200102:1610,0.0,0.0,0.0,0.0,-0.1,2.28,0.0
20200102:1710,0.0,0.0,0.0,0.0,-1.42,2.07,0.0
20200102:1810,0.0,0.0,0.0,0.0,-2.5,2.0,0.0
20200102:1910,0.0,0.0,0.0,0.0,-3.2,2.0,0.0
20200102:2010,0.0,0.0,0.0,0.0,-3.55,2.0,0.0
20200102:2110,0.0,0.0,0.0,0.0,-3.74,2.0,0.0
20200102:2210,0.0,0.0,0.0,0.0,-3.9,2.07,0.0
20200102:2310,0.0,0.0,0.0,0.0,-3.92,2.07,0.0
20200103:0010,0.0,0.0,0.0,0.0,-3.94,2.07,0.0
20200103:0110,0.0,0.0,0.0,0.0,-3.97,2.0,0.0
20200103:0210,0.0,0.0,0.0,0.0,-4.04,2.0,0.0
20200103:0310,0.0,0.0,0.0,0.0,-3.98,2.14,0.0
20200103:0410,0.0,0.0,0.0,0.0,-3.91,2.14,0.0
20200103:0510,0.0,0.0,0.0,0.0,-3.83,2.21,0.0
20200103:0610,0.0,0.0,0.0,0.0,-3.73,2.28,0.0
20200103:0710,0.0,13.62,0.44,3.1,-2.84,2.83,0.0
20200103:0810,392.94,97.28,3.57,9.52,-0.98,2.69,0.0
20200103:0910,592.5,107.67,5.96,14.18,1.82,2.69,0.0
20200103:1010,672.2,114.16,7.22,16.72,3.98,2.76,0.0
20200103:1110,672.05,113.19,7.3,16.88,5.23,3.03,0.0
20200103:1210,588.38,106.42,6.17,14.66,5.57,3.52,0.0
20200103:1310,408.38,93.79,3.93,10.27,5.38,3.66,0.0
20200103:1410,103.66,34.32,1.0,4.08,4.18,3.52,0.0
20200103:1510,0.0,0.0,0.0,0.0,2.36,3.38,0.0
20200103:1610,0.0,0.0,0.0,0.0,1.29,3.31,0.0
20200103:1710,0.0,0.0,0.0,0.0,0.99,3.38,0.0
20200103:1810,0.0,0.0,0.0,0.0,1.13,3.45,0.0
20200103:1910,0.0,0.0,0.0,0.0,0.53,3.93,0.0
20200103:2010,0.0,0.0,0.0,0.0,1.04,4.55,0.0
20200103:2110,0.0,0.0,0.0,0.0,1.62,5.17,0.0
20200103:2210,0.0,0.0,0.0,0.0,2.0,5.24,0.0
20200103:2310,0.0,0.0,0.0,0.0,2.18,5.03,0.0
20200104:0010,0.0,0.0,0.0,0.0,2.67,5.38,0.0
20200104:0110,0.0,0.0,0.0,0.0,2.92,5.45,0.0
20200104:0210,0.0,0.0,0.0,0.0,3.22,5.59,0.0
20200104:0310,0.0,0.0,0.0,0.0,3.17,5.66,0.0
20200104:0410,0.0,0.0,0.0,0.0,3.72,5.86,0.0
20200104:0510,0.0,0.0,0.0,0.0,3.96,5.79,0.0
20200104:0610,0.0,0.0,0.0,0.0,4.05,5.72,0.0
20200104:0710,0.0,12.82,0.41,3.14,4.05,5.79,0.0
20200104:0810,32.56,66.09,1.93,9.57,3.24,5.31,0.0
20200104:0910,103.13,124.9,3.73,14.25,2.78,5.1,0.0
20200104:1010,474.65,164.98,6.55,16.81,2.6,4.97,0.0
20200104:1110,0.0,75.75,2.24,16.99,2.53,5.1,0.0
20200104:1210,0.0,60.95,1.8,14.79,2.5,4.69,0.0
20200104:1310,0.0,30.48,0.9,10.4,2.67,5.1,0.0
20200104:1410,0.0,12.19,0.36,4.22,2.46,4.76,0.0
20200104:1510,0.0,0.0,0.0,0.0,2.03,4.97,0.0
20200104:1610,0.0,0.0,0.0,0.0,1.58,5.38,0.0
20200104:1710,0.0,0.0,0.0,0.0,1.23,5.79,0.0
20200104:1810,0.0,0.0,0.0,0.0,1.2,6.28,0.0
20200104:1910,0.0,0.0,0.0,0.0,1.34,6.76,0.0
20200104:2010,0.0,0.0,0.0,0.0,1.33,6.76,0.0
