Latitude (decimal degrees):	51.260
Longitude (decimal degrees):	22.544
Elevation (m):	200
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -5 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,2.5,5.31,0.0
20200101:0110,0.0,0.0,0.0,0.0,2.1,5.03,0.0
20200101:0210,0.0,0.0,0.0,0.0,1.86,4.76,0.0
20200101:0310,0.0,0.0,0.0,0.0,1.58,4.48,0.0
20200101:0410,0.0,0.0,0.0,0.0,1.38,4.21,0.0
20200101:0510,0.0,0.0,0.0,0.0,1.0,3.79,0.0
20200101:0610,0.0,0.0,0.0,0.0,0.49,3.31,0.0
20200101:0710,0.0,13.92,0.41,3.49,-0.22,2.97,0.0
20200101:0810,21.61,59.79,1.76,9.42,0.13,2.9,0.0
20200101:0910,0.0,61.77,1.84,13.55,0.82,3.03,0.0
20200101:1010,3.15,78.01,2.33,15.57,1.59,3.59,0.0
20200101:1110,9.38,85.42,2.56,15.27,2.22,3.79,0.0
20200101:1210,97.77,111.11,3.31,12.68,2.34,3.38,0.0
20200101:1310,193.68,88.08,2.51,8.05,2.2,3.52,0.0
20200101:1410,0.0,0.0,0.0,0.0,1.86,3.31,0.0
20200101:1510,0.0,0.0,0.0,0.0,1.39,3.45,0.0
20200101:1610,0.0,0.0,0.0,0.0,1.15,3.79,0.0
20200101:1710,0.0,0.0,0.0,0.0,0.98,3.93,0.0
20200101:1810,0.0,0.0,0.0,0.0,0.69,3.93,0.0
20200101:1910,0.0,0.0,0.0,0.0,0.95,3.72,0.0
20200101:2010,0.0,0.0,0.0,0.0,0.84,3.72,0.0
20200101:2110,0.0,0.0,0.0,0.0,0.72,3.66,0.0
20200101:2210,0.0,0.0,0.0,0.0,0.59,3.72,0.0
20200101:2310,0.0,0.0,0.0,0.0,0.41,3.72,0.0
20200102:0010,0.0,0.0,0.0,0.0,0.12,3.66,0.0
20200102:0110,0.0,0.0,0.0,0.0,-0.09,3.59,0.0
20200102:0210,0.0,0.0,0.0,0.0,-0.3,3.45,0.0
20200102:0310,0.0,0.0,0.0,0.0,-0.53,3.17,0.0
20200102:0410,0.0,0.0,0.0,0.0,-0.6,3.1,0.0
20200102:0510,0.0,0.0,0.0,0.0,-1.01,3.17,0.0
20200102:0610,0.0,0.0,0.0,0.0,-1.08,3.31,0.0
20200102:0710,27.16,20.49,0.59,3.52,-0.62,3.52,0.0
20200102:0810,86.05,85.16,2.38,9.46,-0.01,3.59,0.0
20200102:0910,349.32,153.78,4.96,13.62,0.82,2.97,0.0
20200102:1010,288.61,169.64,5.38,15.65,2.04,3.38,0.0
20200102:1110,167.97,152.66,4.63,15.37,2.94,3.31,0.0
20200102:1210,53.6,99.69,2.97,12.79,3.55,3.24,0.0
20200102:1310,123.37,81.83,2.28,8.17,3.73,3.1,0.0
20200102:1410,0.0,0.0,0.0,0.0,3.41,3.03,0.0
20200102:1510,0.0,0.0,0.0,0.0,2.78,3.03,0.0
20200102:1610,0.0,0.0,0.0,0.0,2.14,3.03,0.0
20200102:1710,0.0,0.0,0.0,0.0,1.59,3.03,0.0
20200102:1810,0.0,0.0,0.0,0.0,1.17,2.9,0.0
20200102:1910,0.0,0.0,0.0,0.0,1.05,3.03,0.0
20200102:2010,0.0,0.0,0.0,0.0,0.79,3.03,0.0
20200102:2110,0.0,0.0,0.0,0.0,0.57,2.97,0.0
20200102:2210,0.0,0.0,0.0,0.0,0.35,2.83,0.0
20200102:2310,0.0,0.0,0.0,0.0,0.09,2.76,0.0
20200103:0010,0.0,0.0,0.0,0.0,-0.09,2.76,0.0
20200103:0110,0.0,0.0,0.0,0.0,-0.15,2.83,0.0
20200103:0210,0.0,0.0,0.0,0.0,-0.11,2.97,0.0
20200103:0310,0.0,0.0,0.0,0.0,-0.07,3.1,0.0
