Latitude (decimal degrees):	53.761
Longitude (decimal degrees):	20.488
Elevation (m):	104
Radiation database:	PVGIS-SARAH2


Slope: 42 deg. (optimum)
Azimuth: -5 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,0.0,1.75,3.93,0.0
20200101:0111,0.0,0.0,0.0,0.0,1.4,3.59,0.0
20200101:0211,0.0,0.0,0.0,0.0,1.05,3.31,0.0
20200101:0311,0.0,0.0,0.0,0.0,0.32,3.31,0.0
20200101:0411,0.0,0.0,0.0,0.0,-0.15,3.17,0.0
20200101:0511,0.0,0.0,0.0,0.0,-0.62,3.17,0.0
20200101:0611,0.0,0.0,0.0,0.0,-0.8,3.17,0.0
20200101:0711,0.0,0.0,0.0,0.0,-0.44,3.38,0.0
20200101:0811,0.0,27.01,0.79,6.65,-0.07,3.45,0.0
20200101:0911,102.98,98.15,2.74,10.78,0.83,3.59,0.0
20200101:1011,233.53,139.74,4.07,12.95,1.77,4.76,0.0
20200101:1111,0.0,30.49,0.9,12.96,2.34,5.03,0.0
20200101:1211,0.0,19.17,0.56,10.82,2.74,5.24,0.0
20200101:1311,0.0,9.58,0.28,6.72,2.85,5.38,0.0
20200101:1411,0.0,0.0,0.0,0.0,2.85,4.9,0.0
20200101:1511,0.0,0.0,0.0,0.0,2.78,5.03,0.0
20200101:1611,0.0,0.0,0.0,0.0,2.69,5.31,0.0
20200101:1711,0.0,0.0,0.0,0.0,2.47,5.38,0.0
20200101:1811,0.0,0.0,0.0,0.0,2.15,5.38,0.0
20200101:1911,0.0,0.0,0.0,0.0,1.96,4.97,0.0
20200101:2011,0.0,0.0,0.0,0.0,1.81,4.9,0.0
20200101:2111,0.0,0.0,0.0,0.0,1.47,4.62,0.0
20200101:2211,0.0,0.0,0.0,0.0,1.22,4.41,0.0
20200101:2311,0.0,0.0,0.0,0.0,0.89,4.41,0.0
20200102:0011,0.0,0.0,0.0,0.0,0.41,4.41,0.0
20200102:0111,0.0,0.0,0.0,0.0,-0.01,4.14,0.0
20200102:0211,0.0,0.0,0.0,0.0,-0.54,3.93,0.0
20200102:0311,0.0,0.0,0.0,0.0,-0.8,4.14,0.0
20200102:0411,0.0,0.0,0.0,0.0,-0.8,4.28,0.0
20200102:0511,0.0,0.0,0.0,0.0,-0.72,4.55,0.0
20200102:0611,0.0,0.0,0.0,0.0,-0.44,4.83,0.0
20200102:0711,0.0,0.0,0.0,0.0,0.16,4.9,0.0
20200102:0811,57.07,55.31,1.46,6.7,0.49,4.9,0.0
20200102:0911,131.14,107.79,2.97,10.84,1.28,4.97,0.0
20200102:1011,134.34,126.31,3.61,13.03,2.39,4.97,0.0
20200102:1111,170.96,134.4,3.87,13.06,3.14,4.69,0.0
20200102:1211,26.97,73.48,2.15,10.93,3.47,4.34,0.0
