Latitude (decimal degrees):	54.387
Longitude (decimal degrees):	18.430
Elevation (m):	121
Radiation database:	PVGIS-SARAH2


Slope: 43 deg. (optimum)
Azimuth: -2 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0011,0.0,0.0,0.0,0.0,1.21,3.59,0.0
20200101:0111,0.0,0.0,0.0,0.0,0.67,3.52,0.0
20200101:0211,0.0,0.0,0.0,0.0,0.2,3.45,0.0
20200101:0311,0.0,0.0,0.0,0.0,-0.06,3.72,0.0
20200101:0411,0.0,0.0,0.0,0.0,-0.05,3.93,0.0
20200101:0511,0.0,0.0,0.0,0.0,0.18,4.14,0.0
20200101:0611,0.0,0.0,0.0,0.0,0.8,4.41,0.0
20200101:0711,0.0,0.0,0.0,0.0,2.02,5.31,0.0
20200101:0811,66.68,47.1,1.31,5.45,2.42,5.79,0.0
20200101:0911,53.43,76.88,2.32,9.75,3.33,5.93,0.0
20200101:1011,147.73,123.68,3.68,12.16,4.31,6.62,0.0
20200101:1111,7.62,66.26,2.1,12.47,5.06,7.38,0.0
20200101:1211,0.0,39.69,1.26,10.65,5.21,6.9,0.0
20200101:1311,27.25,44.22,1.34,6.86,4.82,6.55,0.0
20200101:1411,0.0,0.0,0.0,0.0,4.08,6.34,0.0
20200101:1511,0.0,0.0,0.0,0.0,3.63,6.41,0.0
20200101:1611,0.0,0.0,0.0,0.0,3.44,6.34,0.0
20200101:1711,0.0,0.0,0.0,0.0,3.29,6.21,0.0
20200101:1811,0.0,0.0,0.0,0.0,3.04,6.14,0.0
20200101:1911,0.0,0.0,0.0,0.0,2.59,6.21,0.0
20200101:2011,0.0,0.0,0.0,0.0,2.54,6.14,0.0
20200101:2111,0.0,0.0,0.0,0.0,2.49,6.07,0.0
20200101:2211,0.0,0.0,0.0,0.0,2.47,6.21,0.0
20200101:2311,0.0,0.0,0.0,0.0,2.22,6.41,0.0
20200102:0011,0.0,0.0,0.0,0.0,1.72,6.62,0.0
20200102:0111,0.0,0.0,0.0,0.0,1.28,6.62,0.0
20200102:0211,0.0,0.0,0.0,0.0,0.82,6.55,0.0
20200102:0311,0.0,0.0,0.0,0.0,0.65,6.41,0.0
20200102:0411,0.0,0.0,0.0,0.0,0.5,6.07,0.0
20200102:0511,0.0,0.0,0.0,0.0,0.47,5.93,0.0
20200102:0611,0.0,0.0,0.0,0.0,0.55,5.93,0.0
20200102:0711,0.0,0.0,0.0,0.0,0.83,6.07,0.0
20200102:0811,138.9,60.9,1.58,5.49,0.97,6.07,0.0
20200102:0911,199.23,114.35,3.22,9.81,1.91,6.21,0.0
20200102:1011,324.81,149.52,4.61,12.23,3.03,6.28,0.0
20200102:1111,314.41,151.74,4.69,12.56,3.91,5.93,0.0
20200102:1211,209.58,123.9,3.6,10.75,4.46,6.21,0.0
20200102:1311,96.74,69.26,1.88,6.97,4.5,5.79,0.0
20200102:1411,0.0,0.0,0.0,0.0,3.88,5.45,0.0
20200102:1511,0.0,0.0,0.0,0.0,3.14,5.17,0.0
20200102:1611,0.0,0.0,0.0,0.0,2.61,5.03,0.0
20200102:1711,0.0,0.0,0.0,0.0,2.28,4.97,0.0
