Latitude (decimal degrees):	52.238
Longitude (decimal degrees):	20.998
Elevation (m):	114
Radiation database:	PVGIS-SARAH2


Slope: 41 deg. (optimum)
Azimuth: -8 deg. (optimum)
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,0.0,2.49,4.41,0.0
20200101:0110,0.0,0.0,0.0,0.0,2.04,3.93,0.0
20200101:0210,0.0,0.0,0.0,0.0,1.51,3.59,0.0
20200101:0310,0.0,0.0,0.0,0.0,0.98,3.38,0.0
20200101:0410,0.0,0.0,0.0,0.0,0.36,3.1,0.0
20200101:0510,0.0,0.0,0.0,0.0,-0.3,2.83,0.0
20200101:0610,0.0,0.0,0.0,0.0,-0.78,2.76,0.0
20200101:0710,0.0,0.0,0.0,0.0,-0.64,2.9,0.0
20200101:0810,0.0,8.74,0.25,8.08,-0.12,2.76,0.0
20200101:0910,3.71,62.79,1.8,12.31,0.86,3.38,0.0
20200101:1010,0.0,59.45,1.7,14.5,1.55,3.79,0.0
20200101:1110,0.0,60.32,1.73,14.44,1.73,3.86,0.0
20200101:1210,0.0,27.1,0.78,12.14,1.69,4.21,0.0
20200101:1310,0.0,7.87,0.23,7.81,1.37,4.28,0.0
20200101:1410,0.0,0.0,0.0,0.0,1.11,4.55,0.0
20200101:1510,0.0,0.0,0.0,0.0,0.93,4.55,0.0
20200101:1610,0.0,0.0,0.0,0.0,1.03,3.86,0.0
20200101:1710,0.0,0.0,0.0,0.0,1.19,3.86,0.0
20200101:1810,0.0,0.0,0.0,0.0,1.25,3.79,0.0
20200101:1910,0.0,0.0,0.0,0.0,1.46,3.72,0.0
20200101:2010,0.0,0.0,0.0,0.0,1.4,3.72,0.0
20200101:2110,0.0,0.0,0.0,0.0,1.15,3.59,0.0
20200101:2210,0.0,0.0,0.0,0.0,0.47,3.45,0.0
20200101:2310,0.0,0.0,0.0,0.0,0.16,3.52,0.0
20200102:0010,0.0,0.0,0.0,0.0,0.01,3.66,0.0
20200102:0110,0.0,0.0,0.0,0.0,-0.16,3.79,0.0
20200102:0210,0.0,0.0,0.0,0.0,-0.25,3.59,0.0
20200102:0310,0.0,0.0,0.0,0.0,-0.65,3.38,0.0
20200102:0410,0.0,0.0,0.0,0.0,-0.89,3.38,0.0
20200102:0510,0.0,0.0,0.0,0.0,-1.06,3.45,0.0
20200102:0610,0.0,0.0,0.0,0.0,-0.97,3.45,0.0
20200102:0710,0.0,0.0,0.0,0.0,-0.67,3.66,0.0
20200102:0810,98.37,77.93,2.0,8.12,-0.04,3.93,0.0
20200102:0910,184.66,131.63,3.65,12.37,0.97,4.14,0.0
20200102:1010,184.43,150.36,4.33,14.57,2.17,3.72,0.0
20200102:1110,41.69,106.36,3.08,14.53,3.2,3.59,0.0
20200102:1210,23.79,79.71,2.3,12.25,3.83,4.14,0.0
20200102:1310,105.64,77.08,2.08,7.92,4.0,3.72,0.0
20200102:1410,0.0,0.0,0.0,0.0,3.3,3.45,0.0
20200102:1510,0.0,0.0,0.0,0.0,2.19,3.31,0.0
20200102:1610,0.0,0.0,0.0,0.0,1.45,3.17,0.0
20200102:1710,0.0,0.0,0.0,0.0,0.9,3.03,0.0
20200102:1810,0.0,0.0,0.0,0.0,0.52,2.97,0.0
20200102:1910,0.0,0.0,0.0,0.0,0.57,2.97,0.0
20200102:2010,0.0,0.0,0.0,0.0,0.32,2.83,0.0
20200102:2110,0.0,0.0,0.0,0.0,0.01,2.69,0.0
20200102:2210,0.0,0.0,0.0,0.0,-0.32,2.62,0.0
20200102:2310,0.0,0.0,0.0,0.0,-0.64,2.62,0.0
20200103:0010,0.0,0.0,0.0,0.0,-0.81,2.69,0.0
20200103:0110,0.0,0.0,0.0,0.0,-0.76,2.83,0.0
20200103:0210,0.0,0.0,0.0,0.0,-0.82,2.97,0.0
20200103:0310,0.0,0.0,0.0,0.0,-0.93,3.03,0.0
20200103:0410,0.0,0.0,0.0,0.0,-1.04,3.1,0.0
20200103:0510,0.0,0.0,0.0,0.0,-1.16,3.1,0.0
20200103:0610,0.0,0.0,0.0,0.0,-1.21,3.1,0.0
20200103:0710,0.0,0.0,0.0,0.0,-1.01,3.31,0.0
20200103:0810,312.87,99.44,2.73,8.17,-0.51,3.24,0.0
20200103:0910,22.05,78.4,2.25,12.44,0.67,2.97,0.0
20200103:1010,0.0,54.2,1.55,14.66,1.83,3.31,0.0
20200103:1110,0.0,44.59,1.28,14.63,2.62,3.1,0.0
20200103:1210,0.0,55.95,1.6,12.36,3.21,3.72,0.0
20200103:1310,16.7,48.19,1.38,8.05,3.66,3.59,0.0
20200103:1410,0.0,0.0,0.0,0.0,3.26,3.45,0.0
20200103:1510,0.0,0.0,0.0,0.0,2.61,3.52,0.0
20200103:1610,0.0,0.0,0.0,0.0,2.37,3.66,0.0
20200103:1710,0.0,0.0,0.0,0.0,2.43,3.86,0.0
20200103:1810,0.0,0.0,0.0,0.0,2.69,4.14,0.0
20200103:1910,0.0,0.0,0.0,0.0,2.66,4.41,0.0
