Latitude (decimal degrees):	50.038
Longitude (decimal degrees):	19.938
Elevation (m):	205
Radiation database:	PVGIS-SARAH2


Slope: 41 deg. (optimum)
Azimuth: -3 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,0.3,2.48,0.0
20190101:0110,0.0,0.0,0.05,2.62,0.0
20190101:0210,0.0,0.0,-0.24,2.83,0.0
20190101:0310,0.0,0.0,-0.59,3.03,0.0
20190101:0410,0.0,0.0,-0.63,3.24,0.0
20190101:0510,0.0,0.0,-0.04,3.45,0.0
20190101:0610,0.0,0.0,0.45,3.72,0.0
20190101:0710,2.7,3.13,0.95,4.34,0.0
20190101:0810,68.91,9.5,1.88,4.76,0.0
20190101:0910,45.02,14.11,2.58,5.1,0.0
20190101:1010,23.41,16.59,3.13,5.52,0.0
20190101:1110,88.1,16.7,3.63,5.79,0.0
20190101:1210,482.33,14.44,4.27,6.21,0.0
20190101:1310,27.91,10.01,4.63,6.62,0.0
20190101:1410,8.1,3.78,4.57,6.62,0.0
20190101:1510,0.0,0.0,4.15,6.48,0.0
20190101:1610,0.0,0.0,4.13,6.48,0.0
20190101:1710,0.0,0.0,4.19,6.28,0.0
20190101:1810,0.0,0.0,3.97,5.93,0.0
20190101:1910,0.0,0.0,4.06,5.72,0.0
20190101:2010,0.0,0.0,3.53,5.86,0.0
20190101:2110,0.0,0.0,3.11,6.0,0.0
20190101:2210,0.0,0.0,2.49,6.28,0.0
20190101:2310,0.0,0.0,2.02,6.9,0.0
20190102:0010,0.0,0.0,1.05,6.76,0.0
20190102:0110,0.0,0.0,0.65,6.48,0.0
20190102:0210,0.0,0.0,0.38,6.48,0.0
20190102:0310,0.0,0.0,0.51,6.83,0.0
20190102:0410,0.0,0.0,0.44,7.1,0.0
20190102:0510,0.0,0.0,0.45,6.97,0.0
20190102:0610,0.0,0.0,0.81,7.24,0.0
20190102:0710,9.0,3.15,0.87,7.38,0.0
20190102:0810,28.81,9.53,1.03,7.31,0.0
20190102:0910,36.02,14.17,0.96,6.76,0.0
20190102:1010,161.15,16.67,1.05,5.72,0.0
20190102:1110,29.71,16.8,0.94,5.59,0.0
20190102:1210,52.22,14.54,1.07,5.17,0.0
20190102:1310,44.12,10.13,0.5,6.07,0.0
20190102:1410,11.71,3.91,-0.25,5.79,0.0
20190102:1510,0.0,0.0,-0.83,5.59,0.0
20190102:1610,0.0,0.0,-1.15,5.72,0.0
20190102:1710,0.0,0.0,-1.35,5.93,0.0
20190102:1810,0.0,0.0,-1.56,6.07,0.0
20190102:1910,0.0,0.0,-1.76,6.0,0.0
20190102:2010,0.0,0.0,-2.13,6.14,0.0
20190102:2110,0.0,0.0,-2.43,6.41,0.0
20190102:2210,0.0,0.0,-2.69,6.41,0.0
20190102:2310,0.0,0.0,-2.83,6.28,0.0
20190103:0010,0.0,0.0,-3.07,6.28,0.0
20190103:0110,0.0,0.0,-2.99,6.21,0.0
20190103:0210,0.0,0.0,-2.94,6.07,0.0
20190103:0310,0.0,0.0,-3.11,6.0,0.0
20190103:0410,0.0,0.0,-3.27,5.79,0.0
20190103:0510,0.0,0.0,-3.62,5.66,0.0
20190103:0610,0.0,0.0,-3.61,5.52,0.0
20190103:0710,35.29,3.18,-3.32,4.9,0.0
20190103:0810,177.7,9.58,-3.12,4.83,0.0
20190103:0910,113.72,14.23,-2.73,5.45,0.0
20190103:1010,54.03,16.75,-2.41,5.59,0.0
20190103:1110,219.43,16.9,-2.07,5.79,0.0
20190103:1210,68.43,14.66,-1.94,5.59,0.0
20190103:1310,18.01,10.25,-2.15,5.52,0.0
20190103:1410,6.3,4.04,-2.64,5.24,0.0
20190103:1510,0.0,0.0,-3.21,4.21,0.0
20190103:1610,0.0,0.0,-3.78,3.93,0.0
20190103:1710,0.0,0.0,-3.91,4.14,0.0
20190103:1810,0.0,0.0,-4.01,4.07,0.0
20190103:1910,0.0,0.0,-3.69,3.93,0.0
20190103:2010,0.0,0.0,-3.74,4.34,0.0
20190103:2110,0.0,0.0,-3.84,4.21,0.0
20190103:2210,0.0,0.0,-3.93,4.21,0.0
20190103:2310,0.0,0.0,-4.3,4.34,0.0
20190104:0010,0.0,0.0,-4.54,3.79,0.0
20190104:0110,0.0,0.0,-4.76,3.59,0.0
20190104:0210,0.0,0.0,-5.24,3.52,0.0
20190104:0310,0.0,0.0,-5.3,3.79,0.0
20190104:0410,0.0,0.0,-5.26,3.86,0.0
20190104:0510,0.0,0.0,-5.25,3.72,0.0
20190104:0610,0.0,0.0,-5.45,3.31,0.0
20190104:0710,35.05,3.21,-5.2,3.31,0.0
20190104:0810,283.48,9.63,-4.94,3.52,0.0
20190104:0910,395.64,14.3,-4.3,3.45,0.0
20190104:1010,392.28,16.84,-3.62,3.59,0.0
20190104:1110,182.13,17.01,-3.09,3.86,0.0
20190104:1210,704.2,14.78,-2.89,4.0,0.0
20190104:1310,168.53,10.38,-2.75,3.93,0.0
20190104:1410,17.11,4.18,-2.78,4.28,0.0
20190104:1510,0.0,0.0,-3.04,3.52,0.0
20190104:1610,0.0,0.0,-3.13,3.45,0.0
20190104:1710,0.0,0.0,-3.1,3.38,0.0
20190104:1810,0.0,0.0,-3.04,3.72,0.0
20190104:1910,0.0,0.0,-2.79,3.38,0.0
20190104:2010,0.0,0.0,-2.63,3.66,0.0
20190104:2110,0.0,0.0,-2.35,3.38,0.0
20190104:2210,0.0,0.0,-2.11,3.79,0.0
20190104:2310,0.0,0.0,-1.86,4.28,0.0
20190105:0010,0.0,0.0,-1.65,4.34,0.0
20190105:0110,0.0,0.0,-1.47,4.48,0.0
20190105:0210,0.0,0.0,-1.26,4.69,0.0
20190105:0310,0.0,0.0,-0.99,4.9,0.0
20190105:0410,0.0,0.0,-0.73,5.03,0.0
20190105:0510,0.0,0.0,-0.49,5.03,0.0
20190105:0610,0.0,0.0,-0.24,5.1,0.0
20190105:0710,5.4,3.25,-0.22,4.83,0.0
20190105:0810,52.46,9.69,0.03,4.83,0.0
20190105:0910,54.03,14.38,0.26,4.9,0.0
20190105:1010,98.8,16.94,0.5,4.83,0.0
20190105:1110,82.84,17.12,0.67,4.69,0.0
20190105:1210,43.22,14.91,0.85,4.28,0.0
20190105:1310,28.81,10.52,0.9,4.0,0.0
20190105:1410,236.89,4.32,0.96,4.14,0.0
20190105:1510,0.0,0.0,0.86,4.48,0.0
20190105:1610,0.0,0.0,0.5,4.41,0.0
20190105:1710,0.0,0.0,0.0,3.93,0.0
20190105:1810,0.0,0.0,-0.59,3.72,0.0
20190105:1910,0.0,0.0,0.14,4.07,0.0
20190105:2010,0.0,0.0,0.0,3.79,0.0
20190105:2110,0.0,0.0,-0.15,3.79,0.0
20190105:2210,0.0,0.0,-0.37,3.79,0.0
20190105:2310,0.0,0.0,-0.75,3.59,0.0
20190106:0010,0.0,0.0,-1.01,3.59,0.0
20190106:0110,0.0,0.0,-1.2,3.72,0.0
20190106:0210,0.0,0.0,-1.61,3.79,0.0
20190106:0310,0.0,0.0,-1.96,4.0,0.0
20190106:0410,0.0,0.0,-2.51,4.21,0.0
20190106:0510,0.0,0.0,-3.0,4.21,0.0
20190106:0610,0.0,0.0,-3.6,4.28,0.0
20190106:0710,11.71,3.3,-2.57,4.0,0.0
20190106:0810,78.94,9.76,-2.87,3.93,0.0
20190106:0910,75.77,14.46,-3.05,4.28,0.0
20190106:1010,33.32,17.04,-3.36,4.07,0.0
20190106:1110,45.02,17.25,-3.71,4.07,0.0
20190106:1210,116.74,15.05,-4.12,4.0,0.0
20190106:1310,46.82,10.67,-4.49,4.07,0.0
20190106:1410,9.9,4.47,-4.92,3.86,0.0
20190106:1510,0.0,0.0,-5.27,3.66,0.0
20190106:1610,0.0,0.0,-5.57,3.24,0.0
20190106:1710,0.0,0.0,-5.93,3.1,0.0
20190106:1810,0.0,0.0,-6.25,3.03,0.0
20190106:1910,0.0,0.0,-6.32,3.38,0.0
20190106:2010,0.0,0.0,-6.36,3.31,0.0
20190106:2110,0.0,0.0,-6.47,3.17,0.0
20190106:2210,0.0,0.0,-6.89,2.83,0.0
20190106:2310,0.0,0.0,-7.32,2.62,0.0
20190107:0010,0.0,0.0,-7.57,2.62,0.0
20190107:0110,0.0,0.0,-7.9,2.34,0.0
20190107:0210,0.0,0.0,-8.25,2.14,0.0
20190107:0310,0.0,0.0,-8.13,2.0,0.0
20190107:0410,0.0,0.0,-8.11,1.93,0.0
20190107:0510,0.0,0.0,-8.28,1.79,0.0
20190107:0610,0.0,0.0,-8.51,1.72,0.0
20190107:0710,44.58,3.35,-7.72,0.9,0.0
20190107:0810,187.64,9.83,-7.03,0.76,0.0
20190107:0910,497.86,14.56,-6.36,0.55,0.0
20190107:1010,403.06,17.16,-5.71,0.48,0.0
20190107:1110,850.6,17.38,-5.25,0.62,0.0
20190107:1210,635.18,15.19,-4.93,0.76,0.0
20190107:1310,464.91,10.82,-4.93,0.83,0.0
20190107:1410,15.31,4.63,-5.23,0.76,0.0
20190107:1510,0.0,0.0,-5.76,0.69,0.0
20190107:1610,0.0,0.0,-6.36,0.83,0.0
20190107:1710,0.0,0.0,-6.87,0.76,0.0
20190107:1810,0.0,0.0,-7.21,0.48,0.0
20190107:1910,0.0,0.0,-7.13,1.24,0.0
20190107:2010,0.0,0.0,-6.74,1.17,0.0
20190107:2110,0.0,0.0,-6.44,1.31,0.0
20190107:2210,0.0,0.0,-6.7,1.59,0.0
20190107:2310,0.0,0.0,-7.49,1.72,0.0
20190108:0010,0.0,0.0,-8.48,1.93,0.0
20190108:0110,0.0,0.0,-9.24,2.07,0.0
20190108:0210,0.0,0.0,-9.39,2.14,0.0
20190108:0310,0.0,0.0,-9.26,2.28,0.0
20190108:0410,0.0,0.0,-8.77,2.48,0.0
20190108:0510,0.0,0.0,-6.74,2.76,0.0
20190108:0610,0.0,0.0,-4.77,3.1,0.0
20190108:0710,3.6,3.42,-3.24,3.59,0.0
20190108:0810,32.42,9.91,-2.25,3.24,0.0
20190108:0910,113.89,14.66,-1.4,3.24,0.0
20190108:1010,53.13,17.28,-0.74,3.38,0.0
20190108:1110,59.43,17.51,-0.42,3.72,0.0
20190108:1210,93.59,15.34,-0.41,3.79,0.0
20190108:1310,16.21,10.98,-0.44,4.62,0.0
20190108:1410,4.5,4.79,-0.39,4.69,0.0
20190108:1510,0.0,0.0,-0.23,4.55,0.0
20190108:1610,0.0,0.0,-0.61,4.28,0.0
20190108:1710,0.0,0.0,-1.2,3.93,0.0
20190108:1810,0.0,0.0,-0.94,3.86,0.0
20190108:1910,0.0,0.0,-1.55,3.86,0.0
20190108:2010,0.0,0.0,-1.09,4.0,0.0
20190108:2110,0.0,0.0,-0.83,4.07,0.0
20190108:2210,0.0,0.0,-0.75,3.93,0.0
20190108:2310,0.0,0.0,-0.9,3.86,0.0
20190109:0010,0.0,0.0,-0.67,3.86,0.0
20190109:0110,0.0,0.0,-0.7,3.45,0.0
20190109:0210,0.0,0.0,-0.75,3.03,0.0
20190109:0310,0.0,0.0,-1.07,2.62,0.0
20190109:0410,0.0,0.0,-1.18,2.41,0.0
20190109:0510,0.0,0.0,-1.0,2.14,0.0
20190109:0610,0.0,0.0,-0.92,2.0,0.0
20190109:0710,179.7,3.49,-1.73,2.28,0.0
20190109:0810,153.75,10.0,-1.14,2.0,0.0
20190109:0910,129.9,14.77,-0.44,1.79,0.0
20190109:1010,180.99,17.4,0.2,1.72,0.0
20190109:1110,113.72,17.66,0.37,1.52,0.0
20190109:1210,394.9,15.5,0.48,0.97,0.0
20190109:1310,163.21,11.14,1.27,0.21,0.0
20190109:1410,18.91,4.96,0.8,0.69,0.0
20190109:1510,0.0,0.0,-0.17,1.17,0.0
20190109:1610,0.0,0.0,-0.78,1.38,0.0
20190109:1710,0.0,0.0,-1.23,1.38,0.0
20190109:1810,0.0,0.0,-1.88,1.52,0.0
20190109:1910,0.0,0.0,-0.9,0.69,0.0
20190109:2010,0.0,0.0,-1.22,0.83,0.0
20190109:2110,0.0,0.0,-1.56,0.9,0.0
20190109:2210,0.0,0.0,-1.58,0.83,0.0
20190109:2310,0.0,0.0,-1.84,0.9,0.0
20190110:0010,0.0,0.0,-2.88,1.17,0.0
20190110:0110,0.0,0.0,-2.67,1.03,0.0
20190110:0210,0.0,0.0,-2.37,0.83,0.0
20190110:0310,0.0,0.0,-2.4,0.83,0.0
20190110:0410,0.0,0.0,-2.67,1.03,0.0
20190110:0510,0.0,0.0,-2.76,1.17,0.0
20190110:0610,0.0,0.0,-2.69,1.59,0.0
20190110:0710,34.96,3.56,-2.82,1.59,0.0
20190110:0810,134.71,10.09,-2.87,2.0,0.0
20190110:0910,59.43,14.88,-3.13,2.21,0.0
20190110:1010,549.08,17.54,-3.38,2.41,0.0
20190110:1110,208.23,17.81,-3.55,2.48,0.0
20190110:1210,34.22,15.66,-3.79,2.48,0.0
20190110:1310,13.51,11.31,-3.99,2.28,0.0
20190110:1410,8.1,5.13,-4.36,1.86,0.0
20190110:1510,0.0,0.0,-4.63,1.79,0.0
20190110:1610,0.0,0.0,-4.92,1.72,0.0
20190110:1710,0.0,0.0,-5.14,1.93,0.0
20190110:1810,0.0,0.0,-5.58,2.0,0.0
20190110:1910,0.0,0.0,-5.65,2.34,0.0
20190110:2010,0.0,0.0,-6.15,2.07,0.0
20190110:2110,0.0,0.0,-7.09,2.0,0.0
20190110:2210,0.0,0.0,-7.78,1.86,0.0
20190110:2310,0.0,0.0,-8.19,1.79,0.0
20190111:0010,0.0,0.0,-8.58,1.79,0.0
20190111:0110,0.0,0.0,-9.03,1.72,0.0
20190111:0210,0.0,0.0,-9.29,1.52,0.0
20190111:0310,0.0,0.0,-9.24,1.24,0.0
20190111:0410,0.0,0.0,-9.44,1.45,0.0
20190111:0510,0.0,0.0,-9.21,1.45,0.0
20190111:0610,0.0,0.0,-9.19,1.45,0.0
20190111:0710,35.53,3.64,-9.26,1.59,0.0
20190111:0810,92.09,10.19,-8.61,1.93,0.0
20190111:0910,122.73,15.0,-7.93,2.34,0.0
20190111:1010,286.37,17.68,-7.23,2.83,0.0
20190111:1110,163.68,17.97,-6.69,3.1,0.0
20190111:1210,132.2,15.83,-6.28,3.31,0.0
20190111:1310,183.04,11.49,-5.82,3.24,0.0
20190111:1410,165.08,5.3,-5.75,2.76,0.0
20190111:1510,0.0,0.0,-6.55,2.9,0.0
20190111:1610,0.0,0.0,-7.24,3.1,0.0
20190111:1710,0.0,0.0,-7.57,3.31,0.0
20190111:1810,0.0,0.0,-7.26,3.66,0.0
20190111:1910,0.0,0.0,-5.4,4.34,0.0
20190111:2010,0.0,0.0,-4.68,4.62,0.0
20190111:2110,0.0,0.0,-3.88,4.97,0.0
20190111:2210,0.0,0.0,-3.17,5.17,0.0
20190111:2310,0.0,0.0,-2.64,5.45,0.0
20190112:0010,0.0,0.0,-2.24,5.72,0.0
20190112:0110,0.0,0.0,-1.7,6.0,0.0
20190112:0210,0.0,0.0,-1.27,5.93,0.0
20190112:0310,0.0,0.0,-0.81,5.66,0.0
20190112:0410,0.0,0.0,-0.33,5.17,0.0
20190112:0510,0.0,0.0,-0.1,4.76,0.0
20190112:0610,0.0,0.0,-0.08,4.14,0.0
20190112:0710,9.0,3.73,-0.11,3.79,0.0
20190112:0810,54.88,10.3,0.2,3.66,0.0
20190112:0910,97.43,15.13,0.24,3.59,0.0
20190112:1010,201.38,17.83,0.46,4.21,0.0
20190112:1110,149.33,18.13,0.62,4.28,0.0
20190112:1210,87.16,16.01,0.76,4.21,0.0
20190112:1310,54.03,11.67,0.94,4.28,0.0
20190112:1410,68.98,5.49,0.93,4.34,0.0
20190112:1510,0.0,0.0,0.93,4.28,0.0
20190112:1610,0.0,0.0,0.89,4.14,0.0
20190112:1710,0.0,0.0,1.0,4.0,0.0
20190112:1810,0.0,0.0,1.12,4.14,0.0
20190112:1910,0.0,0.0,1.27,4.55,0.0
20190112:2010,0.0,0.0,1.6,4.69,0.0
20190112:2110,0.0,0.0,1.62,4.55,0.0
20190112:2210,0.0,0.0,1.57,4.62,0.0
20190112:2310,0.0,0.0,1.47,4.55,0.0
20190113:0010,0.0,0.0,1.32,4.41,0.0
20190113:0110,0.0,0.0,1.3,4.41,0.0
20190113:0210,0.0,0.0,1.27,4.41,0.0
20190113:0310,0.0,0.0,1.19,4.55,0.0
20190113:0410,0.0,0.0,1.16,4.55,0.0
20190113:0510,0.0,0.0,1.13,4.55,0.0
20190113:0610,0.0,0.0,1.13,4.48,0.0
20190113:0710,144.43,3.83,1.41,4.34,0.0
20190113:0810,53.91,10.42,1.69,4.48,0.0
20190113:0910,174.05,15.27,1.99,4.9,0.0
20190113:1010,188.34,17.99,2.19,4.9,0.0
20190113:1110,109.19,18.3,2.13,5.38,0.0
20190113:1210,145.94,16.19,2.23,5.31,0.0
20190113:1310,171.6,11.85,2.36,5.1,0.0
20190113:1410,314.69,5.68,2.23,4.97,0.0
20190113:1510,0.0,0.0,2.01,4.97,0.0
20190113:1610,0.0,0.0,2.14,5.17,0.0
20190113:1710,0.0,0.0,2.38,5.17,0.0
20190113:1810,0.0,0.0,2.41,5.17,0.0
20190113:1910,0.0,0.0,2.64,5.52,0.0
20190113:2010,0.0,0.0,2.72,6.0,0.0
20190113:2110,0.0,0.0,2.49,6.14,0.0
