Latitude (decimal degrees):	52.226
Longitude (decimal degrees):	20.975
Elevation (m):	111
Radiation database:	PVGIS-SARAH2


Slope: 40 deg. (optimum)
Azimuth: -4 deg. (optimum)
time,G(i),H_sun,T2m,WS10m,Int
20190101:0010,0.0,0.0,1.1,3.52,0.0
20190101:0110,0.0,0.0,1.01,4.0,0.0
20190101:0210,0.0,0.0,0.9,4.34,0.0
20190101:0310,0.0,0.0,0.8,4.41,0.0
20190101:0410,0.0,0.0,1.3,4.48,0.0
20190101:0510,0.0,0.0,1.89,4.62,0.0
20190101:0610,0.0,0.0,2.67,4.97,0.0
20190101:0710,0.0,0.0,3.73,5.17,0.0
20190101:0810,286.12,8.08,4.59,5.52,0.0
20190101:0910,14.47,12.32,5.46,5.86,0.0
20190101:1010,18.08,14.51,6.02,6.41,0.0
20190101:1110,18.08,14.45,6.15,6.28,0.0
20190101:1210,26.22,12.15,6.03,6.55,0.0
20190101:1310,16.27,7.82,5.92,6.55,0.0
20190101:1410,0.0,0.0,5.8,7.38,0.0
20190101:1510,0.0,0.0,5.65,7.03,0.0
20190101:1610,0.0,0.0,5.11,6.41,0.0
20190101:1710,0.0,0.0,4.32,5.93,0.0
20190101:1810,0.0,0.0,3.88,5.79,0.0
20190101:1910,0.0,0.0,3.76,5.72,0.0
20190101:2010,0.0,0.0,3.37,5.86,0.0
20190101:2110,0.0,0.0,2.59,5.79,0.0
20190101:2210,0.0,0.0,2.43,5.72,0.0
20190101:2310,0.0,0.0,2.05,5.59,0.0
20190102:0010,0.0,0.0,1.52,5.66,0.0
20190102:0110,0.0,0.0,1.11,5.38,0.0
20190102:0210,0.0,0.0,0.75,4.83,0.0
20190102:0310,0.0,0.0,0.59,4.41,0.0
20190102:0410,0.0,0.0,1.05,4.83,0.0
20190102:0510,0.0,0.0,1.55,5.45,0.0
20190102:0610,0.0,0.0,1.59,5.59,0.0
20190102:0710,0.0,0.0,1.33,5.31,0.0
20190102:0810,9.04,8.12,1.38,5.24,0.0
20190102:0910,652.35,12.38,1.5,5.45,0.0
20190102:1010,152.26,14.58,1.48,5.72,0.0
20190102:1110,27.12,14.54,1.35,5.93,0.0
20190102:1210,167.37,12.26,1.31,5.93,0.0
20190102:1310,116.06,7.94,1.06,7.38,0.0
20190102:1410,0.0,0.0,0.86,7.31,0.0
20190102:1510,0.0,0.0,0.65,7.03,0.0
20190102:1610,0.0,0.0,0.55,7.03,0.0
20190102:1710,0.0,0.0,0.42,6.9,0.0
